Dive_Id,Date,TC (UTC),Start_End,Comments,YE count,,,
2022_NSEO_Dive_21,6/5/2022,16:59,Start,,,,,
,,17:01,,YE,2,,,
,,17:11,,YE,1,,,
,,17:12,,YE,1,,,
,,14:18,,Pause,,,,
,,17:20,,Resume,,,,
,,17:34,,YE,1,,,
,,17:36,,YE,1,,,
,,17:42,,YE,1,,,
,,17:43,,YE,1,,,
,,17:46,,YE,1,,,
,,17:48,End,,,,,
,,,,,,,,
2022_NSEO_Dive_22,6/6/2022,8:06,Start,,,,,
,,8:14,,YE,1,,,
,,8:18,,YE,1,,,
,,8:47,End,,,,,
,,,,,,,,
2022_NSEO_Dive_23,6/6/2022,9:24,Start,,,,,
,,9:27,,YE,1,,,
,,9:44,,YE,1,,,
,,10:01,End,,,,,
,,,,,,,,
2022_NSEO_Dive_24,6/6/2022,10:58,Start,,,,,
,,11:04,,YE,2,,,
,,11:07,,YE,1,,,
,,11:13,,YE,1,,,
,,11:29,,YE,1,,,
,,11:34,,YE,1,,,
,,11:37,,,,,,
,,,,,,,,
2022_NSEO_Dive_25,6/6/2022,12:33,Start,,,,,
,,13:00,,YE,1,,,
,,13:12,,YE,1,,,
,,13:14,End,,,,,
,,,,,,,,
2022_NSEO_Dive_26,6/6/2022,13:54,Start,,,,,
,,14:05,,YE,1,,,
,,14:30,End,,,,,
,,,,,,,,
2022_NSEO_Dive_27,6/6/2022,15:57,Start,,,,,
,,13:57,,YE,1,,,
,,16:04,,YE,1,,,
,,16:07,,YE,1,,,
,,16:11,,YE,1,,,
,,14:17,,YE,1,,,
,,16:21,,YE,1,,,
,,16:34,,YE,2,,,
,,16:39,End,,,,,
,,,,,,,,
2022_NSEO_Dive_28,6/7/2022,8:32,Start,,,,,
,,8:56,,YE,1,,,
,,9:09,End,,,,,
,,,,,,,,
2022_NSEO_Dive_29,6/7/2022,9:38,Start,,,,,
,,9:57,,YE,1,,,
,,10:00,,YE,1,,,
,,10:03,,YE,1,,,
,,10:11,,YE,1,,,
,,10:13,End,,,,,
,,,,,,,,
2022_NSEO_Dive_30,6/7/2022,11:20,Start,,,,,
,,11:51,,YE,2,,,
,,11:54,,YE,1,,,
,,12:01,,YE,1,,,
,,12:09,,YE,1,,,
,,12:12,End,,,,,
,,,,,,,,
2022_NSEO_Dive_31,6/7/2022,13:31,Start,,,,,
,,13:33,,YE,1,,,
,,13:35,,YE,1,,,
,,13:37,,YE,2,,,
,,14:02,,YE,1,,,
,,14:06,End,,,,,
,,,,,,,,
2022_NSEO_Dive_32,6/7/2022,15:41,Start,,,,,
,,16:13,,YE,1,,,
,,16:27,End,,,,,
,,,,,,,,
2022_NSEO_Dive_33,6/8/2022,10:02,Start,,,,,
,,10:49,End,,,,,
,,,,,,,,
2022_NSEO_Dive_34,6/8/2022,11:24,Start,,,,,
,,12:04,End,,,,,
,,,,,,,,
2022_NSEO_Dive_35,6/8/2022,12;38,Start,,,,,
,,12:42,,YE,1,,,
,,12:54,,YE,1,,,
,,13:34,End,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
