"","FILENAME","FRAME","TIME_MINS","PERIOD","PERIOD_TIME_MINS","LENGTH_MM","PRECISION","RMS_1_MM","RMS_2_MM","RANGE_MM","DIRECTION_DEG","HORZ_DIR_DEG","VERT_DIR_DEG","MID_X_MM","MID_Y_MM","MID_Z_MM","OPCODE","TAPE_READER","DEPTH_NOT_USED","TRIP_COMMENT","YEAR","DIVE_NO","TRANSECT_NO","USER_DEF_4","USER_DEF_5","USER_DEF_6","USER_DEF_7","USER_DEF_8","FAMILY","GENUS","SPECIES","CODE","SPECIMEN_NUMBER","STAGE","ACTIVITY","CHECK_ID","SPECIES_COMMENT","USER_DEF_ATTR"
"20","2012_6736_1_SL.avi",35008,35.918,NA,NA,NA,7,1.255,NA,1739.527,21.337,NA,NA,591.65,189.698,-1624.782,1,"Jenny Stahl",0,NA,2012,6736,1,NA,NA,NA,NA,NA,"rockfish","dusky",172,172,28,NA,NA,NA,NA,NA
"21","2012_6736_1_SL.avi",36139,36.547,NA,NA,NA,30,9.407,NA,3861.077,19.488,NA,NA,889.629,-1010.151,-3618.85,1,"Jenny Stahl",0,NA,2012,6736,1,NA,NA,NA,NA,NA,"rockfish",NA,NA,NA,29,NA,NA,NA,"washed out",NA
"22","2012_6736_1_SL.avi",36696,36.8567,NA,NA,NA,24,9.834,NA,3738.186,12.438,NA,NA,311.155,663.319,-3665.682,1,"Jenny Stahl",0,NA,2012,6736,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,30,NA,NA,NA,NA,NA
"23","2012_6736_1_SL.avi",37050,37.0536,NA,NA,NA,28,5.311,NA,4132.666,6.659,NA,NA,-479.189,-88.413,-4103.838,1,"Jenny Stahl",0,NA,2012,6736,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,31,NA,NA,NA,NA,NA
"24","2012_6736_1_SL.avi",38075,37.6236,NA,NA,NA,71,4.259,NA,5169.899,29.521,NA,NA,-2311.489,973.004,-4520.856,1,"Jenny Stahl",0,NA,2012,6736,1,NA,NA,NA,NA,NA,"rockfish","dusky",172,172,32,NA,NA,NA,NA,NA
"25","2012_6736_1_SL.avi",39555,38.4467,NA,NA,NA,31,2.37,NA,3957.303,19.392,NA,NA,1225.301,393.494,-3742.198,1,"Jenny Stahl",0,NA,2012,6736,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,33,NA,NA,NA,NA,NA
"26","2012_6736_1_SL.avi",50160,44.3442,NA,NA,NA,59,1.422,NA,4868.062,27.622,NA,NA,-2118.919,683.786,-4329.047,1,"Jenny Stahl",0,NA,2012,6736,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,34,NA,NA,NA,NA,NA
"27","2012_6736_1_SL.avi",52192,45.4742,NA,NA,NA,27,4.46,NA,3833.358,16.09,NA,NA,860.551,543.051,-3695.833,1,"Jenny Stahl",0,NA,2012,6736,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,35,NA,NA,NA,NA,NA
"28","2012_6736_2_SL.avi",1811,17.4568,NA,NA,NA,28,4.101,NA,3928.916,21.574,NA,NA,-224.267,1347.655,-3683.736,1,"Jenny Stahl",0,NA,2012,6736,2,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,1,NA,NA,NA,NA,NA
"29","2012_6736_2_SL.avi",3407,18.3444,NA,NA,501.21,21,3.228,1.201,4158.951,15.906,4.27,13.413,726.707,791.256,-4017.796,1,"Jenny Stahl",0,NA,2012,6736,2,NA,NA,NA,NA,NA,"rockfish","yelloweye",145,145,2,"AD","Fish milling",NA,NA,NA
"30","2012_6736_2_SL.avi",3350,18.3127,NA,NA,NA,45,0.405,NA,4919.137,21.339,NA,NA,552.849,1602.824,-4617.707,1,"Jenny Stahl",0,NA,2012,6736,2,NA,NA,NA,NA,NA,"rockfish","yelloweye",145,145,2,"AD","Fish milling",NA,NA,NA
"31","2012_6736_2_SL.avi",3367,18.3222,NA,NA,NA,39,2.509,NA,4675.368,21.136,NA,NA,282.702,1567.074,-4395.842,1,"Jenny Stahl",0,NA,2012,6736,2,NA,NA,NA,NA,NA,"rockfish","yelloweye",145,145,4,"AD","Fish milling",NA,NA,NA
"32","2012_6736_2_SL.avi",3466,18.3772,NA,NA,404.517,31,1.443,1.638,3650.085,11.209,22.665,4.656,329.352,550.723,-3593.237,1,"Jenny Stahl",0,NA,2012,6736,2,NA,NA,NA,NA,NA,"rockfish","yelloweye",145,145,4,"AD","Fish milling",NA,NA,NA
"33","2012_6736_2_SL.avi",3978,18.6619,NA,NA,NA,21,1.55,NA,3283.727,16.643,NA,NA,-936.652,16.355,-3147.265,1,"Jenny Stahl",0,NA,2012,6736,2,NA,NA,NA,NA,NA,"rockfish","yelloweye",145,145,5,"AD","Fish seeking cover",NA,"No length in crack",NA
"34","2012_6736_2_SL.avi",4969,19.213,NA,NA,NA,25,5.636,NA,3713.055,10.926,NA,NA,-477.642,-595.748,-3633.692,1,"Jenny Stahl",0,NA,2012,6736,2,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,6,NA,NA,NA,NA,NA
"35","2012_6736_2_SL.avi",9676,21.8307,NA,NA,NA,44,7.071,NA,4656.882,22.06,NA,NA,-1173.051,1203.481,-4343.056,1,"Jenny Stahl",0,NA,2012,6736,2,NA,NA,NA,NA,NA,"skate","skate",700,700,7,NA,NA,NA,"length is wing span",NA
"36","2012_6736_2_SL.avi",9779,21.8879,NA,NA,918.229,49,2.138,2.867,3187.085,9.466,69.565,32.83,-521.093,-11.58,-3144.175,1,"Jenny Stahl",0,NA,2012,6736,2,NA,NA,NA,NA,NA,"skate","skate",700,700,7,NA,NA,NA,"length is wing span",NA
"37","2012_6736_2_SL.avi",15721,25.1923,NA,NA,NA,28,6.371,NA,4181.317,7.498,NA,NA,371.621,309.631,-4153.245,1,"Jenny Stahl",0,NA,2012,6736,2,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,8,NA,NA,NA,NA,NA
"38","2012_6736_2_SL.avi",23608,29.5784,NA,NA,NA,19,1.246,NA,3116.32,23.872,NA,NA,622.72,1034.674,-2872.824,1,"Jenny Stahl",0,NA,2012,6736,2,NA,NA,NA,NA,NA,"rockfish","dusky",172,172,9,NA,NA,NA,NA,NA
"39","2012_6736_2_SL.avi",24608,30.1345,NA,NA,NA,33,0.715,NA,4162.779,18.84,NA,NA,1253.847,399.141,-3949.34,1,"Jenny Stahl",0,NA,2012,6736,2,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,10,NA,NA,NA,NA,NA
"40","2012_6736_2_SL.avi",24843,30.2652,NA,NA,NA,39,4.89,NA,4882.685,12.2,NA,NA,167.939,914.443,-4793.35,1,"Jenny Stahl",0,NA,2012,6736,2,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,11,NA,NA,NA,NA,NA
"41","2012_6736_2_SL.avi",24887,30.2896,NA,NA,NA,47,1.138,NA,4709.184,22.581,NA,NA,-1505.612,907.015,-4368.852,1,"Jenny Stahl",0,NA,2012,6736,2,NA,NA,NA,NA,NA,"rockfish","quillback",147,147,12,NA,NA,NA,NA,NA
"42","2012_6736_2_SL.avi",25915,30.8613,NA,NA,NA,25,6.236,NA,3174.596,28.011,NA,NA,-1333.188,606.484,-2816.531,1,"Jenny Stahl",0,NA,2012,6736,2,NA,NA,NA,NA,NA,"rockfish","yelloweye",145,145,13,"AD","Fish milling",NA,"no length, can't see tail",NA
"43","2012_6736_2_SL.avi",29102,32.6336,NA,NA,NA,37,7.648,NA,4533.841,15.938,NA,NA,794.239,864.045,-4379.306,1,"Jenny Stahl",0,NA,2012,6736,2,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,14,NA,NA,NA,NA,NA
"44","2012_6736_2_SL.avi",33367,35.0055,NA,NA,NA,31,12.167,NA,3659.749,29.848,NA,NA,1360.843,1141.635,-3199.771,1,"Jenny Stahl",0,NA,2012,6736,2,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,15,NA,NA,NA,NA,NA
"45","2012_6736_2_SL.avi",33872,35.2863,NA,NA,NA,51,8.987,NA,5104.903,23.716,NA,NA,-928.937,1729.327,-4712.381,1,"Jenny Stahl",0,NA,2012,6736,2,NA,NA,NA,NA,NA,"rockfish","silvergray",157,157,16,NA,NA,NA,NA,NA
"46","2012_6736_2_SL.avi",34470,35.6188,NA,NA,NA,63,1.774,NA,5671.843,23.789,NA,NA,-995.86,1946.791,-5233.361,1,"Jenny Stahl",0,NA,2012,6736,2,NA,NA,NA,NA,NA,"rockfish",NA,NA,NA,17,NA,NA,NA,NA,NA
"47","2012_6736_2_SL.avi",34660,35.7245,NA,NA,NA,34,4.444,NA,4341.743,15.147,NA,NA,813.563,699.661,-4207.056,1,"Jenny Stahl",0,NA,2012,6736,2,NA,NA,NA,NA,NA,"rockfish","tiger",148,148,18,NA,NA,NA,NA,NA
"48","2012_6736_2_SL.avi",36314,36.6443,NA,NA,NA,28,1.405,NA,3668.738,22.077,NA,NA,1378.792,-54.753,-3399.348,1,"Jenny Stahl",0,NA,2012,6736,2,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,19,NA,NA,NA,NA,NA
"49","2012_6736_2_SL.avi",38161,37.6714,NA,NA,NA,60,2.893,NA,4947.857,27.361,NA,NA,-2104.11,766.956,-4412.005,1,"Jenny Stahl",0,NA,2012,6736,2,NA,NA,NA,NA,NA,"rockfish","silvergray",157,157,20,NA,NA,NA,NA,NA
"50","2012_6736_2_SL.avi",41853,39.7246,NA,NA,NA,16,5.492,NA,3193.41,3.788,NA,NA,-188.63,25.367,-3187.733,1,"Jenny Stahl",0,NA,2012,6736,2,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,21,NA,NA,NA,NA,NA
"51","2012_6736_2_SL.avi",42154,39.892,NA,NA,NA,25,0.525,NA,3486.708,21.163,NA,NA,-1119.128,505.673,-3263.277,1,"Jenny Stahl",0,NA,2012,6736,2,NA,NA,NA,NA,NA,"rockfish","silvergray",157,157,22,NA,NA,NA,NA,NA
"52","2012_6736_2_SL.avi",43072,40.4025,NA,NA,NA,34,5.453,NA,3983.412,25.386,NA,NA,1702.812,51.593,-3600.741,1,"Jenny Stahl",0,NA,2012,6736,2,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,23,NA,NA,NA,NA,NA
"53","2012_6736_2_SL.avi",43375,40.571,NA,NA,NA,27,4.208,NA,3926.723,15.56,NA,NA,-457.02,866.859,-3802.479,1,"Jenny Stahl",0,NA,2012,6736,2,NA,NA,NA,NA,NA,"rockfish","quillback",147,147,24,NA,NA,NA,NA,NA
"54","2012_6738_1_SL.avi",7070,20.3814,NA,NA,NA,8,1.966,NA,1976.298,15.829,NA,NA,27.45,-579.452,-1889.242,1,"Jenny Stahl",0,NA,2012,6738,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,1,NA,NA,NA,NA,NA
"55","2012_6738_1_SL.avi",7070,20.3814,NA,NA,NA,10,4.182,NA,2350.741,9.72,NA,NA,350.768,-235.833,-2312.429,1,"Jenny Stahl",0,NA,2012,6738,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,2,NA,NA,NA,NA,NA
"56","2012_6738_1_SL.avi",7681,20.7212,NA,NA,474.441,26,2.818,2.511,3942.369,8.926,13.57,5.927,611.706,-87.242,-3893.646,1,"Jenny Stahl",0,NA,2012,6738,1,NA,NA,NA,NA,NA,"rockfish","yelloweye",145,145,3,"AD","Fish milling",NA,NA,NA
"57","2012_6738_1_SL.avi",7464,20.6005,NA,NA,NA,68,8.132,NA,6196.622,16.711,NA,NA,-699.199,1509.92,-5969.036,1,"Jenny Stahl",0,NA,2012,6738,1,NA,NA,NA,NA,NA,"rockfish","yelloweye",145,145,3,"AD","Fish milling",NA,NA,NA
"58","2012_6738_1_SL.avi",9216,21.5748,NA,NA,NA,24,2.542,NA,3513.036,23.043,NA,NA,599.55,1167.142,-3258.794,1,"Jenny Stahl",0,NA,2012,6738,1,NA,NA,NA,NA,NA,"rockfish","silvergray",157,157,4,NA,NA,NA,NA,NA
"59","2012_6738_1_SL.avi",9591,21.7834,NA,NA,NA,37,11.34,NA,4412.565,18.418,NA,NA,-944.392,934.62,-4207.771,1,"Jenny Stahl",0,NA,2012,6738,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,5,NA,NA,NA,NA,NA
"60","2012_6738_1_SL.avi",9976,21.9975,NA,NA,NA,17,0.664,NA,3081.944,12.825,NA,NA,667.75,-213.806,-3001.129,1,"Jenny Stahl",0,NA,2012,6738,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,6,NA,NA,NA,NA,NA
