"","filename","frame","time_hms","period","period_time_hms","length_mm","precision_mm","rms_mm","range_mm","direction_deg","horz_dir_deg","vert_dir_deg","mid_x_mm","mid_y_mm","mid_z_mm","op_code","tape_reader","depth","comment","year","dive","transect_number","dive_type","family","genus","species","code","number","stage","activity","check_id","comment_1","event_time_hh_mm_ss","mgmt_area","time_mins","period_time_mins","rms_2_mm","time_akdt","dive_no","transect_no"
"19","2012_6736_1_SL.avi","34898",NA,NA,NA,NA,18,8.147,"3205.106","12.495",NA,NA,"621.831","238.989","-3135.111","1","Jenny Stahl","0",NA,"2012","6736","1","Line","rockfish","greenstripe","135","135","27",NA,NA,NA,NA,NA,"CSEO","35.8569",NA,NA,NA,"6736","1"
"20","2012_6736_1_SL.avi","35008",NA,NA,NA,NA,7,1.255,"1739.527","21.337",NA,NA,"591.65","189.698","-1624.782","1","Jenny Stahl","0",NA,"2012","6736","1","Line","rockfish","dusky","172","172","28",NA,NA,NA,NA,NA,"CSEO","35.918",NA,NA,NA,"6736","1"
"21","2012_6736_1_SL.avi","36139",NA,NA,NA,NA,30,9.407,"3861.077","19.488",NA,NA,"889.629","-1010.151","-3618.85","1","Jenny Stahl","0",NA,"2012","6736","1","Line","rockfish",NA,NA,NA,"29",NA,NA,NA,"washed out",NA,"CSEO","36.547",NA,NA,NA,"6736","1"
"22","2012_6736_1_SL.avi","36696",NA,NA,NA,NA,24,9.834,"3738.186","12.438",NA,NA,"311.155","663.319","-3665.682","1","Jenny Stahl","0",NA,"2012","6736","1","Line","rockfish","rosethorn","150","150","30",NA,NA,NA,NA,NA,"CSEO","36.8567",NA,NA,NA,"6736","1"
"23","2012_6736_1_SL.avi","37050",NA,NA,NA,NA,28,5.311,"4132.666","6.659",NA,NA,"-479.189","-88.413","-4103.838","1","Jenny Stahl","0",NA,"2012","6736","1","Line","rockfish","rosethorn","150","150","31",NA,NA,NA,NA,NA,"CSEO","37.0536",NA,NA,NA,"6736","1"
"24","2012_6736_1_SL.avi","38075",NA,NA,NA,NA,71,4.259,"5169.899","29.521",NA,NA,"-2311.489","973.004","-4520.856","1","Jenny Stahl","0",NA,"2012","6736","1","Line","rockfish","dusky","172","172","32",NA,NA,NA,NA,NA,"CSEO","37.6236",NA,NA,NA,"6736","1"
"25","2012_6736_1_SL.avi","39555",NA,NA,NA,NA,31,2.37,"3957.303","19.392",NA,NA,"1225.301","393.494","-3742.198","1","Jenny Stahl","0",NA,"2012","6736","1","Line","rockfish","rosethorn","150","150","33",NA,NA,NA,NA,NA,"CSEO","38.4467",NA,NA,NA,"6736","1"
"26","2012_6736_1_SL.avi","50160",NA,NA,NA,NA,59,1.422,"4868.062","27.622",NA,NA,"-2118.919","683.786","-4329.047","1","Jenny Stahl","0",NA,"2012","6736","1","Line","rockfish","rosethorn","150","150","34",NA,NA,NA,NA,NA,"CSEO","44.3442",NA,NA,NA,"6736","1"
"27","2012_6736_1_SL.avi","52192",NA,NA,NA,NA,27,4.46,"3833.358","16.09",NA,NA,"860.551","543.051","-3695.833","1","Jenny Stahl","0",NA,"2012","6736","1","Line","rockfish","rosethorn","150","150","35",NA,NA,NA,NA,NA,"CSEO","45.4742",NA,NA,NA,"6736","1"
"28","2012_6736_2_SL.avi","1811",NA,NA,NA,NA,28,4.101,"3928.916","21.574",NA,NA,"-224.267","1347.655","-3683.736","1","Jenny Stahl","0",NA,"2012","6736","2","Line","rockfish","rosethorn","150","150","1",NA,NA,NA,NA,NA,"CSEO","17.4568",NA,NA,NA,"6736","2"
