FILENAME,FRAME,TIME (HMS),PERIOD,PERIOD TIME (HMS),LENGTH (mm),PRECISION (mm),RMS (mm),RANGE (mm),DIRECTION (deg),HORZ. DIR. (deg),VERT. DIR. (deg),MID_X (mm),MID_Y (mm),MID_Z (mm),OPCODE,TAPEREADER,DEPTH,COMMENT,YEAR,DIVE,TRANSECT_NUMBER,,DIVE_NO,,,,FAMILY,GENUS,SPECIES,CODE,NUMBER,STAGE,ACTIVITY,CHECK_ID,COMMENT,EVENT TIME HH:MM:SS
SL_2018SSEO_Dive_01_09-06-32.000.avi,61401,40:58.7,,,,10.643,0.346,2336.572,11.69,,,-285.919,-388.874,-2286.175,1,KelliiWood,0,N/A,2018,SSEO_1,44,,1,,,,rockfish,greenstripe,135,135,17,,,,,
SL_2018SSEO_Dive_01_09-06-32.000.avi,33623,25:32.8,,,620.39,78.411,2.519,6736.415,25.016,2.985,40.575,1319.665,2524.573,-6104.449,1,KelliiWood,0,N/A,2018,SSEO_1,44,,1,,,,rockfish,yelloweye,145,145,6,AD,Fish seeking cover,,,
SL_2018SSEO_Dive_01_09-06-32.000.avi,38909,28:29.0,,,313.972,72.959,2.358,6172.876,24.778,0.038,17.929,-2002.888,1637.556,-5604.574,1,KelliiWood,0,N/A,2018,SSEO_1,44,,1,,,,rockfish,yelloweye,145,145,7,SU,Fish moving slowly out of frame,,,
SL_2018SSEO_Dive_01_09-06-32.000.avi,56835,38:26.5,,,503.611,124.195,2.343,6857.165,13.679,21.7,3.62,1456.345,713.271,-6662.658,1,KelliiWood,0,N/A,2018,SSEO_1,44,,1,,,,rockfish,yelloweye,145,145,15,AD,Fish chasing other fish,,,
SL_2018SSEO_Dive_01_09-06-32.000.avi,86442,54:53.4,,,392.852,102.945,0.976,5847.022,32.353,22.298,2.956,2926.477,1107.361,-4939.347,1,KelliiWood,0,N/A,2018,SSEO_1,44,,1,,,,rockfish,yelloweye,145,145,20,SU,Fish milling/hovering,,,
SL_2018SSEO_Dive_01_09-06-32.000.avi,86502,54:55.4,,,383.717,178.766,1.378,7444.995,19.516,31.59,5.677,1339.389,2095.648,-7017.282,1,KelliiWood,0,N/A,2018,SSEO_1,44,,1,,,,rockfish,yelloweye,145,145,20,JV,Fish milling/hovering,,,
SL_2018SSEO_Dive_01_09-06-32.000.avi,51498,35:28.6,,,,74.311,3.536,5911.861,24.123,,,1502.358,1865.079,-5405.044,1,KelliiWood,0,N/A,2018,SSEO_1,44,,1,,,,rockfish,canary,146,146,10,,,,,
SL_2018SSEO_Dive_01_09-06-32.000.avi,23605,19:58.8,,,,32.559,2.978,4210.584,11.795,,,109.137,832.988,-4125.922,1,KelliiWood,0,N/A,2018,SSEO_1,44,,1,,,,rockfish,quillback,147,147,2,,,,,
SL_2018SSEO_Dive_01_09-06-32.000.avi,26947,21:50.2,,,,56.878,0.461,5223.305,28.165,,,2171.278,1144.668,-4610.662,1,KelliiWood,0,N/A,2018,SSEO_1,44,,1,,,,rockfish,quillback,147,147,3,,,,,
SL_2018SSEO_Dive_01_09-06-32.000.avi,31733,24:29.8,,,,17.434,1.489,3011.734,12.953,,,198.395,-660.071,-2931.806,1,KelliiWood,0,N/A,2018,SSEO_1,44,,1,,,,rockfish,quillback,147,147,4,,,,,
