3D Point and Length Measurements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: Tuesday, June 21, 2022 14:12:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename,Frame,Time (HMS),Period,Period time (HMS),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Depth,Comment,Year,Dive,Transect Number,Dive Type,,,,,Family,Genus,Species,Code,Number,Stage,Activity,Check ID,Comment,Event Time HH:MM:SS
SL_2022_CSEO_Dive_06_08-22-23.000.avi,4833,8:28:38,,,,25.507,0.253,3300.471,21.922,,,-1105.811,531.369,-3063.974,1,KelliiWood,80,N/A,2022,6,14,Line,,,,,rockfish,quillback,147,147,1,,,,,
SL_2022_CSEO_Dive_06_08-22-23.000.avi,7472,8:30:06,,,,26.62,0.299,3481.392,13.238,,,-528.391,583.397,-3391.245,1,KelliiWood,80,N/A,2022,6,14,Line,,,,,rockfish,rosethorn,150,150,2,,,,,
SL_2022_CSEO_Dive_06_08-22-23.000.avi,8357,8:30:36,,,,10.777,0.865,2170.053,25.016,,,-256.67,-888.89,-1962.938,1,KelliiWood,80,N/A,2022,6,14,Line,,,,,rockfish,rosethorn,150,150,3,,,,,
SL_2022_CSEO_Dive_06_08-22-23.000.avi,9419,8:31:11,,,549.206,106.629,4.918,5748.753,14.898,27.095,0.087,632.767,1335.712,-5555.505,1,KelliiWood,80,N/A,2022,6,14,Line,,,,,rockfish,yelloweye,145,145,5,AD,Fish milling/hovering,,,
SL_2022_CSEO_Dive_06_08-22-23.000.avi,9419,8:31:11,,,,30.575,0.933,3699.737,23.193,,,-1440.109,208.211,-3401.586,1,KelliiWood,80,N/A,2022,6,14,Line,,,,,rockfish,rosethorn,150,150,4,,,,,
SL_2022_CSEO_Dive_06_08-22-23.000.avi,11088,8:32:07,,,,45.649,0.408,4544.482,32.13,,,2168.369,1052.198,-3852.709,1,KelliiWood,80,N/A,2022,6,14,Line,,,,,rockfish,quillback,147,147,6,,,,,
SL_2022_CSEO_Dive_06_08-22-23.000.avi,22996,8:38:44,,,,60.363,2.738,5305.68,22.789,,,-78.031,2033.976,-4899.703,1,KelliiWood,80,N/A,2022,6,14,Line,,,,,rockfish,rosethorn,150,150,7,,,,,
SL_2022_CSEO_Dive_06_08-22-23.000.avi,23642,8:39:05,,,,24.682,1.044,3327.52,15.586,,,-816.721,350.9,-3206.591,1,KelliiWood,80,N/A,2022,6,14,Line,,,,,rockfish,rosethorn,150,150,8,,,,,
SL_2022_CSEO_Dive_06_08-22-23.000.avi,24749,8:39:42,,,,16.68,0.243,2814.373,31.329,,,1435.437,274.834,-2405.136,1,KelliiWood,80,N/A,2022,6,14,Line,,,,,rockfish,rosethorn,150,150,9,,,,,
SL_2022_CSEO_Dive_06_08-22-23.000.avi,24820,8:39:44,,,,13.814,1.63,2555.393,11.574,,,505.723,-94.271,-2503.076,1,KelliiWood,80,N/A,2022,6,14,Line,,,,,rockfish,rosethorn,150,150,10,,,,,
