3D Point and Length Measurements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: Thursday, June 30, 2022 09:45:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename,Frame,Time (HMS),Period,Period time (HMS),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Depth,Comment,Year,Dive,Transect Number,Dive Type,,,,,Family,Genus,Species,Code,Number,Stage,Activity,Check ID,Comment,Event Time HH:MM:SS
SL_2022_CSEO_Dive_20_12-21-57.000.avi,645,12:38:39,,,,18.892,0.56,2867.035,22.143,,,1018.347,350.921,-2657.012,1,KelliiWood,100,N/A,2022,20,21,Line,,,,,rockfish,rosethorn,150,150,1,,,,,
SL_2022_CSEO_Dive_20_12-21-57.000.avi,1814,12:39:18,,,,32.699,1.003,3806.3,24.681,,,-1554.907,315.247,-3459.885,1,KelliiWood,100,N/A,2022,20,21,Line,,,,,rockfish,rosethorn,150,150,2,,,,,
SL_2022_CSEO_Dive_20_12-21-57.000.avi,3898,12:40:28,,,,35.016,1.005,3940.611,15.926,,,882.39,609.826,-3791.822,1,KelliiWood,100,N/A,2022,20,21,Line,,,,,rockfish,rosethorn,150,150,3,,,,,
SL_2022_CSEO_Dive_20_12-21-57.000.avi,4640,12:40:53,,,,49.185,0.928,4913.358,11.226,,,114.806,930.32,-4823.113,1,KelliiWood,100,N/A,2022,20,21,Line,,,,,rockfish,rosethorn,150,150,4,,,,,
SL_2022_CSEO_Dive_20_12-21-57.000.avi,7094,12:42:14,,,,70.158,2.936,5631.95,30.524,,,2688.032,958.776,-4855.317,1,KelliiWood,100,N/A,2022,20,21,Line,,,,,rockfish,yelloweye,145,145,5,AD,Fish milling/hovering,,NO LENGTH - too far away,
SL_2022_CSEO_Dive_20_12-21-57.000.avi,7320,12:42:22,,,,14.964,0.115,2559.937,29.06,,,-1170.436,-428.676,-2235.977,1,KelliiWood,100,N/A,2022,20,21,Line,,,,,rockfish,rosethorn,150,150,6,,,,,
SL_2022_CSEO_Dive_20_12-21-57.000.avi,7976,12:42:44,,,,93.645,0.341,6916.213,6.143,,,-548.199,469.771,-6878.43,1,KelliiWood,100,N/A,2022,20,21,Line,,,,,rockfish,silvergray,157,157,7,,,,,
SL_2022_CSEO_Dive_20_12-21-57.000.avi,9238,12:43:26,,,,18.628,0.13,3131.413,3.38,,,184.1,-26.728,-3125.882,1,KelliiWood,100,N/A,2022,20,21,Line,,,,,rockfish,rosethorn,150,150,8,,,,,
SL_2022_CSEO_Dive_20_12-21-57.000.avi,10285,12:44:01,,,,87.877,0.493,6087.035,24.264,,,-1411.807,2042.682,-5557.539,1,KelliiWood,100,N/A,2022,20,21,Line,,,,,rockfish,yelloweye,145,145,9,AD,Fish milling/hovering,,NO LENGTH - facing ROV- GRAVID ,
SL_2022_CSEO_Dive_20_12-21-57.000.avi,10733,12:44:16,,,,62.535,1.01,5527.155,11.134,,,-198.267,1027.034,-5427.276,1,KelliiWood,100,N/A,2022,20,21,Line,,,,,rockfish,rosethorn,150,150,10,,,,,
SL_2022_CSEO_Dive_20_12-21-57.000.avi,10972,12:44:24,,,606.304,264.177,1.837,7063.981,9.259,48.068,6.281,-106.869,1131.59,-6971.937,1,KelliiWood,100,N/A,2022,20,21,Line,,,,,rockfish,rosethorn,150,150,11,AD,Fish milling/hovering,,,
