3D Point and Length Measurements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: Tuesday, July 05, 2022 09:50:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename,Frame,Time (HMS),Period,Period time (HMS),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Depth,Comment,Year,Dive,Transect Number,Dive Type,,,,,Family,Genus,Species,Code,Number,Stage,Activity,Check ID,Comment,Event Time HH:MM:SS
SL_2022_CSEO_Dive_24_09-21-18.000.avi,22238,10:29:05,,,,21.702,0.751,3222.489,31.397,,,-1665.135,202.855,-2751.475,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,rosethorn,150,150,22,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,23099,10:29:34,,,,19.506,1.831,3075.773,10.631,,,564.728,43.214,-3023.176,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,rosethorn,150,150,23,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,24690,10:30:27,,,,8.654,0.059,2050.877,8.264,,,-27.203,-301.661,-2028.388,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,rosethorn,150,150,24,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,25622,10:30:58,,,,18.457,0.135,2874.995,17.553,,,830.067,239.649,-2742.107,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,rosethorn,150,150,25,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,27046,10:31:46,,,,30.276,1.114,3647.329,17.268,,,-956.58,493.12,-3484.939,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,rosethorn,150,150,26,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,28251,10:32:26,,,,9.464,1.275,2024.169,18.468,,,-303.149,-572.718,-1917.643,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,rosethorn,150,150,27,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,28790,10:32:44,,,,44.569,2.133,4486.671,14.703,,,984.411,555.14,-4342.001,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,rosethorn,150,150,28,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,30460,10:33:39,,,,10.951,4.324,2213.549,14.676,,,269.942,-500.15,-2139.341,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,rosethorn,150,150,29,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,30940,10:33:55,,,,35.661,0.583,4065.61,18.286,,,165.838,1249.321,-3865.344,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,dusky,172,172,30,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,31638,10:34:19,,,,75.463,0.893,5729.435,24.83,,,-830.797,2237.108,-5208.795,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,dusky,172,172,31,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,32888,10:35:00,,,,13.061,0.775,2363.405,18.705,,,514.23,-565.765,-2236.327,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,rosethorn,150,150,32,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,33647,10:35:26,,,,37.311,4.187,4355.977,7.96,,,35.756,584.913,-4316.38,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,rosethorn,150,150,33,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,34916,10:36:08,,,,16.213,0.75,2784.714,8.998,,,-237.508,-376.074,-2748.962,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,rosethorn,150,150,34,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,36251,10:36:52,,,,37.975,0.646,4286.198,11.62,,,862.475,-54.626,-4198.172,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,skate,longnose skate,701,701,35,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,36975,10:37:17,,,,63.518,0.031,5273.717,18.409,,,1475.351,752.54,-5006.907,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,rosethorn,150,150,36,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,37607,10:37:38,,,,26.719,1.6,3536.921,11.138,,,-456.911,494.126,-3472.303,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,rosethorn,150,150,37,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,39014,10:38:24,,,,43.752,1.781,4750.655,5.453,,,436.842,-132.686,-4728.667,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,dusky,172,172,38,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,39014,10:38:24,,,,34.342,1.047,4065.678,10.805,,,187.638,-754.709,-3990.607,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,dusky,172,172,39,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,39177,10:38:30,,,888.42,184.792,0.941,6973.018,17.979,33.293,6.729,1082.605,1860.316,-6632.509,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,yelloweye,145,145,40,AD,Fish resting on bottom,,VERY GRAVID FEMALE,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,39311,10:38:34,,,,38.736,0.141,4096.529,30.036,,,1743.453,1065.081,-3550.708,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,dusky,172,172,41,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,42765,10:40:29,,,,14.02,0.561,2630.508,6.551,,,-235.432,-196.586,-2612.566,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,rosethorn,150,150,42,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,44027,10:41:12,,,,27.215,0.417,3501.33,21.816,,,1285.38,189.228,-3251.354,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,rosethorn,150,150,43,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,45183,10:41:50,,,,58.093,0.265,5109.146,16.374,,,632.725,1274.259,-4907.066,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,rosethorn,150,150,44,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,45865,10:42:13,,,,25.829,0.298,3464.463,29.999,,,1702.189,-332.907,-2999.038,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,rosethorn,150,150,45,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,46928,10:42:48,,,730.986,28.651,2.46,3418.676,17.521,19.156,18.32,-453.678,923.802,-3260.078,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,yelloweye,145,145,46,AD,Attracted,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,47140,10:42:55,,,,8.539,0.329,2021.447,9.593,,,-56.878,-340.015,-1991.834,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,rosethorn,150,150,47,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,47218,10:42:58,,,679.761,181.151,2.295,6798.439,10.979,33.869,14.231,-838.939,986.119,-6674.018,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,yelloweye,145,145,48,AD,Fish milling/hovering,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,48827,10:43:52,,,,8.971,0.512,2054.348,9.714,,,-315.807,-151.024,-2024.303,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,rosethorn,150,150,49,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,49355,10:44:09,,,,8.53,0.423,1885.537,24.212,,,554.233,-546.116,-1717.508,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,rosethorn,150,150,50,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,51277,10:45:13,,,571.942,37.163,0.423,5876.535,13.702,3.687,15.181,-717.18,1193.003,-5709.296,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,yelloweye,145,145,53,AD,Fish milling/hovering,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,51277,10:45:13,,,,21.01,0.14,3301.122,5.235,,,-63.632,281.249,-3288.504,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,dusky,172,172,51,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,51277,10:45:13,,,,62.114,1.38,5171.003,24.663,,,-2013.03,758.122,-4702.365,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,dusky,172,172,52,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,52163,10:45:43,,,516.162,57.579,1.767,4540.867,24.585,15.582,3.006,-1527.668,1111.456,-4129.209,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,yelloweye,145,145,54,AD,Fish milling/hovering,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,52198,10:45:44,,,,81.233,1.012,5904.679,19.287,,,-1559.839,1148.415,-5577.928,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,yelloweye,145,145,55,AD,Feeding,,NO LENGTH - wrong angle,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,52198,10:45:44,,,,37.049,0.193,4192.749,10.656,,,445.761,617.871,-4122.945,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,yelloweye,145,145,56,AD,Fish milling/hovering,,NO LENGTH - facing ROV,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,53410,10:46:24,,,,45.235,3.419,4450.507,26.773,,,1888.469,656.915,-3976.073,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,rosethorn,150,150,57,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,53933,10:46:42,,,,8.554,0.063,1991.982,13.46,,,-67.851,-466.428,-1935.415,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,rosethorn,150,150,58,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,54111,10:46:48,,,,21.002,0.769,3099.522,14.03,,,691.256,282.621,-3008.211,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,rosethorn,150,150,59,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,55909,10:47:48,,,,15.279,0.157,2844.688,2.236,,,105.243,-46.625,-2842.358,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,rosethorn,150,150,60,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,56226,10:47:58,,,,34.427,0.15,3930.901,26.04,,,-1700.996,276.523,-3533.005,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,rosethorn,150,150,61,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,56926,10:48:22,,,,49.663,0.743,4915.967,10.067,,,-291.641,788.922,-4843.478,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,rosethorn,150,150,62,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,57596,10:48:44,,,,117.425,2.702,7234.767,31.34,,,-3446.593,1485.486,-6185.158,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,yelloweye,145,145,63,AD,Fish milling/hovering,,NO LENGTH - too far away,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,58810,10:49:24,,,,103.016,0.151,6575.562,27.732,,,-1837.109,2423.711,-5829.981,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,yelloweye,145,145,64,AD,Fish actively swimming in frame,,NO LENGTH - too far away,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,58810,10:49:24,,,,13.645,0.03,2395.556,20.796,,,-595.081,-616.61,-2237.043,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,rosethorn,150,150,65,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,59540,10:49:49,,,,16.481,0.549,2753.7,14.838,,,-171.22,-694.719,-2659.118,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,tiger,148,148,66,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,59597,10:49:51,,,,100.668,0.623,6567.466,20.439,,,-1975.868,1139.647,-6158.633,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,canary,146,146,67,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,59597,10:49:51,,,,125.704,1.469,7453.192,18.412,,,2166.266,893.054,-7075.296,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,canary,146,146,68,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,59597,10:49:51,,,,173.647,3.402,8656.445,19.148,,,2247.467,1702.456,-8184.41,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,canary,146,146,69,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,60076,10:50:07,,,,6.127,1.306,1651.641,15.675,,,-147.226,-427.621,-1588.516,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,dusky,172,172,70,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,60371,10:50:16,,,,48.885,0.306,4611.493,21.172,,,707.164,1490.707,-4306.225,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,dusky,172,172,71,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,60614,10:50:24,,,,20.497,0.526,3030.752,23.677,,,-1211.221,-130.625,-2775.128,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,dusky,172,172,72,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,60989,10:50:37,,,500.767,102.851,1.626,5899.268,18.323,22.135,23.475,1745.855,625.652,-5600.17,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,yelloweye,145,145,73,AD,Fish milling/hovering,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,61036,10:50:39,,,,25.438,1.237,3443.193,11.45,,,-339.037,-606.982,-3372.27,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,rosethorn,150,150,74,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,61135,10:50:42,,,,29.712,0.257,3953.856,3.946,,,-1.187,-287.902,-3943.36,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,rosethorn,150,150,75,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,61377,10:50:50,,,,41.504,0.817,4485.41,13.107,,,-51.598,998.335,-4372.593,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,rosethorn,150,150,76,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,61636,10:50:59,,,,6.958,0.28,1736.022,15.885,,,-345.145,-333.258,-1668.408,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,rosethorn,150,150,77,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,63263,10:51:53,,,,8.452,0.236,1893.626,19.772,,,-557.343,-322.908,-1780.708,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,rosethorn,150,150,78,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,63958,10:52:16,,,,6.587,0.387,1735.964,11.037,,,-198.74,-273.187,-1702.775,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,rosethorn,150,150,79,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,64241,10:52:25,,,,39.78,0.438,4088.995,25.078,,,-986.999,1409.753,-3709.22,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,canary,146,146,80,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,64242,10:52:25,,,,27.647,0.444,3412.054,22.748,,,986.449,863.584,-3150.12,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,dusky,172,172,81,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,64522,10:52:35,,,,23.297,0.787,3295.692,11.457,,,-536.283,362.485,-3231.5,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,skate,longnose skate,701,701,82,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,64968,10:52:50,,,,44.3,0.092,4414.511,16.81,,,807.606,971.826,-4229.803,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,dusky,172,172,83,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,65635,10:53:12,,,,12.627,2.529,2468.474,8.907,,,-344.128,156.532,-2439.352,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,rosethorn,150,150,84,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,65635,10:53:12,,,,13.402,2.35,2493.304,11.318,,,-359.727,321.943,-2446.123,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,rosethorn,150,150,85,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,68011,10:54:31,,,,34.32,0.66,3975.724,20.309,,,-155.851,1356.157,-3734.024,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,rosethorn,150,150,86,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,70876,10:56:07,,,,23.011,1.343,3441.178,5.471,,,-136.274,284.736,-3426.669,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,rosethorn,150,150,87,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,74491,10:58:07,,,,41.266,2.507,4331.652,17.09,,,-1257.67,-213.097,-4139.573,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,rosethorn,150,150,88,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,75520,10:58:41,,,,31.439,0.885,3785.205,18.168,,,-1168.357,152.634,-3597.14,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,dusky,172,172,89,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,76069,10:59:00,,,,16.796,0.961,2992.458,2.202,,,113.661,5.465,-2990.293,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,rosethorn,150,150,90,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,76069,10:59:00,,,,36.223,0.534,3897.551,25.803,,,1282.038,1097.068,-3513.364,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,dusky,172,172,91,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,76652,10:59:19,,,,10.348,0.441,2155.465,19.333,,,-132.137,-709.371,-2031.099,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,rosethorn,150,150,92,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,77265,10:59:39,,,,43.447,0.93,4348.456,26.28,,,1799.273,669.549,-3901.717,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,rosethorn,150,150,93,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,79780,11:01:03,,,,14.698,0.623,2688.535,8.291,,,64.146,-392.974,-2658.887,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,rosethorn,150,150,94,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,81898,11:02:14,,,,41.218,3.247,4296.009,26.675,,,-1892.334,356.99,-3840.224,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,rosethorn,150,150,95,,,,,
SL_2022_CSEO_Dive_24_09-21-18.000.avi,82120,11:02:21,,,,33.9,0.279,3985.382,34.761,,,-2020.514,1026.479,-3278.282,1,KelliiWood,120,N/A,2022,24,24,Line,,,,,rockfish,dusky,172,172,96,,,,,
