Event,DIVE_NO,SECONDS,VESSEL_X,VESSEL_Y,Vessel_heading,VESSEL_PITCH,VESSEL_ROLL,ROV_X,ROV_Y,ROV_Z,ROV_Heading,ROV_CMG,Alt,ROV_pitch
1,cseo_1,44132,467453.23,6287800.23,33.1,-2.29,-8.02,467494.44,6287757.63,123,66,172.21,2.11,-41.83
2,cseo_1,44133,467453.14,6287801.35,34.2,-5.16,-9.17,467494.44,6287757.63,123,66,172.21,1.69,-40.11
3,cseo_1,44134,467453.65,6287802.09,38.3,-6.88,-0.57,467491.17,6287757.82,118.5,65,165.67,1.58,-37.82
4,cseo_1,44135,467454.67,6287802.26,43.4,-4.58,10.89,467491.17,6287757.82,124,55,165.67,1.41,-33.23
5,cseo_1,44136,467455.49,6287802.63,46.8,-0.57,16.04,467491.17,6287757.82,124,49,165.67,1.35,-37.82
6,cseo_1,44137,467456.01,6287803.55,46.9,-1.15,12.03,467501,6287758,124,46,133.68,1.44,-34.95
7,cseo_1,44138,467456.12,6287804.85,45.1,-2.86,2.29,467501,6287758,123,43,133.68,1.63,-33.23
8,cseo_1,44139,467455.93,6287805.96,43.5,-2.86,-6.88,467501,6287758,123,43,133.68,1.63,-33.23
9,cseo_1,44140,467456.04,6287806.89,43.8,-4.58,-8.02,467495.34,6287762.56,119,41,183.65,1.86,-29.79
10,cseo_1,44141,467456.75,6287807.26,47.6,-5.73,1.15,467495.34,6287762.56,123,36,183.65,2.2,-28.07
11,cseo_1,44142,467457.77,6287807.25,52.5,-2.86,11.46,467495.34,6287762.56,123,36,183.65,2.62,-28.07
12,cseo_1,44143,467458.38,6287807.24,55.3,0,15.47,467495.34,6287762.56,123,42,183.65,2.79,-26.93
13,cseo_1,44144,467458.59,6287807.98,55,-0.57,9.17,467495.34,6287762.56,123,58,183.65,2.99,-25.78
14,cseo_1,44145,467458.6,6287809.1,52.9,-4.58,0.57,467500.96,6287763.17,117.9,66,50.84,3.33,-25.78
15,cseo_1,44146,467458.61,6287810.02,52.1,-5.73,-6.3,467500.96,6287763.17,123,67,50.84,3.7,-28.07
16,cseo_1,44147,467458.82,6287810.39,53.7,-3.44,-4.58,467500.96,6287763.17,123,69,50.84,4.2,-24.06
17,cseo_1,44148,467459.53,6287810.2,56.6,-2.29,4.58,467500.96,6287763.17,123,57,50.84,4.35,-22.92
18,cseo_1,44149,467460.14,6287809.83,60,-2.86,12.03,467500.96,6287763.17,123,52,50.84,4.26,-25.21
19,cseo_1,44150,467460.34,6287810.01,62.5,-1.72,13.18,467500.96,6287763.17,122,51,50.84,4.26,-29.79
20,cseo_1,44151,467460.45,6287810.57,62.9,-3.44,8.59,467500.96,6287763.17,122,52,50.84,4.35,-32.09
21,cseo_1,44152,467460.56,6287811.31,61.2,-4.01,1.72,467500.96,6287763.17,122,52,50.84,4.35,-32.09
22,cseo_1,44153,467460.46,6287811.68,60.4,0.57,-3.44,467499.55,6287770.11,120.2,52,14.43,4.8,-26.93
23,cseo_1,44154,467460.56,6287811.86,61.7,0,-2.29,467499.55,6287770.11,122,48,14.43,5.36,-26.93
24,cseo_1,44155,467460.87,6287811.86,64.9,-4.58,4.01,467499.55,6287770.11,122,44,14.43,5.53,-30.94
25,cseo_1,44156,467461.07,6287811.49,68,-4.58,9.74,467497.27,6287770.44,122,33,332.3,5.42,-30.94
26,cseo_1,44157,467461.27,6287811.49,69.8,-2.86,10.89,467497.27,6287770.44,122,8,332.3,4.52,-33.8
27,cseo_1,44158,467461.68,6287811.86,70.8,-1.72,8.02,467497.27,6287770.44,122,333,332.3,3.75,-38.96
28,cseo_1,44159,467462,6287812.78,71.5,0.57,1.72,467497.27,6287770.44,123,314,332.3,3.36,-41.25
29,cseo_1,44160,467462.31,6287813.52,71.6,0.57,-1.15,467497.27,6287770.44,123,301,332.3,2.99,-41.83
30,cseo_1,44161,467462.72,6287813.89,73.5,-1.15,0.57,467497.27,6287770.44,123,290,332.3,2.59,-44.12
31,cseo_1,44162,467462.92,6287813.89,76.5,-0.57,3.44,467497.27,6287770.44,123,287,332.3,2.31,-45.26
32,cseo_1,44163,467463.33,6287813.88,80.7,-2.29,7.45,467497.27,6287770.44,123,281,332.3,1.94,-45.26
33,cseo_1,44164,467463.94,6287814.06,82.3,-4.01,8.59,467497.27,6287770.44,123,289,332.3,1.69,-45.26
34,cseo_1,44165,467464.36,6287814.62,83.5,-1.15,5.16,467502.76,6287776.6,120.3,289,22.31,1.69,-45.26
35,cseo_1,44166,467465.18,6287815.35,84.1,0.57,2.29,467502.76,6287776.6,123,291,22.31,1.46,-42.97
36,cseo_1,44167,467466.1,6287815.9,87,0.57,2.29,467502.76,6287776.6,124,290,22.31,1.58,-38.96
37,cseo_1,44168,467466.92,6287816.08,88.7,1.72,4.58,467499.89,6287777.97,120.9,293,338.33,1.58,-30.94
38,cseo_1,44169,467467.63,6287816.08,94.4,1.15,6.3,467499.89,6287777.97,124,298,338.33,1.69,-30.94
39,cseo_1,44170,467468.25,6287816.44,95.9,0,5.73,467499.89,6287777.97,124,301,338.33,1.72,-29.79
40,cseo_1,44171,467468.76,6287817,100.5,1.15,3.44,467501.25,6287778.61,120,301,20.3,1.92,-29.79
41,cseo_1,44172,467469.27,6287817.73,101.5,1.15,1.72,467501.25,6287778.61,123,300,20.3,1.89,-29.79
42,cseo_1,44173,467470.3,6287818.1,107.2,-2.29,3.44,467501.25,6287778.61,123,300,20.3,2.06,-30.94
43,cseo_1,44174,467471.52,6287817.9,109.1,-3.44,6.3,467501.33,6287782.76,121.2,298,25.7,2.06,-29.79
44,cseo_1,44175,467472.23,6287817.71,115.1,3.44,7.45,467501.33,6287782.76,123,296,25.7,2.26,-30.94
45,cseo_1,44176,467472.95,6287817.71,116.2,9.17,6.3,467501.33,6287782.76,123,296,25.7,2.14,-32.09
46,cseo_1,44177,467473.97,6287817.88,121.2,4.58,4.58,467499.46,6287774.57,117.8,296,352.25,2.14,-32.09
47,cseo_1,44178,467474.78,6287818.06,122.3,-3.44,2.29,467499.46,6287774.57,123,296,352.25,2.23,-30.94
48,cseo_1,44179,467475.5,6287818.24,127.9,-3.44,1.15,467499.46,6287774.57,123,295,352.25,2.37,-29.79
49,cseo_1,44180,467476.11,6287818.24,129.4,2.29,1.72,467502.82,6287783.57,120.2,294,26.67,2.45,-29.22
50,cseo_1,44181,467476.93,6287818.05,134.9,5.73,5.16,467502.82,6287783.57,123,295,26.67,2.59,-29.79
51,cseo_1,44182,467477.74,6287817.3,136.4,2.29,9.17,467502.82,6287783.57,123,295,26.67,2.45,-30.94
52,cseo_1,44183,467478.65,6287816.92,141.5,1.15,9.17,467498.94,6287776.77,119.2,296,340.91,2.37,-32.09
53,cseo_1,44184,467479.26,6287817.1,142.3,5.73,5.73,467498.94,6287776.77,123,296,340.91,2.23,-32.09
54,cseo_1,44185,467479.57,6287816.91,143.2,6.3,3.44,467498.94,6287776.77,123,298,340.91,2.34,-33.8
55,cseo_1,44186,467479.97,6287816.54,144.6,0,3.44,467495.08,6287777.69,123,299,296.66,2.31,-32.09
56,cseo_1,44187,467480.48,6287816.16,149.1,-2.86,2.86,467495.08,6287777.69,123,298,296.66,2.48,-33.8
57,cseo_1,44188,467481.19,6287816.16,151.6,-0.57,2.86,467495.08,6287777.69,123,297,296.66,2.34,-33.23
58,cseo_1,44189,467481.9,6287815.59,155.2,3.44,4.58,467497.3,6287780.82,123,296,2.63,2.4,-30.94
59,cseo_1,44190,467482.31,6287815.04,157.4,5.16,8.02,467497.3,6287780.82,123,296,2.63,2.4,-30.94
60,cseo_1,44191,467482.61,6287814.11,161.4,4.01,9.74,467497.3,6287780.82,123,298,2.63,2.45,-33.23
61,cseo_1,44192,467483.01,6287813.73,162.6,3.44,7.45,467492.63,6287775.97,118.4,299,267.86,2.57,-30.94
62,cseo_1,44193,467483.42,6287813.54,163.4,2.86,3.44,467492.63,6287775.97,123,298,267.86,2.62,-33.23
63,cseo_1,44194,467483.82,6287813.17,165,1.72,0.57,467492.63,6287775.97,123,294,267.86,2.68,-33.23
64,cseo_1,44195,467484.23,6287812.79,168.4,0,1.15,467491.69,6287781.97,119,294,296.01,2.62,-30.94
65,cseo_1,44196,467484.83,6287812.23,170.8,-0.57,3.44,467491.69,6287781.97,123,295,296.01,2.54,-32.09
66,cseo_1,44197,467485.55,6287811.86,175.2,2.86,5.73,467491.69,6287781.97,123,295,296.01,2.42,-32.09
67,cseo_1,44198,467485.85,6287811.48,178.2,6.3,9.17,467489.79,6287780.93,123,296,280.79,2.31,-34.95
68,cseo_1,44200,467485.43,6287810.56,182.2,4.01,13.18,467489.79,6287780.93,123,296,280.79,2.4,-32.09
69,cseo_1,44201,467485.33,6287810,183.3,1.72,9.74,467489.79,6287780.93,123,297,280.79,2.51,-29.22
70,cseo_1,44202,467486.04,6287809.81,182.2,2.29,0.57,467485.28,6287778.12,123,297,253.72,2.42,-30.94
71,cseo_1,44203,467487.05,6287809.25,181.3,0.57,-5.16,467485.28,6287778.12,123,299,253.72,2.51,-29.79
72,cseo_1,44204,467487.56,6287808.69,183.5,-0.57,-2.29,467485.28,6287778.12,123,299,253.72,2.51,-29.79
73,cseo_1,44205,467487.15,6287808.13,188.1,1.72,6.88,467487.71,6287787.72,120.7,300,318.1,2.62,-28.07
74,cseo_1,44206,467486.33,6287807.58,193.2,4.01,14.9,467487.71,6287787.72,123,301,318.1,2.59,-29.22
75,cseo_1,44207,467486.12,6287807.03,195.6,4.01,14.32,467487.71,6287787.72,123,302,318.1,2.54,-29.79
76,cseo_1,44208,467486.93,6287806.47,194.6,3.44,5.73,467477.62,6287780.14,119.7,302,262.95,2.34,-32.09
77,cseo_1,44209,467487.84,6287805.9,192.5,1.72,-2.29,467477.62,6287780.14,123,301,262.95,2.28,-33.23
78,cseo_1,44210,467488.25,6287805.34,192.9,-1.15,-2.86,467477.62,6287780.14,123,300,262.95,2.37,-33.23
79,cseo_1,44211,467487.84,6287805.16,196.3,-0.57,2.86,467483.77,6287790.75,123,300,312.58,2.54,-29.79
80,cseo_1,44212,467486.92,6287804.98,200.7,2.29,10.89,467483.77,6287790.75,123,301,312.58,2.51,-26.93
81,cseo_1,44213,467486.41,6287804.61,203.7,3.44,13.18,467483.77,6287790.75,123,301,312.58,2.37,-29.22
82,cseo_1,44214,467487.22,6287804.05,202.7,2.29,5.16,467483.77,6287790.75,123,299,312.58,2.28,-32.09
83,cseo_1,44215,467488.74,6287803.11,200.6,-1.72,-2.86,467483.77,6287790.75,123,297,312.58,2.26,-33.23
84,cseo_1,44216,467489.45,6287802.18,201.6,-3.44,-3.44,467479.26,6287791.46,121.2,297,311.05,2.26,-33.23
85,cseo_1,44217,467488.73,6287802,205.5,0.57,4.58,467479.26,6287791.46,123,295,311.05,2.31,-30.94
86,cseo_1,44218,467487.41,6287802.01,209.7,3.44,12.61,467479.26,6287791.46,123,298,311.05,2.17,-29.79
87,cseo_1,44219,467487.1,6287801.45,212.6,2.29,12.03,467474.38,6287790.96,120.3,299,293.91,2.09,-30.94
88,cseo_1,44220,467487.6,6287800.71,213.1,1.15,5.73,467474.38,6287790.96,123,298,293.91,2,-30.94
89,cseo_1,44221,467488.41,6287800.15,211.2,1.15,-1.72,467474.38,6287790.96,123,298,293.91,2.11,-30.94
90,cseo_1,44222,467488.92,6287799.59,210.5,-0.57,-2.86,467475.13,6287794.65,123,299,316.89,2.37,-26.93
91,cseo_1,44223,467488.61,6287799.22,212.9,-3.44,2.86,467475.13,6287794.65,123,301,316.89,2.48,-28.07
92,cseo_1,44224,467488.1,6287799.03,216.9,-1.15,9.17,467475.13,6287794.65,123,299,316.89,2.48,-29.22
93,cseo_1,44225,467487.79,6287799.04,220,3.44,11.46,467474.35,6287793.11,123,298,302.74,2.62,-28.07
94,cseo_1,44226,467487.79,6287798.48,220.9,2.86,8.02,467474.35,6287793.11,123,299,302.74,2.88,-29.22
95,cseo_1,44227,467488.29,6287797.55,220.4,-1.15,1.72,467474.35,6287793.11,123,298,302.74,2.99,-29.79
96,cseo_1,44228,467488.8,6287797.17,219.2,-2.29,-2.29,467470.9,6287797.04,123,297,310.43,2.9,-30.94
97,cseo_1,44229,467488.9,6287796.8,219.1,-1.72,-1.15,467470.9,6287797.04,123,297,310.43,2.9,-30.94
98,cseo_1,44230,467488.59,6287796.43,221.7,-1.72,4.58,467470.9,6287797.04,123,295,310.43,3.02,-29.22
99,cseo_1,44231,467488.08,6287796.25,225.5,0.57,10.31,467470.9,6287797.04,123,298,310.43,2.82,-30.94
100,cseo_1,44232,467487.67,6287796.07,228.6,1.72,10.89,467470.9,6287797.04,123,300,310.43,2.65,-33.23
101,cseo_1,44233,467487.86,6287795.33,229.1,0.57,5.16,467470.9,6287797.04,123,299,310.43,2.65,-33.23
102,cseo_1,44234,467488.26,6287794.21,228.2,-0.57,-1.15,467470.9,6287797.04,123,299,310.43,2.65,-32.09
103,cseo_1,44235,467488.26,6287793.65,227.6,-0.57,-2.29,467470.9,6287797.04,123,299,310.43,2.51,-33.23
104,cseo_1,44236,467487.75,6287793.47,229.2,-1.15,2.29,467469.76,6287803.44,123,299,328.37,2.54,-30.94
105,cseo_1,44237,467487.14,6287793.48,234.4,0,8.02,467469.76,6287803.44,123,300,328.37,2.54,-32.09
106,cseo_1,44238,467486.83,6287793.11,236.1,0.57,9.17,467469.76,6287803.44,123,300,328.37,2.4,-32.09
107,cseo_1,44239,467486.92,6287792.18,237.1,0,5.16,467464.88,6287802.92,123,298,303.64,2.23,-32.09
108,cseo_1,44240,467487.32,6287791.06,236.9,-0.57,0,467464.88,6287802.92,123,297,303.64,2.23,-33.23
109,cseo_1,44241,467487.11,6287789.95,238.5,-1.72,0,467464.88,6287802.92,123,296,303.64,2.31,-30.94
110,cseo_1,44242,467486.29,6287789.4,240.4,-1.72,3.44,467467.16,6287805.42,121.2,296,337.91,2.31,-30.94
111,cseo_1,44243,467485.67,6287789.04,245.1,1.15,6.88,467467.16,6287805.42,123,296,337.91,2.34,-30.94
112,cseo_1,44244,467484.96,6287788.48,245.9,1.72,8.02,467467.16,6287805.42,123,296,337.91,2.42,-30.94
113,cseo_1,44245,467484.13,6287787.56,247.2,-0.57,5.73,467461.88,6287806.87,123,297,306.38,2.57,-29.79
114,cseo_1,44246,467483.61,6287786.45,247.4,-1.15,1.72,467461.88,6287806.87,123,299,306.38,2.54,-30.94
115,cseo_1,44247,467483,6287785.53,248.9,0,0,467461.88,6287806.87,123,298,306.38,2.62,-30.94
116,cseo_1,44248,467482.07,6287784.98,249.5,0,2.29,467463.13,6287807.57,123,297,314.96,2.59,-29.79
117,cseo_1,44249,467481.15,6287784.43,252.6,-0.57,5.16,467463.13,6287807.57,123,298,314.96,2.54,-29.22
118,cseo_1,44250,467480.23,6287783.7,254.1,0,6.88,467460.21,6287808.41,121.3,298,320.99,2.65,-30.94
119,cseo_1,44251,467479.41,6287782.96,257.4,0,5.73,467460.21,6287808.41,123,299,320.99,2.9,-29.79
120,cseo_1,44252,467478.48,6287782.04,257.7,0,3.44,467460.21,6287808.41,123,300,320.99,2.82,-29.79
121,cseo_1,44253,467477.46,6287781.31,258.8,-0.57,1.72,467459.66,6287810.23,120.3,300,315.17,2.82,-29.79
122,cseo_1,44254,467476.53,6287780.76,258.6,-0.57,1.72,467459.66,6287810.23,123,302,315.17,2.82,-29.22
123,cseo_1,44255,467475.51,6287779.84,260.1,-0.57,2.86,467459.66,6287810.23,123,302,315.17,2.82,-29.22
124,cseo_1,44256,467474.18,6287779.29,262.2,-0.57,5.73,467459.02,6287810.19,121.2,304,317.96,2.99,-29.22
125,cseo_1,44257,467472.75,6287778.75,266.6,1.15,7.45,467459.02,6287810.19,123,308,317.96,3.07,-30.94
126,cseo_1,44258,467471.62,6287777.64,267.9,1.15,5.16,467459.02,6287810.19,123,311,317.96,2.96,-30.94
127,cseo_1,44259,467470.08,6287776.36,271.6,-1.15,2.29,467459.02,6287810.19,123,310,317.96,2.96,-30.94
128,cseo_1,44260,467468.64,6287775.25,273.2,-0.57,0,467459.02,6287810.19,123,308,317.96,2.96,-32.09
129,cseo_1,44261,467467.41,6287774.71,278.2,2.29,1.15,467459.02,6287810.19,123,307,317.96,2.9,-32.09
130,cseo_1,44262,467465.98,6287774.53,282.3,1.15,5.16,467459.02,6287810.19,123,302,317.96,2.68,-33.8
131,cseo_1,44263,467464.45,6287774.36,287.3,0.57,6.88,467459.02,6287810.19,123,301,317.96,2.28,-33.8
132,cseo_1,44264,467463.12,6287773.81,288.8,0.57,4.58,467459.02,6287810.19,123,301,317.96,2.14,-33.8
133,cseo_1,44265,467461.38,6287773.27,291.8,0.57,1.72,467459.02,6287810.19,123,300,317.96,2.2,-33.23
134,cseo_1,44266,467459.75,6287772.72,292.9,0.57,0.57,467452.92,6287814.98,123,303,314.88,2.34,-30.94
135,cseo_1,44267,467458.22,6287772.37,297.8,1.15,1.15,467452.92,6287814.98,123,305,314.88,2.42,-29.79
136,cseo_1,44268,467456.69,6287772.75,301.4,0,4.58,467452.92,6287814.98,123,305,314.88,2.42,-29.79
137,cseo_1,44269,467455.47,6287773.13,304,1.15,6.3,467452.93,6287816.6,120.6,306,308.06,2.37,-30.94
138,cseo_1,44270,467454.25,6287773.32,304.7,2.29,5.16,467452.93,6287816.6,123,305,308.06,2.42,-30.94
139,cseo_1,44272,467452.61,6287773.34,305.5,0.57,2.86,467452.93,6287816.6,123,304,308.06,2.37,-32.09
140,cseo_1,44273,467450.88,6287773.72,306.2,-2.86,1.72,467452.45,6287818.28,120.6,303,320.94,2.31,-29.79
141,cseo_1,44274,467449.15,6287774.11,307.4,-1.72,1.72,467452.45,6287818.28,123,304,320.94,2.34,-29.22
142,cseo_1,44275,467448.14,6287774.67,308.9,4.01,3.44,467452.45,6287818.28,123,304,320.94,2.37,-30.94
143,cseo_1,44276,467447.02,6287775.61,310.6,2.86,7.45,467453.15,6287819.5,123,303,314.97,2.4,-28.07
144,cseo_1,44277,467445.5,6287776.55,312,-1.15,8.59,467453.15,6287819.5,123,304,314.97,2.26,-29.79
145,cseo_1,44278,467444.18,6287776.93,312.3,-1.15,5.16,467453.15,6287819.5,123,305,314.97,2.28,-30.94
146,cseo_1,44279,467442.86,6287777.31,311.4,-0.57,1.15,467451.65,6287821.14,123,304,323.9,2.4,-29.79
147,cseo_1,44280,467440.92,6287777.69,311.1,-1.15,-0.57,467451.65,6287821.14,123,303,323.9,2.42,-29.22
148,cseo_1,44281,467439.7,6287778.45,313.3,1.15,1.72,467451.65,6287821.14,123,303,323.9,2.37,-29.79
149,cseo_1,44282,467438.9,6287779.57,316.9,2.86,6.88,467451.65,6287821.14,123,303,323.9,2.37,-29.79
150,cseo_1,44283,467437.78,6287780.69,319.1,-2.29,10.31,467451.65,6287821.14,123,305,323.9,2.23,-29.79
151,cseo_1,44284,467436.16,6287781.26,318.4,-3.44,7.45,467451.65,6287821.14,123,304,323.9,2.09,-29.79
152,cseo_1,44285,467434.62,6287781.08,317.3,1.72,0,467451.65,6287821.14,123,305,323.9,2.06,-29.79
153,cseo_1,44286,467432.79,6287781.47,317.6,0.57,-1.15,467451.65,6287821.14,124,306,323.9,2.09,-32.09
154,cseo_1,44287,467431.48,6287782.59,319.7,-2.86,2.86,467453.09,6287820.3,123,306,321.38,2.17,-30.94
155,cseo_1,44288,467430.87,6287783.9,322.1,-1.15,8.59,467453.09,6287820.3,123,305,321.38,2.17,-28.07
156,cseo_1,44289,467430.27,6287785.01,323.5,1.72,9.74,467453.09,6287820.3,124,305,321.38,2.09,-29.79
157,cseo_1,44290,467428.95,6287785.77,323.9,-0.57,5.73,467452.3,6287824.22,123,306,332.89,2.17,-30.94
158,cseo_1,44291,467426.92,6287786.71,323,-5.16,0,467452.3,6287824.22,123,305,332.89,2.23,-29.79
159,cseo_1,44292,467425.39,6287787.09,321.4,-1.15,-2.29,467452.3,6287824.22,123,305,332.89,2.28,-28.07
160,cseo_1,44293,467424.48,6287788.4,321.7,1.15,2.29,467450.03,6287818.81,123,306,311.66,2.31,-29.79
161,cseo_1,44294,467423.78,6287789.89,324.1,-1.15,9.74,467450.03,6287818.81,123,306,311.66,2.31,-29.79
162,cseo_1,44295,467423.08,6287791.38,326.1,0,12.03,467450.03,6287818.81,123,306,311.66,2.23,-29.22
163,cseo_1,44296,467422.17,6287791.94,325.4,1.72,6.3,467450.91,6287824.04,120.8,305,329.59,2.03,-29.22
164,cseo_1,44297,467420.64,6287792.32,322.2,-4.01,-0.57,467450.91,6287824.04,123,305,329.59,2.09,-30.94
165,cseo_1,44298,467418.91,6287792.89,319.4,-8.02,-3.44,467450.91,6287824.04,123,305,329.59,2.37,-29.79
166,cseo_1,44299,467418,6287793.64,318.9,-3.44,0,467449.59,6287817.54,123,305,307.7,2.71,-25.78
167,cseo_1,44300,467417.4,6287795.32,321.2,1.15,8.02,467449.59,6287817.54,123,306,307.7,2.85,-22.92
168,cseo_1,44301,467416.6,6287796.81,323.6,0.57,13.75,467449.59,6287817.54,123,308,307.7,2.9,-24.06
169,cseo_1,44302,467415.68,6287797.56,323.9,0.57,10.31,467450.12,6287822.05,123,309,332.62,2.99,-25.21
170,cseo_1,44303,467414.46,6287797.75,322,-2.29,3.44,467450.12,6287822.05,123,308,332.62,3.13,-22.92
171,cseo_1,44304,467413.04,6287798.69,319.2,-8.02,-1.15,467450.12,6287822.05,123,304,332.62,3.55,-22.92
172,cseo_1,44305,467411.93,6287799.44,316.7,-6.3,-2.29,467448.99,6287818.67,123,302,276.22,3.3,-20.05
173,cseo_1,44306,467411.01,6287800.38,317.2,-1.15,2.29,467448.99,6287818.67,123,306,276.22,2.68,-24.06
174,cseo_1,44307,467409.8,6287801.87,320,0,8.59,467448.99,6287818.67,123,307,276.22,2.51,-29.22
175,cseo_1,44308,467408.89,6287802.8,322.1,1.15,10.89,467448.96,6287819.71,119.4,307,274.05,2.51,-29.22
176,cseo_1,44309,467407.77,6287803.37,324.1,-0.57,8.02,467448.96,6287819.71,123,307,274.05,3.02,-24.06
177,cseo_1,44310,467406.35,6287804.12,323.1,-5.16,2.86,467448.96,6287819.71,123,308,274.05,3.1,-26.93
178,cseo_1,44311,467405.13,6287804.5,320.2,-4.01,-1.15,467447.35,6287821.86,123,308,280.38,2.93,-25.21
179,cseo_1,44312,467404.42,6287805.06,320.1,-1.15,-0.57,467447.35,6287821.86,123,310,280.38,2.76,-25.78
180,cseo_1,44313,467403.51,6287806,322.4,-2.29,4.01,467447.35,6287821.86,123,312,280.38,2.71,-26.93
181,cseo_1,44314,467402.3,6287807.12,323.9,-4.01,8.02,467447.5,6287819.02,123,313,259.45,2.68,-28.07
182,cseo_1,44315,467401.49,6287807.87,326.1,-1.15,8.02,467447.5,6287819.02,123,309,259.45,2.57,-30.94
183,cseo_1,44316,467400.68,6287808.62,326.9,0.57,6.88,467447.5,6287819.02,123,304,259.45,3.05,-29.79
184,cseo_1,44317,467399.56,6287809.74,326.9,-3.44,4.01,467444.8,6287821.91,123,304,252.54,3.92,-21.77
185,cseo_1,44318,467397.94,6287810.31,326.3,-5.16,0,467444.8,6287821.91,123,310,252.54,3.98,-22.92
186,cseo_1,44319,467396.72,6287810.88,326,-0.57,-1.15,467443.78,6287818.88,119.5,311,272.41,3.58,-25.21
187,cseo_1,44320,467396.11,6287811.81,328.6,0.57,4.58,467443.78,6287818.88,119.5,311,272.41,3.58,-25.21
188,cseo_1,44321,467395.62,6287813.48,331.8,-2.29,10.89,467443.78,6287818.88,123,310,272.41,3.22,-21.77
189,cseo_1,44322,467395.01,6287814.41,332.2,-2.29,10.31,467443.78,6287818.88,123,312,272.41,2.71,-28.07
190,cseo_1,44323,467393.69,6287814.8,330.1,-1.72,3.44,467443.78,6287818.88,123,312,272.41,2.2,-33.8
191,cseo_1,44324,467392.16,6287815.36,329.4,-2.86,-2.29,467443.87,6287821.67,119.5,310,253.4,2.57,-32.09
192,cseo_1,44325,467391.25,6287816.3,329.2,-2.86,-2.29,467443.87,6287821.67,123,307,253.4,3.72,-21.77
193,cseo_1,44326,467390.75,6287817.23,330.2,-1.72,2.86,467443.87,6287821.67,123,309,253.4,4.43,-21.2
194,cseo_1,44327,467390.45,6287818.35,334.4,-1.72,9.17,467441.69,6287818.75,119.4,309,279.43,3.75,-26.93
195,cseo_1,44328,467390.05,6287819.46,335,-1.72,11.46,467441.69,6287818.75,123,306,279.43,3.24,-29.79
196,cseo_1,44329,467389.14,6287820.4,334.5,-2.86,7.45,467441.69,6287818.75,123,306,279.43,2.74,-32.09
197,cseo_1,44330,467387.52,6287820.78,333.1,-2.86,-0.57,467441.21,6287820.8,119.9,307,262.2,2.37,-33.23
198,cseo_1,44331,467386.09,6287821.53,330.9,-4.01,-3.44,467441.21,6287820.8,123,309,262.2,2.85,-29.79
199,cseo_1,44332,467385.29,6287822.65,331.7,-2.86,0.57,467441.21,6287820.8,123,312,262.2,3.5,-21.77
200,cseo_1,44333,467385.19,6287823.58,334.7,1.15,6.88,467439.55,6287817.74,120.1,312,266.29,3.5,-21.77
201,cseo_1,44334,467385.31,6287825.06,336.7,0.57,13.18,467439.55,6287817.74,123,317,266.29,3.47,-22.92
202,cseo_1,44335,467385.32,6287826.55,336.3,-3.44,13.18,467439.55,6287817.74,123,320,266.29,2.88,-29.22
203,cseo_1,44336,467384.1,6287827.3,331.4,-5.73,4.58,467439.69,6287822.25,121.6,316,286.99,2.4,-33.23
204,cseo_1,44337,467382.47,6287827.5,326,-4.58,-5.16,467439.69,6287822.25,123,314,286.99,2.14,-37.24
205,cseo_1,44338,467381.45,6287828.06,325.6,-2.29,-4.01,467439.69,6287822.25,123,311,286.99,2.71,-32.09
206,cseo_1,44339,467381.57,6287829.36,329,-0.57,6.3,467441.83,6287817.47,116.4,311,232.21,3.95,-21.2
207,cseo_1,44340,467381.89,6287831.21,330.2,-2.86,15.47,467441.83,6287817.47,123,312,232.21,4.06,-25.21
208,cseo_1,44341,467381.38,6287832.15,327.4,-4.58,14.9,467441.83,6287817.47,122,313,232.21,3.47,-36.1
209,cseo_1,44342,467380.16,6287832.34,323.9,-4.58,4.58,467441.83,6287817.47,122,303,232.21,3.36,-38.96
210,cseo_1,44343,467379.04,6287832.35,319.2,-4.01,-3.44,467441.83,6287817.47,122,296,232.21,4.15,-33.23
211,cseo_1,44345,467378.33,6287832.91,317.8,-5.16,-2.86,467441.83,6287817.47,122,291,232.21,5.7,-24.06
212,cseo_1,44346,467378.14,6287834.21,318.5,-6.3,4.01,467441.83,6287817.47,122,291,232.21,5.98,-28.07
213,cseo_1,44347,467377.94,6287835.33,319.7,-4.58,10.31,467441.83,6287817.47,122,291,232.21,5.98,-28.07
214,cseo_1,44348,467377.44,6287836.07,319.4,-2.86,10.89,467435.13,6287819.53,118.3,294,269.54,5.42,-29.79
215,cseo_1,44349,467376.42,6287836.45,317,-4.58,6.88,467435.13,6287819.53,122,303,269.54,5,-37.82
216,cseo_1,44350,467375.1,6287836.65,314.3,-6.3,0.57,467435.13,6287819.53,122,312,269.54,5.65,-33.23
217,cseo_1,44351,467374.08,6287837.03,312.9,-5.16,-1.72,467437.6,6287820.41,115.4,319,263.54,6.04,-30.94
218,cseo_1,44352,467373.68,6287837.77,313.2,-3.44,1.72,467437.6,6287820.41,122,320,263.54,5.81,-32.09
219,cseo_1,44353,467373.28,6287838.7,314.3,-4.58,8.02,467437.6,6287820.41,122,317,263.54,5.25,-33.23
220,cseo_1,44354,467372.36,6287839.27,314.8,-5.73,9.74,467435.08,6287819.8,122,310,277.84,4.35,-34.95
221,cseo_1,44355,467371.55,6287839.46,314.5,-3.44,6.3,467435.08,6287819.8,123,304,277.84,3.7,-37.24
222,cseo_1,44356,467370.84,6287839.65,313.6,-1.72,3.44,467435.08,6287819.8,123,308,277.84,2.96,-38.96
