"","Time","dive_number","Transect.No","Length..mm.","Precision..mm.","Genus","Species","Code","Stage","Activity","Dive_Id","Date","Temperature"
"56",16:54:22,"10",1,192.809,71.876,"yelloweye",145,145,"JV",NA,"eykt_10","5/11/2017",NA
"57",16:28:48,"10",1,NA,15.014,"tiger",148,148,NA,NA,"eykt_10","5/11/2017",NA
"58",16:44:49,"10",1,NA,35.417,"yelloweye",145,145,"JV","Fish milling/hovering","eykt_10","5/11/2017",NA
"59",16:44:50,"10",1,137.131,38.999,"yelloweye",145,145,"JV",NA,"eykt_10","5/11/2017",NA
"60",16:49:55,"10",1,NA,50.157,"yelloweye",145,145,"JV","Fish milling/hovering","eykt_10","5/11/2017",NA
"61",16:54:21,"10",1,NA,483.127,"yelloweye",145,145,"JV","Fish milling/hovering","eykt_10","5/11/2017",NA
"62",16:42:18,"10",1,NA,NA,"yelloweye",145,145,"AD","Fish moving slowly into frame","eykt_10","5/11/2017",NA
"63",16:53:08,"10",1,NA,NA,"tiger",148,148,NA,NA,"eykt_10","5/11/2017",NA
"64",16:35:46,"10",1,NA,33.364,"tiger",148,148,NA,NA,"eykt_10","5/11/2017",NA
"65",17:26:08,"11",1,NA,41.513,"rosethorn",150,150,NA,NA,"eykt_11","5/11/2017",NA
"66",17:26:25,"11",1,NA,19.558,"silvergray",157,157,NA,NA,"eykt_11","5/11/2017",NA
"67",17:30:50,"11",1,NA,22.433,"yelloweye",145,145,"JV","Fish milling/hovering","eykt_11","5/11/2017",NA
"68",17:31:45,"11",1,NA,57.779,"yelloweye",145,145,"JV","Fish milling/hovering","eykt_11","5/11/2017",NA
"69",17:31:56,"11",1,NA,6.811,"yelloweye",145,145,"JV","Fish moving quickly into frame","eykt_11","5/11/2017",NA
"70",17:31:56,"11",1,195.945,8.75,"yelloweye",145,145,"JV",NA,"eykt_11","5/11/2017",NA
"71",17:38:23,"11",1,NA,14.806,"rosethorn",150,150,NA,NA,"eykt_11","5/11/2017",NA
"72",17:39:31,"11",1,NA,10.679,"yelloweye",145,145,"JV","Fish seeking cover","eykt_11","5/11/2017",NA
"73",17:40:30,"11",1,NA,12.375,"box crab",900,900,NA,NA,"eykt_11","5/11/2017",NA
"74",17:41:09,"11",1,NA,16.364,"yelloweye",145,145,"JV","Fish milling/hovering","eykt_11","5/11/2017",NA
"75",17:41:28,"11",1,NA,33.793,"yelloweye",145,145,"JV","Fish milling/hovering","eykt_11","5/11/2017",NA
"76",17:42:14,"11",1,NA,35.402,"tiger",148,148,NA,NA,"eykt_11","5/11/2017",NA
"77",17:44:57,"11",1,NA,54.703,"rosethorn",150,150,NA,NA,"eykt_11","5/11/2017",NA
"78",17:46:32,"11",1,NA,49.538,"quillback",147,147,NA,NA,"eykt_11","5/11/2017",NA
"79",17:52:27,"11",1,NA,22.914,"yelloweye",145,145,"SU","Fish milling/hovering","eykt_11","5/11/2017",NA
"80",17:55:19,"11",1,NA,55.995,"tiger",148,148,NA,NA,"eykt_11","5/11/2017",NA
"81",17:55:35,"11",1,NA,68.601,"yelloweye",145,145,"AD","Chase other","eykt_11","5/11/2017",NA
"82",17:55:36,"11",1,622.395,66.479,"yelloweye",145,145,"AD",NA,"eykt_11","5/11/2017",NA
"83",17:58:18,"11",1,NA,37.394,"yelloweye",145,145,"JV","Fish milling/hovering","eykt_11","5/11/2017",NA
"84",17:58:23,"11",1,235.344,10.405,"yelloweye",145,145,"JV",NA,"eykt_11","5/11/2017",NA
"85",18:00:51,"11",1,NA,34.493,"silvergray",157,157,NA,NA,"eykt_11","5/11/2017",NA
"86",18:01:41,"11",1,NA,37.085,"yelloweye",145,145,"JV","Fish milling/hovering","eykt_11","5/11/2017",NA
"87",18:01:42,"11",1,301.776,46.361,"yelloweye",145,145,"JV",NA,"eykt_11","5/11/2017",NA
"88",18:02:27,"11",1,NA,108.729,"yelloweye",145,145,"AD","Fish milling/hovering","eykt_11","5/11/2017",NA
"89",18:02:33,"11",1,432.83,39.619,"yelloweye",145,145,"AD",NA,"eykt_11","5/11/2017",NA
"90",18:02:47,"11",1,NA,61.659,"silvergray",157,157,NA,NA,"eykt_11","5/11/2017",NA
"91",18:09:03,"11",1,NA,51.833,"yelloweye",145,145,"JV","Fish milling/hovering","eykt_11","5/11/2017",NA
"92",18:09:06,"11",1,308.437,99.748,"yelloweye",145,145,"JV",NA,"eykt_11","5/11/2017",NA
"93",18:09:19,"11",1,NA,47.119,"silvergray",157,157,NA,NA,"eykt_11","5/11/2017",NA
"94",18:11:20,"11",1,NA,40.682,"yelloweye",145,145,"JV","Fish milling/hovering","eykt_11","5/11/2017",NA
"95",18:11:23,"11",1,196.159,44.959,"yelloweye",145,145,"JV",NA,"eykt_11","5/11/2017",NA
"96",18:11:52,"11",1,NA,71.162,"rosethorn",150,150,NA,NA,"eykt_11","5/11/2017",NA
"97",17:25:53,"11",1,NA,8.024,"tiger",148,148,NA,NA,"eykt_11","5/11/2017",NA
"98",18:10:40,"11",1,NA,12.949,"yelloweye",145,145,"JV","Fish seeking cover","eykt_11","5/11/2017",NA
"99",17:27:26,"11",1,NA,NA,"rosethorn",150,150,NA,NA,"eykt_11","5/11/2017",NA
"100",17:28:33,"11",1,NA,NA,"rosethorn",150,150,NA,NA,"eykt_11","5/11/2017",NA
"101",17:44:12,"11",1,NA,NA,"yelloweye",145,145,"JV","Fish milling/hovering","eykt_11","5/11/2017",NA
"102",17:53:57,"11",1,NA,NA,"tiger",148,148,NA,NA,"eykt_11","5/11/2017",NA
"103",19:29:45,"12",1,NA,1.078,"halibut",200,200,NA,NA,"eykt_12","5/11/2017",NA
"104",19:31:15,"12",1,NA,12.371,"box crab",900,900,NA,NA,"eykt_12","5/11/2017",NA
"105",19:31:44,"12",1,NA,7.484,"box crab",900,900,NA,NA,"eykt_12","5/11/2017",NA
