Filename,Frame,Time (HMS),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Depth,Comment,Year,Dive,Transect Number,Dive Type,Family,Genus,Species,Code,Number,Stage,Activity,Check ID,Comment,Event Time HH:MM:SS
SL_2019_EYKT_Dive_01_07-36-31.000.avi,379,7:36:46,,60.842,3.924,5252.267,32.975,,,2475.876,1411.366,-4411.847,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,1,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,605,7:36:53,,67.152,15.884,5433.481,31.082,,,2413.33,1411.171,-4659.094,1,KelliiWood,45,N/A,2019,1,5,Line,greenling,lingcod,130,130,2,,,,NO LENGTH, partial view only
SL_2019_EYKT_Dive_01_07-36-31.000.avi,1287,7:37:16,,207.792,15.843,9433.738,19.67,,,-2491.137,1933.52,-8891.071,1,KelliiWood,45,N/A,2019,1,5,Line,greenling,kelp greenling,194,194,3,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,2910,7:38:10,657.913,32.137,3.455,3393.185,29.589,7.778,9.816,-1479.046,-787.137,-2950.685,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,yelloweye,145,145,4,AD,Fish moving slowly into frame,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,3292,7:38:23,600.314,49.562,0.175,4775.518,13.653,11.276,8.739,1126.686,33.851,-4640.582,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,yelloweye,145,145,5,AD,Fish actively swimming in frame,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,3462,7:38:28,,67.456,0.727,5503.157,24.052,,,-2226.828,-288.091,-5024.239,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,6,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,3462,7:38:28,,66.244,0.321,5743.593,7.649,,,628.491,412.556,-5694.177,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,7,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,3678,7:38:36,,82.91,0.305,6202.868,12.856,,,1228.177,605.294,-6049.857,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,8,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,3919,7:38:44,,108.649,1.56,7071.049,29.728,,,-3440.727,651.09,-6143.062,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,9,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,7640,7:40:48,,90.513,0.201,6417.903,21.799,,,-2370.408,223.99,-5959.906,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,10,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,8224,7:41:07,,138.148,0.552,7782.245,21.451,,,1071.504,2607.57,-7253.675,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,11,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,8560,7:41:18,,43.568,0.011,4668.789,8.145,,,-640.95,144.931,-4622.312,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,12,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,8560,7:41:18,,57.875,0.101,5422.256,6.397,,,-369.977,456.064,-5390.36,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,13,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,8628,7:41:21,,99.425,2.473,6626.137,18.807,,,-2008.511,702.341,-6275.213,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,tiger,148,148,14,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,9147,7:41:38,946.811,38.095,1.175,5276.566,13.48,5.293,7.098,755.574,970.616,-5131.195,1,KelliiWood,45,N/A,2019,1,5,Line,greenling,lingcod,130,130,15,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,10324,7:42:17,,68.087,0.568,5807.259,7.692,,,708.12,-343.663,-5753.67,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,16,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,10462,7:42:22,,136.857,2.922,7843.171,30.341,,,3698.646,1392.968,-6774.584,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,17,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,10575,7:42:26,,115.02,1.316,7559.923,8.785,,,403.369,1051.983,-7475.497,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,18,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,10827,7:42:34,,105.768,1.832,7017.909,28.48,,,-3327.802,328.157,-6170.016,1,KelliiWood,45,N/A,2019,1,5,Line,greenling,lingcod,130,130,19,,,,NO LENGTH; too dark,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,11318,7:42:50,,60.372,0.774,5102.821,21.242,,,1658.567,797.687,-4759.374,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,20,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,11468,7:42:55,,40.429,0.492,4395.445,10.501,,,-384.616,685.432,-4324.603,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,21,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,12603,7:43:33,,95.591,2.647,6509.849,32.85,,,2794.951,2136.237,-5477.488,1,KelliiWood,45,N/A,2019,1,5,Line,greenling,lingcod,130,130,22,,,,NO LENGTH; partial view,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,12945,7:43:44,,97.035,1.517,6651.453,13.419,,,-1036.632,1117.783,-6474.395,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,23,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,14318,7:44:30,,64.289,0.39,5820.982,4.984,,,-503.12,27.449,-5799.133,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,24,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,14548,7:44:38,,65.681,0.155,5337.836,19.45,,,1556.346,838.393,-5036.604,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,25,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,15814,7:45:20,,78.11,3.074,5869.261,18.876,,,-1819.823,-564.181,-5551.411,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,26,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,16657,7:45:48,,11.09,1.12,2157.474,28.916,,,-667.896,-808.893,-1885.285,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,tiger,148,148,27,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,18260,7:46:42,,39.134,2.47,4168.336,20.788,,,-1455.135,-282.292,-3895.885,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,28,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,19067,7:47:09,,49.274,0.14,4814.361,12.052,,,-934.367,351.793,-4709.699,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,29,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,19381,7:47:19,,78.612,0.471,6129.662,11.263,,,471.257,1076.499,-6015.964,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,30,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,23344,7:49:31,911.071,173.316,2.029,5562.764,16.681,57.814,19.533,-1349.459,853.577,-5328.669,1,KelliiWood,45,N/A,2019,1,5,Line,greenling,lingcod,130,130,31,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,26362,7:51:12,815.498,87.207,0.351,4724.163,15.083,33.39,13.17,911.169,825.171,-4561.423,1,KelliiWood,45,N/A,2019,1,5,Line,greenling,lingcod,130,130,32,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,27649,7:51:55,,68.855,0.165,5932.255,8.214,,,25.906,823.63,-5874.743,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,33,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,27649,7:51:55,,97.709,0.249,6636.016,14.581,,,1090.472,1239.843,-6427.314,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,34,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,27690,7:51:56,,72.07,2.578,5611.912,27.747,,,-2466.96,840.704,-4969.999,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,35,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,27727,7:51:57,,54.861,0.169,5029.381,25.679,,,-2178.91,-64.522,-4532.424,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,36,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,28271,7:52:15,,99.778,0.596,7088.135,8.549,,,1036.459,162.01,-7010.076,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,rosethorn,150,150,37,,,,,
SL_2019_EYKT_Dive_01_07-36-31.000.avi,28505,7:52:23,521.318,67.399,0.463,4978.497,20.912,21.052,35.592,-1773.074,-117.683,-4650.569,1,KelliiWood,45,N/A,2019,1,5,Line,rockfish,yelloweye,145,145,38,AD,Fish milling/hovering,,,
