Dive_Id,Date,TC (AKDT),Start_End,Comments,YE count
,,8:54:17 AM,,YE,1
,,8:55:23 AM,,YE,1
,,8:58:55 AM,End,,
2023_EYKT_Dive_20,8/20/2023,10:11:23 AM,Start,,
,,10:14:00 AM,,YE,1
,,10:19:43 AM,End,Back to the surface,
2023_EYKT_Dive_21,8/20/2023,11:25:19 AM,Start,,
,,11:30:29 AM,,YE,2
,,11:32:23 AM,,YE,1
,,11:32:34 AM,,YE,1
,,11:33:14 AM,,YE,2
,,11:33:24 AM,,YE,2
,,11:40:54 AM,,YE,1
,,11:41:41 AM,,YE,1
,,11:42:03 AM,,YE,1
,,11:44:38 AM,,YE,1
,,11:47:26 AM,,YE,1
,,11:48:21 AM,,YE,1
,,11:50:48 AM,,YE,1
,,11:51:00 AM,,YE,1
,,11:51:17 AM,,YE,1
,,11:51:29 AM,,YE,1
,,11:52:01 AM,,YE,1
,,11:53:12 AM,,YE,1
,,11:53:45 AM,,YE,2
,,11:55:15 AM,,YE,1
,,11:55:15 AM,,YE,1
,,11:59:21 AM,End,,
2023_EYKT_Dive_22,8/20/2023,12:45:18 PM,Start,,
,,1:07:00 PM,,YE,1
,,1:18:32 PM,End,,
2023_EYKT_Dive_23,8/20/2023,3:44:33 PM,Start,YE,1
,,3:46:47 PM,,YE,1
,,3:51:49 PM,,YE,1
,,3:53:37 PM,,YE,1
,,3:55:53 PM,,YE,1
,,3:57:22 PM,,YE,1
,,3:58:47 PM,,YE,1
,,3:59:35 PM,,YE,1
,,4:00:45 PM,,YE,1
,,4:01:42 PM,,YE,2
,,4:05:57 PM,,YE,1
,,4:08:52 PM,,YE,1
,,4:10:08 PM,,YE,1
,,4:13:50 PM,End,,
2023_EYKT_Dive_24,8/20/2023,4:44:45 PM,Start,,
,,4:54:33 PM,,YE,2
,,4:56:26 PM,,YE,2
,,4:57:25 PM,,YE,1
,,4:57:35 PM,,YE,1
,,4:59:16 PM,,YE,1
,,4:59:59 PM,,YE,1
,,5:00:33 PM,,YE,1
,,5:01:17 PM,,YE,1
,,5:01:17 PM,,YE,1
,,5:02:23 PM,,YE,1
,,5:04:00 PM,,YE,1
,,5:04:50 PM,,YE,1
,,5:04:50 PM,,YE,1
,,5:07:47 PM,,YE,1
,,5:09:24 PM,,YE,1
,,5:09:41 PM,,YE,1
,,5:14:18 PM,,YE,1
,,5:14:58 PM,,YE,1
,,5:17:42 PM,End,,
