FILENAME,FRAME,TIME (HMS),LENGTH (MM),PRECISION (MM),RMS (MM),RANGE (MM),DIRECTION (DEG),HORZ_DIR (DEG),VERT_DIR (DEG),MID_X (MM),MID_Y (MM),MID_Z (MM),OPCODE,TAPEREADER,DEPTH,COMMENT,YEAR,DIVE,DIVE_NO,TRANSECT_NUMBER,FAMILY,GENUS,SPECIES,CODE,NUMBER,STAGE,ACTIVITY,CHECK_ID,COMMENT
SL_2018CSEO_Dive_01_12-15-33.000.avi,40508,38:05.2,,12.975,0.692,2557.274,26.706,,,-1121.581,-262.178,-2283.193,1,KelliiWood,130,N/A,2018,CSEO_1,1,90,rockfish,rosethorn,150,150,24,,,,
SL_2018CSEO_Dive_01_12-15-33.000.avi,41403,38:35.1,,26.99,0.079,3727.383,21.537,,,-1364.97,78.387,-3467.578,1,KelliiWood,130,N/A,2018,CSEO_1,1,90,rockfish,tiger,148,148,25,,,,
SL_2018CSEO_Dive_01_12-15-33.000.avi,42324,39:05.8,,21.394,0.483,3292.405,17.297,,,-961.706,-198.697,-3142.542,1,KelliiWood,130,N/A,2018,CSEO_1,1,90,rockfish,rosethorn,150,150,26,,,,
SL_2018CSEO_Dive_01_12-15-33.000.avi,43474,39:44.1,,36.147,2.76,4237.18,28.202,,,-1839.76,771.638,-3738.121,1,KelliiWood,130,N/A,2018,CSEO_1,1,90,rockfish,rosethorn,150,150,27,,,,
SL_2018CSEO_Dive_01_12-15-33.000.avi,44369,40:13.9,,14.529,3.939,2726.789,26.114,,,1200.012,-33.595,-2448.31,1,KelliiWood,130,N/A,2018,CSEO_1,1,90,rockfish,rosethorn,150,150,28,,,,
SL_2018CSEO_Dive_01_12-15-33.000.avi,47136,41:46.2,,67.277,4.618,5895.425,20.042,,,-282.854,1972.615,-5548.407,1,KelliiWood,130,N/A,2018,CSEO_1,1,90,rockfish,rosethorn,150,150,29,,,,
SL_2018CSEO_Dive_01_12-15-33.000.avi,49263,42:57.1,,65.526,0.159,5580.963,22.364,,,-1516.253,1460.667,-5168.614,1,KelliiWood,130,N/A,2018,CSEO_1,1,90,rockfish,rosethorn,150,150,30,,,,
SL_2018CSEO_Dive_01_12-15-33.000.avi,49882,43:17.7,,53.97,2.036,5174.708,17.311,,,741.964,1324.364,-4947.035,1,KelliiWood,130,N/A,2018,CSEO_1,1,90,rockfish,tiger,148,148,31,,,,
SL_2018CSEO_Dive_01_12-15-33.000.avi,50608,43:41.9,,40.446,4.073,4719.616,10.932,,,109.72,864.919,-4638.389,1,KelliiWood,130,N/A,2018,CSEO_1,1,90,rockfish,rosethorn,150,150,32,,,,
SL_2018CSEO_Dive_01_12-15-33.000.avi,54272,45:44.0,,25.502,1.543,3470.924,22.531,,,1108.529,718.712,-3209.662,1,KelliiWood,130,N/A,2018,CSEO_1,1,90,rockfish,quillback,147,147,33,,,,
SL_2018CSEO_Dive_01_12-15-33.000.avi,54411,45:48.7,,56.487,0.014,5426.842,31.458,,,-2611.985,1071.476,-4634.662,1,KelliiWood,130,N/A,2018,CSEO_1,1,90,rockfish,rosethorn,150,150,34,,,,
SL_2018CSEO_Dive_01_12-15-33.000.avi,54604,45:55.1,,66.601,3.992,5962.531,32.782,,,-2951.545,1282.634,-5019.463,1,KelliiWood,130,N/A,2018,CSEO_1,1,90,rockfish,rosethorn,150,150,35,,,,
SL_2018CSEO_Dive_01_12-15-33.000.avi,55293,46:18.0,,24.296,1.293,3396.226,22.17,,,-893.757,902.655,-3149.724,1,KelliiWood,130,N/A,2018,CSEO_1,1,90,rockfish,silvergray,157,157,36,,,,
SL_2018CSEO_Dive_01_12-15-33.000.avi,57115,47:18.8,,47.643,3.902,4978.112,17.336,,,240.98,1439.731,-4759.275,1,KelliiWood,130,N/A,2018,CSEO_1,1,90,rockfish,rosethorn,150,150,37,,,,
SL_2018CSEO_Dive_01_12-15-33.000.avi,58069,47:50.6,,32.559,3.63,4005.118,16.395,,,913.82,646.156,-3845.567,1,KelliiWood,130,N/A,2018,CSEO_1,1,90,rockfish,rosethorn,150,150,38,,,,
SL_2018CSEO_Dive_01_12-15-33.000.avi,59592,48:41.4,,38,3.156,4422.27,24.84,,,1856.586,45.993,-4013.408,1,KelliiWood,130,N/A,2018,CSEO_1,1,90,rockfish,tiger,148,148,39,,,,
SL_2018CSEO_Dive_01_12-15-33.000.avi,59693,48:44.7,,51.805,3.6,5141.784,13.709,,,-829.122,867.877,-4999.729,1,KelliiWood,130,N/A,2018,CSEO_1,1,90,rockfish,rosethorn,150,150,40,,,,
SL_2018CSEO_Dive_01_12-15-33.000.avi,60279,49:04.3,,38.292,0.341,4562.802,34.691,,,-2223.356,1322.942,-3758.414,1,KelliiWood,130,N/A,2018,CSEO_1,1,90,rockfish,yelloweye,145,145,41,AD,Fish resting on bottom,,NO LENGTH - only partial view
SL_2018CSEO_Dive_01_12-15-33.000.avi,62955,50:33.4,,87.22,2.968,6574.099,18.957,,,-908.371,1901.449,-6227.209,1,KelliiWood,130,N/A,2018,CSEO_1,1,90,rockfish,tiger,148,148,42,,,,
SL_2018CSEO_Dive_10_10-11-03.000.avi,2132,12:16.1,,28.405,4.814,3668.064,26.74,,,1417.166,829.384,-3280.009,1,KelliiWood,90,N/A,2018,CSEO_10,10,101,rockfish,rosethorn,150,150,1,,,,
SL_2018CSEO_Dive_10_10-11-03.000.avi,2275,12:20.8,,31.361,2.234,4219.973,6.702,,,-225.168,416.888,-4193.289,1,KelliiWood,90,N/A,2018,CSEO_10,10,101,rockfish,rosethorn,150,150,2,,,,
SL_2018CSEO_Dive_10_10-11-03.000.avi,6807,14:51.9,,45.251,1.667,4682.585,26.265,,,1934.302,721.977,-4202.836,1,KelliiWood,90,N/A,2018,CSEO_10,10,101,rockfish,rosethorn,150,150,3,,,,
SL_2018CSEO_Dive_10_10-11-03.000.avi,6995,14:58.2,,81.623,2.131,6282.724,31.824,,,2418.307,2237.415,-5349.616,1,KelliiWood,90,N/A,2018,CSEO_10,10,101,rockfish,rosethorn,150,150,4,,,,
