Filename,Year,Management_Area,Frame,Time_UTC,TIME_AK,Seconds,Period,Period time (HMS),Image row,Image col,OpCode,Tape Reader,Depth,Comment,Year,Dive No,Transect No,User Def. 4,User Def. 5,User Def. 6,User Def. 7,User Def. 8,Family,Genus,Species,Code,Number,Stage,Activity,Start/End,Comment,Event Time HH:MM:SS
SL_2016NSEO_Dive_05_11-55-04.000.avi,2016,NSEO ,66103,20:32:12,12:32:12,45132,,,551,780,QC,Asia,0,,2016,5,1,,,,,,Good,Good Going Forward,GGF,GGF,3,AD,Passing,,BLB in SL but not in belly,
SL_2016NSEO_Dive_05_11-55-04.000.avi,2016,NSEO ,59448,20:28:30,12:28:30,44910,,,549,796,QC,Asia,0,,2016,5,1,,,,,,Good,Good Going Forward,GGF,GGF,3,AD,Passing,,SL good,
SL_2016NSEO_Dive_05_11-55-04.000.avi,2016,NSEO ,58866,20:28:10,12:28:10,44890,,,604,775,QC,Asia,0,,2016,5,1,,,,,,Good,Good Going Forward,GGF,GGF,3,AD,Passing,,BLB in SL but not in belly,
SL_2016NSEO_Dive_05_11-55-04.000.avi,2016,NSEO ,50397,20:23:28,12:23:28,44608,,,550,798,QC,Asia,0,,2016,5,1,,,,,,Good,Good Going Forward,GGF,GGF,3,AD,Passing,,SL good,
SL_2016NSEO_Dive_05_11-55-04.000.avi,2016,NSEO ,50066,20:23:17,12:23:17,44597,,,586,776,QC,Asia,0,,2016,5,1,,,,,,Good,Good Going Forward,GGF,GGF,3,AD,Passing,,BLB in SL but not in belly,
SL_2016NSEO_Dive_05_11-55-04.000.avi,2016,NSEO ,49795,20:23:08,12:23:08,44588,,,551,798,QC,Asia,0,,2016,5,1,,,,,,Bad,repositioned,BRP,BRP,,AD,Passing,,,
SL_2016NSEO_Dive_05_11-55-04.000.avi,2016,NSEO ,45535,20:20:46,12:20:46,44446,,,551,799,QC,Asia,0,,2016,5,1,,,,,,Good,Good Going Forward,GGF,GGF,2,AD,Passing,,SL good,
SL_2016NSEO_Dive_05_11-55-04.000.avi,2016,NSEO ,45299,20:20:38,12:20:38,44438,,,618,546,QC,Asia,0,,2016,5,1,,,,,,Good,Good Going Forward,GGF,GGF,2,AD,Passing,,BLB in SL but not in belly,
SL_2016NSEO_Dive_05_11-55-04.000.avi,2016,NSEO ,44844,20:20:23,12:20:23,44423,,,534,779,QC,Asia,0,,2016,5,1,,,,,,Good,Good Going Forward,GGF,GGF,2,AD,Passing,,SL good,
SL_2016NSEO_Dive_05_11-55-04.000.avi,2016,NSEO ,44605,20:20:15,12:20:15,44415,,,581,774,QC,Asia,0,,2016,5,1,,,,,,Good,Good Going Forward,GGF,GGF,2,AD,Passing,,BLB in SL but not in belly,
SL_2016NSEO_Dive_05_11-55-04.000.avi,2016,NSEO ,44292,20:20:05,12:20:05,44405,,,620,649,QC,Asia,0,,2016,5,1,,,,,,Bad,repositioned,BRP,BRP,,AD,Passing,,,
SL_2016NSEO_Dive_05_11-55-04.000.avi,2016,NSEO ,43439,20:19:36,12:19:36,44376,,,626,832,QC,Asia,0,,2016,5,1,,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,SL good,
SL_2016NSEO_Dive_05_11-55-04.000.avi,2016,NSEO ,43204,20:19:28,12:19:28,44368,,,494,756,QC,Asia,0,,2016,5,1,,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,BLB in SL but not in belly,
SL_2016NSEO_Dive_05_11-55-04.000.avi,2016,NSEO ,43080,20:19:24,12:19:24,44364,,,759,951,QC,Asia,0,,2016,5,1,,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,SL good,
SL_2016NSEO_Dive_05_11-55-04.000.avi,2016,NSEO ,42826,20:19:16,12:19:16,44356,,,635,843,QC,Asia,0,,2016,5,1,,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,BLB in SL but not in belly,
SL_2016NSEO_Dive_05_11-55-04.000.avi,2016,NSEO ,42602,20:19:08,12:19:08,44348,,,616,847,QC,Asia,0,,2016,5,1,,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,SL good,
SL_2016NSEO_Dive_05_11-55-04.000.avi,2016,NSEO ,42146,20:18:53,12:18:53,44333,,,586,853,QC,Asia,0,,2016,5,1,,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,BLB in SL but not in belly,
SL_2016NSEO_Dive_05_11-55-04.000.avi,2016,NSEO ,23161,20:08:20,12:08:20,43700,,,500,721,QC,Asia,0,,2016,5,1,,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,SL good,
