Filename,Frame,Time_AKDT,Time (HMS),Period,Period time (HMS),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,Tape Reader,Depth,Comment,Year,Dive No,Transect No,User Def. 4,User Def. 5,User Def. 6,User Def. 7,User Def. 8,Family,Genus,Species,Code,Number,Stage,Activity,Check ID,Comment,Event Time H:MM:SS
SL_FW_Dive_02_16-27-15.035.avi,10966,16:33:25,0:33:25,,,,71.096,6.483,5918.703,18.211,,,-1074.555,1494.735,-5625.135,1,Jenny Stahl,0,,2015,2,1,,,,,,rockfish,rosethorn,150,150,1,,,,,
SL_FW_Dive_02_16-27-15.035.avi,19560,16:38:11,0:38:11,,,,12.874,9.075,2543.814,31.147,,,1262.254,367.129,-2177.824,1,Jenny Stahl,0,,2015,2,1,,,,,,rockfish,rosethorn,150,150,2,,,,in vase sponge,
SL_FW_Dive_02_16-27-15.035.avi,23269,16:40:15,0:40:15,,,,9.173,1.846,2110.622,24.459,,,-330.107,-812.835,-1919.65,1,Jenny Stahl,0,,2015,2,1,,,,,,rockfish,rosethorn,150,150,3,,,,,
SL_FW_Dive_02_16-27-15.035.avi,23688,16:40:29,0:40:29,,,,24.984,2.605,3576.192,12.713,,,538.628,-580.551,-3487.405,1,Jenny Stahl,0,,2015,2,1,,,,,,rockfish,rosethorn,150,150,4,,,,,
SL_FW_Dive_02_16-27-15.035.avi,28805,16:43:19,0:43:19,,,,18.667,1.908,3032.477,17.829,,,-815.157,-450.092,-2885.975,1,Jenny Stahl,0,,2015,2,1,,,,,,rockfish,rosethorn,150,150,5,,,,,
SL_FW_Dive_02_16-27-15.035.avi,37229,16:48:00,0:48:00,,,,30.816,0.325,3883.666,23.986,,,-1460.209,593.378,-3549.444,1,Jenny Stahl,0,,2015,2,1,,,,,,rockfish,rosethorn,150,150,6,,,,,
SL_FW_Dive_02_16-27-15.035.avi,38561,16:48:44,0:48:44,,,,13.998,3.582,2589.365,28.639,,,1136.605,-502.691,-2271.617,1,Jenny Stahl,0,,2015,2,1,,,,,,rockfish,rosethorn,150,150,7,,,,,
SL_FW_Dive_02_16-27-15.035.avi,40198,16:49:39,0:49:39,,,,31.724,9.363,4005.276,21.366,,,1454.854,-120.303,-3729.767,1,Jenny Stahl,0,,2015,2,1,,,,,,rockfish,rosethorn,150,150,8,,,,,
SL_FW_Dive_02_16-27-15.035.avi,43136,16:51:17,0:51:17,,,,37.264,3.195,4386.542,23.603,,,-1745.664,185.486,-4019.951,1,Jenny Stahl,0,,2015,2,1,,,,,,skate,skate,,,9,,,,,
SL_FW_Dive_02_16-27-15.035.avi,43315,16:51:23,0:51:23,,,,20.623,2.351,3373.535,9.31,,,545.733,-7.02,-3329.094,1,Jenny Stahl,0,,2015,2,1,,,,,,rockfish,rosethorn,150,150,10,,,,,
SL_FW_Dive_02_16-27-15.035.avi,44174,16:51:51,0:51:51,,,,5.689,3.555,1690.083,27.505,,,780.178,20.06,-1499.101,1,Jenny Stahl,0,,2015,2,1,,,,,,salmon,,,,11,,,,king salmon?,
SL_FW_Dive_02_16-27-15.035.avi,49407,16:54:46,0:54:46,,,,14.681,3.298,2692.425,18.894,,,-369.738,-794.499,-2545.823,1,Jenny Stahl,0,,2015,2,1,,,,,,flatfish,,,,12,,,,likely halibut,
SL_FW_Dive_02_16-27-15.035.avi,62326,17:01:57,1:01:57,,,,85.059,2.639,6296.959,26.917,,,2110.94,1904.881,-5618.456,1,Jenny Stahl,0,,2015,2,1,,,,,,rockfish,yelloweye,145,145,13,AD,Fish milling/hovering,,,
SL_FW_Dive_02_16-27-15.035.avi,62369,17:01:58,1:01:58,,,874.93,118.596,16.377,6106.358,27.859,28.81,4.736,2258.537,1744.005,-5398.617,1,Jenny Stahl,0,,2015,2,1,,,,,,rockfish,yelloweye,145,145,13,AD,,,High RMS-blurry & far,
SL_FW_Dive_02_16-27-15.035.avi,86621,17:15:26,1:15:26,,,,18.52,1.346,3100.857,23.839,,,-1252.775,29.985,-2836.366,1,Jenny Stahl,0,,2015,2,1,,,,,,flatfish,flatfish,,,14,,,,,
SL_FW_Dive_02_16-27-15.035.avi,86622,17:15:26,1:15:26,,,,10.572,0.784,2456.737,4.974,,,-208.825,-46.78,-2447.399,1,Jenny Stahl,0,,2015,2,1,,,,,,miscellaneous invertebrate,,,,15,,,,lots of squat lobsters,
