Filename,Frame,AKDT ,Time (HMS),Period,Period time (HMS),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,Tape Reader,Depth,Comment,Year,Dive No,Transect No,User Def. 4,User Def. 5,User Def. 6,User Def. 7,User Def. 8,Family,Genus,Species,Code,Number,Stage,Activity,Check ID,Comment,Event Time HH:MM:SS
SL_FW_Dive_13_16-58-04.834.avi,3308,17:00:03,1:00:03,,,,47.422,6.494,4861.338,29.461,,,-2147.232,1043.499,-4234.75,1,Kristen Green ,0,,2015,13,1,,,,,,rockfish,yelloweye,145,145,1,AD,Fish moving slowly into frame,,no length cant see whole body ,
SL_FW_Dive_13_16-58-04.834.avi,6022,17:01:34,1:01:34,,,,87.118,6.39,6806.891,12.691,,,-517.493,1390.189,-6643.293,1,Kristen Green ,0,,2015,13,1,,,,,,rockfish,yelloweye,145,145,2,AD,Fish resting on bottom,,,
SL_FW_Dive_13_16-58-04.834.avi,6333,17:01:44,1:01:44,,,487.708,25.295,1.931,2697.386,22.761,45.461,36.906,-586.129,-863.432,-2487.333,1,Kristen Green ,0,,2015,13,1,,,,,,rockfish,yelloweye,145,145,2,AD,,,horiz angle > 30 ,
SL_FW_Dive_13_16-58-04.834.avi,8490,17:02:56,1:02:56,,,,24.708,7.485,3771.683,5.196,,,301.925,-167.026,-3755.867,1,Kristen Green ,0,,2015,13,1,,,,,,rockfish,rosethorn,150,150,3,,,,,
SL_FW_Dive_13_16-58-04.834.avi,9960,17:03:45,1:03:45,,,,25.588,2.893,3639.664,21.381,,,-1325.613,-64.637,-3389.059,1,Kristen Green ,0,,2015,13,1,,,,,,rockfish,rosethorn,150,150,4,,,,,
SL_FW_Dive_13_16-58-04.834.avi,10298,17:03:56,1:03:56,,,,100.64,1.051,7029.522,20.543,,,-1145.427,2171.999,-6586.699,1,Kristen Green ,0,,2015,13,1,,,,,,rockfish,yelloweye,145,145,5,AD,Fish milling/hovering,,gravid,
SL_FW_Dive_13_16-58-04.834.avi,10653,17:04:08,1:04:08,,,601.015,22.241,6.266,2682.686,13.999,27.012,0.161,-558.318,-330.781,-2603.012,1,Kristen Green ,0,,2015,13,1,,,,,,rockfish,yelloweye,145,145,5,AD,,,,
SL_FW_Dive_13_16-58-04.834.avi,13527,17:05:44,1:05:44,,,,22.364,2.748,3637.463,4.002,,,69.346,237.211,-3629.057,1,Kristen Green ,0,,2015,13,1,,,,,,rockfish,rosethorn,150,150,6,,,,,
SL_FW_Dive_13_16-58-04.834.avi,17156,17:07:45,1:07:45,,,,39.384,0.298,4432.979,17.795,,,-1229.759,560.264,-4221.978,1,Kristen Green ,0,,2015,13,1,,,,,,rockfish,rosethorn,150,150,7,,,,,
SL_FW_Dive_13_16-58-04.834.avi,17284,17:07:49,1:07:49,,,,24.409,4.899,3678.807,9.802,,,79.334,614.252,-3626.296,1,Kristen Green ,0,,2015,13,1,,,,,,rockfish,rosethorn,150,150,8,,,,,
