Filename,Frame,Time_AKDT,Time (HMS),Period,Period time (HMS),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,Tape Reader,Depth,Comment,Year,Dive No,Transect No,User Def. 4,User Def. 5,User Def. 6,User Def. 7,User Def. 8,Family,Genus,Species,Code,Number,Stage,Activity,Check ID,Comment,Event Time HH:MM:SS
SL_FW_Dive_27_07-27-10.711.avi,6266,7:34:24,15:34:24,,,,9.134,0.421,2142.808,28.187,,,-963.288,-314.395,-1888.083,1,Jenny Stahl,0,,2015,27,1,,,,,,flatfish,Dover sole,124,124,1,,,,,
SL_FW_Dive_27_07-27-10.711.avi,26852,7:45:50,15:45:50,,,,14.736,2.592,2748.823,14.091,,,645.42,-182.12,-2665.763,1,Jenny Stahl,0,,2015,27,1,,,,,,rockfish,rosethorn,150,150,2,,,,,
SL_FW_Dive_27_07-27-10.711.avi,30564,7:47:54,15:47:54,,,,49.274,2.615,4878.243,32.546,,,2047.676,1633.463,-4115.347,1,Jenny Stahl,0,,2015,27,1,,,,,,rockfish,silvergray,157,157,3,,,,,
SL_FW_Dive_27_07-27-10.711.avi,32272,7:48:51,15:48:51,,,,117.546,1.444,7785.983,22.533,,,395.661,2943.498,-7197.277,1,Jenny Stahl,0,,2015,27,1,,,,,,rockfish,yelloweye,145,145,4,AD,Fish resting on bottom,,very pregnant,
SL_FW_Dive_27_07-27-10.711.avi,32647,7:49:03,15:49:03,,,585.445,26.24,1.528,2932.64,18.853,27.2,22.025,925.227,-205.003,-2775.303,1,Jenny Stahl,0,,2015,27,1,,,,,,rockfish,yelloweye,145,145,4,AD,,,very pregnant,
SL_FW_Dive_27_07-27-10.711.avi,32674,7:49:04,15:49:04,,,,33.189,1.887,4180.435,30.579,,,-2052.119,551.215,-3600.14,1,Jenny Stahl,0,,2015,27,1,,,,,,rockfish,rosethorn,150,150,5,,,,,
SL_FW_Dive_27_07-27-10.711.avi,33239,7:49:23,15:49:23,,,,34.229,6.78,4059.594,19.577,,,1174.726,678.461,-3826.227,1,Jenny Stahl,0,,2015,27,1,,,,,,rockfish,rosethorn,150,150,6,,,,,
SL_FW_Dive_27_07-27-10.711.avi,36152,7:51:00,15:51:00,,,,39.735,0.076,4565.789,14.819,,,278.946,1125.457,-4416.102,1,Jenny Stahl,0,,2015,27,1,,,,,,rockfish,yelloweye,145,145,7,AD,Fish resting on bottom,,,
SL_FW_Dive_27_07-27-10.711.avi,36733,7:51:19,15:51:19,,,611.612,10.722,2.485,2258.632,13.831,18.486,16.172,-137.94,-522.026,-2193.144,1,Jenny Stahl,0,,2015,27,1,,,,,,rockfish,yelloweye,145,145,7,AD,,,,
SL_FW_Dive_27_07-27-10.711.avi,37419,7:51:42,15:51:42,,,,49.318,5.984,4965.837,33.424,,,2404.356,1296.282,-4147.078,1,Jenny Stahl,0,,2015,27,1,,,,,,rockfish,unknown,10024,10024,8,,,,"maybe ye, but too dark to confirm",
SL_FW_Dive_27_07-27-10.711.avi,38924,7:52:32,15:52:32,,,,26.183,0.544,3742.773,12.102,,,-225.566,744.481,-3661.041,1,Jenny Stahl,0,,2015,27,1,,,,,,rockfish,yelloweye,145,145,9,AD,Fish seeking cover,,No length- under rock,
SL_FW_Dive_27_07-27-10.711.avi,41927,7:54:13,15:54:13,,,,38.885,1.903,4396.872,16.22,,,710.301,993.803,-4223.779,1,Jenny Stahl,0,,2015,27,1,,,,,,rockfish,yelloweye,145,145,10,AD,Fish resting on bottom,,no length-bad angle,
SL_FW_Dive_27_07-27-10.711.avi,42059,7:54:17,15:54:17,,,,13.357,1.045,2792.886,3.64,,,176.984,-16.372,-2787.224,1,Jenny Stahl,0,,2015,27,1,,,,,,rockfish,rosethorn,150,150,11,,,,,
SL_FW_Dive_27_07-27-10.711.avi,43296,7:54:58,15:54:58,,,,20.53,7.601,3163.873,26.057,,,1341.731,356.732,-2842.991,1,Jenny Stahl,0,,2015,27,1,,,,,,rockfish,rosethorn,150,150,12,,,,,
SL_FW_Dive_27_07-27-10.711.avi,48532,7:57:53,15:57:53,,,,26.038,3.369,3591.39,16.624,,,-760.737,683.95,-3442.612,1,Jenny Stahl,0,,2015,27,1,,,,,,rockfish,rosethorn,150,150,13,,,,,
SL_FW_Dive_27_07-27-10.711.avi,52320,7:59:59,15:59:59,,,,56.977,1.927,5301.479,17.549,,,-1036.195,1207.433,-5057.083,1,Jenny Stahl,0,,2015,27,1,,,,,,rockfish,rosethorn,150,150,14,,,,,
SL_FW_Dive_27_07-27-10.711.avi,52329,7:59:59,15:59:59,,,,75.131,3.791,6288.548,19.436,,,155.395,2075.29,-5934.21,1,Jenny Stahl,0,,2015,27,1,,,,,,rockfish,yelloweye,145,145,15,AD,Fish resting on bottom,,gravid; no length-bad angle,
SL_FW_Dive_27_07-27-10.711.avi,52996,8:00:22,16:00:22,,,,7.108,0.161,1855.331,17.567,,,310.128,-469.659,-1767.906,1,Jenny Stahl,0,,2015,27,1,,,,,,flatfish,Dover sole,124,124,16,,,,,
SL_FW_Dive_27_07-27-10.711.avi,61581,8:05:08,16:05:08,,,,70.427,4.089,5813.367,22.874,,,1093.538,1967.144,-5360.014,1,Jenny Stahl,0,,2015,27,1,,,,,,rockfish,yelloweye,145,145,17,AD,Fish milling/hovering,,no length-bad angle,
SL_FW_Dive_27_07-27-10.711.avi,61851,8:05:17,16:05:17,,,,42.26,1.956,4690.116,15.514,,,319.41,1204.405,-4521.568,1,Jenny Stahl,0,,2015,27,1,,,,,,rockfish,rosethorn,150,150,18,,,,,
SL_FW_Dive_27_07-27-10.711.avi,62488,8:05:38,16:05:38,,,,81.944,5.078,6188.535,27.995,,,1971.057,2123.226,-5468.53,1,Jenny Stahl,0,,2015,27,1,,,,,,rockfish,yelloweye,145,145,19,AD,Fish resting on bottom,,No length-bad angle,
SL_FW_Dive_27_07-27-10.711.avi,65138,8:07:06,16:07:06,,,,13.474,1.894,2595.635,24.997,,,-1065.007,-266.823,-2351.997,1,Jenny Stahl,0,,2015,27,1,,,,,,rockfish,rosethorn,150,150,20,,,,,
