Filename,Frame,AKDT ,Time (HMS),Period,Period time (HMS),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,Tape Reader,Depth,Comment,Year,Dive No,Transect No,User Def. 4,User Def. 5,User Def. 6,User Def. 7,User Def. 8,Family,Genus,Species,Code,Number,Stage,Activity,Check ID,Comment,Event Time HH:MM:SS
SL_FW_Dive_18_09-09-57.708.avi,41080,9:34:34,17:34:34,,,,15.881,5.985,3081.493,2.016,,,-88.66,-68.35,-3079.459,1,Kristen Green ,0,,2015,18,1,,,,,,rockfish,rosethorn,150,150,22,,,,,
SL_FW_Dive_18_09-09-57.708.avi,42395,9:35:18,17:35:18,,,,65.042,10.35,5871.718,12.814,,,-1234.896,402.42,-5726.27,1,Kristen Green ,0,,2015,18,1,,,,,,rockfish,yelloweye,145,145,23,SU,Fish milling/hovering,,,
SL_FW_Dive_18_09-09-57.708.avi,42471,9:35:21,17:35:21,,,428.614,23.184,1.18,4095.735,11.379,5.409,9.429,-775.603,-226.868,-4015.223,1,Kristen Green ,0,,2015,18,1,,,,,,rockfish,yelloweye,145,145,23,SU,,,,
SL_FW_Dive_18_09-09-57.708.avi,42513,9:35:22,17:35:22,,,,16.761,6.327,3186.809,0.762,,,41.036,4.545,-3186.542,1,Kristen Green ,0,,2015,18,1,,,,,,rockfish,yelloweye,145,145,24,JV,Fish resting on bottom,,,
SL_FW_Dive_18_09-09-57.708.avi,42578,9:35:24,17:35:24,,,191.562,14.907,4.568,2550.132,10.008,22.715,24.219,-3.536,-443.165,-2511.328,1,Kristen Green ,0,,2015,18,1,,,,,,rockfish,yelloweye,145,145,24,JV,,,,
SL_FW_Dive_18_09-09-57.708.avi,42727,9:35:29,17:35:29,,,,18.379,6.195,3069.341,29.44,,,1495.914,190.333,-2673.363,1,Kristen Green ,0,,2015,18,1,,,,,,rockfish,rosethorn,150,150,25,,,,,
SL_FW_Dive_18_09-09-57.708.avi,42728,9:35:29,17:35:29,,,,28.589,10.139,3723.394,24.457,,,-1393.397,-665.917,-3388.017,1,Kristen Green ,0,,2015,18,1,,,,,,rockfish,rosethorn,150,150,26,,,,,
SL_FW_Dive_18_09-09-57.708.avi,43796,9:36:05,17:36:05,,,,88.722,2.634,6945.049,13.662,,,-1639.09,51.046,-6748.665,1,Kristen Green ,0,,2015,18,1,,,,,,rockfish,yelloweye,145,145,27,AD,Fish milling/hovering,,,
SL_FW_Dive_18_09-09-57.708.avi,44020,9:36:12,17:36:12,,,651.85,92.544,7.662,4269.709,25.429,81.305,19.656,-1424.297,-1154.45,-3856.04,1,Kristen Green ,0,,2015,18,1,,,,,,rockfish,yelloweye,145,145,27,AD,,,poor precision and horiz angle,
SL_FW_Dive_18_09-09-57.708.avi,45826,9:37:13,17:37:13,,,,18.565,6.361,3039.005,28.786,,,-1339.077,-595.367,-2662.323,1,Kristen Green ,0,,2015,18,1,,,,,,rockfish,rosethorn,150,150,28,,,,,
SL_FW_Dive_18_09-09-57.708.avi,48235,9:38:33,17:38:33,,,,61.975,7.322,5987.505,6.544,,,-125.808,-682.201,-5947.183,1,Kristen Green ,0,,2015,18,1,,,,,,rockfish,tiger,148,148,29,,,,,
SL_FW_Dive_18_09-09-57.708.avi,48857,9:38:54,17:38:54,,,,50.084,7.897,5058.257,21.089,,,-354.703,1776.039,-4722.905,1,Kristen Green ,0,,2015,18,1,,,,,,rockfish,yelloweye,145,145,30,AD,Fish resting on bottom,,no length cant see body ,
SL_FW_Dive_18_09-09-57.708.avi,49106,9:39:02,17:39:02,,,,31.474,3.308,4075.373,11.101,,,470.359,620.3,-4000.332,1,Kristen Green ,0,,2015,18,1,,,,,,rockfish,yelloweye,145,145,31,JV,Fish milling/hovering,,,
SL_FW_Dive_18_09-09-57.708.avi,49662,9:39:20,17:39:20,,,,71.534,4.766,5949.144,24.563,,,-800.323,2329.523,-5415.267,1,Kristen Green ,0,,2015,18,1,,,,,,rockfish,yelloweye,145,145,32,AD,Fish milling/hovering,,,
SL_FW_Dive_18_09-09-57.708.avi,49968,9:39:31,17:39:31,,,549.135,21.761,3.282,2503.371,20.919,35.125,17.317,-715.763,-535.373,-2338.36,1,Kristen Green ,0,,2015,18,1,,,,,,rockfish,yelloweye,145,145,32,AD,,,horiz angle > 30 ,
SL_FW_Dive_18_09-09-57.708.avi,49339,9:39:10,17:39:10,,,,101.485,4.599,7421.537,9.391,,,1069.784,-581.724,-7320.954,1,Kristen Green ,0,,2015,18,1,,,,,,rockfish,yelloweye,145,145,33,AD,Fish resting on bottom,,no length too dark ,
SL_FW_Dive_18_09-09-57.708.avi,51382,9:40:18,17:40:18,,,,21.949,1.597,3393.877,12.237,,,-666.371,-277.336,-3316.239,1,Kristen Green ,0,,2015,18,1,,,,,,rockfish,rosethorn,150,150,34,,,,,
SL_FW_Dive_18_09-09-57.708.avi,55533,9:42:36,17:42:36,,,,26.164,7.492,3852.695,5.949,,,273.428,-298.389,-3831.378,1,Kristen Green ,0,,2015,18,1,,,,,,rockfish,rosethorn,150,150,35,,,,,
SL_FW_Dive_18_09-09-57.708.avi,57620,9:43:46,17:43:46,,,,32.908,8.534,4093.733,35.412,,,1927.481,1376.239,-3339.076,1,Kristen Green ,0,,2015,18,1,,,,,,rockfish,yelloweye,145,145,36,AD,Fish milling/hovering,,"no length, in rocks",
SL_FW_Dive_18_09-09-57.708.avi,58742,9:44:23,17:44:23,,,,29.869,1.414,3845.562,16.237,,,916.423,555.298,-3693.259,1,Kristen Green ,0,,2015,18,1,,,,,,rockfish,yelloweye,145,145,37,JV,Fish resting on bottom,,,
SL_FW_Dive_18_09-09-57.708.avi,58929,9:44:29,17:44:29,,,280.148,17.007,5.774,2731.304,27.418,2.423,8.064,1043.08,-702.727,-2424.496,1,Kristen Green ,0,,2015,18,1,,,,,,rockfish,yelloweye,145,145,37,JV,,,,
SL_FW_Dive_18_09-09-57.708.avi,58723,9:44:22,17:44:22,,,,18.91,8.394,3266.949,6.714,,,-186.279,327.158,-3245.184,1,Kristen Green ,0,,2015,18,1,,,,,,rockfish,yelloweye,145,145,38,JV,Fish resting on bottom,,"no length, body hidden ",
