Filename,Frame,Time_UTC,Time (HMS),Period,Period time (HMS),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,Tape Reader,Depth,Comment,Year,Dive No,Transect No,User Def. 4,User Def. 5,User Def. 6,User Def. 7,User Def. 8,Family,Genus,Species,Code,Number,Stage,Activity,Check ID,Comment,Event Time HH:MM:SS
SL_FW_Dive_14_18-11-18.049.avi,45887,18:38:48,2:38:48,,,,78.61,5.088,6238.424,17.857,,,-1067.741,1575.733,-5940.954,1,Kristen Green ,0,,2015,14,1,,,,,,rockfish,rosethorn,150,150,21,,,,,
SL_FW_Dive_14_18-11-18.049.avi,48235,18:40:06,2:40:06,,,,40.233,6.376,4794.099,7.32,,,137.128,586.005,-4756.173,1,Kristen Green ,0,,2015,14,1,,,,,,rockfish,rosethorn,150,150,22,,,,,
SL_FW_Dive_14_18-11-18.049.avi,48667,18:40:20,2:40:20,,,,37.085,3.895,4156.22,25.858,,,1380.229,1167.866,-3742.355,1,Kristen Green ,0,,2015,14,1,,,,,,rockfish,rosethorn,150,150,23,,,,,
SL_FW_Dive_14_18-11-18.049.avi,49149,18:40:36,2:40:36,,,,41.431,8.691,4700.867,16.664,,,35.473,1338.847,-4506.039,1,Kristen Green ,0,,2015,14,1,,,,,,rockfish,rosethorn,150,150,24,,,,,
SL_FW_Dive_14_18-11-18.049.avi,50052,18:41:06,2:41:06,,,,88.257,3.797,6505.216,25.418,,,-2322.6,1538.385,-5878.498,1,Kristen Green ,0,,2015,14,1,,,,,,rockfish,yelloweye,145,145,25,AD,Fish milling/hovering,,too dark no length ,
SL_FW_Dive_14_18-11-18.049.avi,50308,18:41:15,2:41:15,,,,56.535,0.518,5497.162,10.268,,,794.554,562.982,-5410.224,1,Kristen Green ,0,,2015,14,1,,,,,,rockfish,rosethorn,150,150,26,,,,,
SL_FW_Dive_14_18-11-18.049.avi,50506,18:41:22,2:41:22,,,,20.772,2.474,3318.05,13.417,,,769.663,13.841,-3227.52,1,Kristen Green ,0,,2015,14,1,,,,,,rockfish,rosethorn,150,150,27,,,,,
SL_FW_Dive_14_18-11-18.049.avi,52242,18:42:19,2:42:19,,,,47.406,5.624,4878.684,15.525,,,723.011,1078.364,-4702.759,1,Kristen Green ,0,,2015,14,1,,,,,,rockfish,rosethorn,150,150,28,,,,,
SL_FW_Dive_14_18-11-18.049.avi,55823,18:44:19,2:44:19,,,,42.902,7.164,4700.074,12.719,,,738.907,715.562,-4586.14,1,Kristen Green ,0,,2015,14,1,,,,,,rockfish,yelloweye,145,145,29,JV,Fish resting on bottom,,bad orientation no length ,
SL_FW_Dive_14_18-11-18.049.avi,56816,18:44:52,2:44:52,,,,97.067,0.928,6883.988,22.74,,,-1156.079,2384.524,-6353.488,1,Kristen Green ,0,,2015,14,1,,,,,,rockfish,tiger,148,148,30,,,,,
SL_FW_Dive_14_18-11-18.049.avi,58028,18:45:32,2:45:32,,,,68.4,0.446,5706.893,26.723,,,-1706.253,1906.997,-5101.048,1,Kristen Green ,0,,2015,14,1,,,,,,rockfish,unknown,10024,10024,32,,,,looks a bit like a ye hard to tell ,
SL_FW_Dive_14_18-11-18.049.avi,58242,18:45:39,2:45:39,,,,49.82,4.533,4969.826,16.622,,,1252.694,663.002,-4763.439,1,Kristen Green ,0,,2015,14,1,,,,,,rockfish,rosethorn,150,150,31,,,,,
