Filename,Frame,Time_AKDT,Time (HMS),Period,Period time (HMS),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,Tape Reader,Depth,Comment,Year,Dive No,Transect No,User Def. 4,User Def. 5,User Def. 6,User Def. 7,User Def. 8,Family,Genus,Species,Code,Number,Stage,Activity,Check ID,Comment,Event Time HH:MM:SS
SL_FW_Dive_11b_14-39-31.878.avi,25326,14:53:44,22:53:44,,,580.312,7.409,4.051,1825.722,14.568,14.589,2.454,368.406,274.137,-1767.027,1,Kristen Green ,0,,2015,11,1,,,,,,rockfish,yelloweye,145,145,16,AD,,,,
SL_FW_Dive_11b_14-39-31.878.avi,26088,14:54:10,22:54:10,,,,69.92,8.824,5935.598,15.874,,,-1394.205,820.853,-5710.842,1,Kristen Green ,0,,2015,11,1,,,,,,rockfish,tiger,148,148,17,,,,,
SL_FW_Dive_11b_14-39-31.878.avi,27574,14:54:59,22:54:59,,,,81.445,1.406,6180.609,23.691,,,1691.346,1807.412,-5663.262,1,Kristen Green ,0,,2015,11,1,,,,,,rockfish,yelloweye,145,145,18,SU,Fish milling/hovering,,,
SL_FW_Dive_11b_14-39-31.878.avi,27869,14:55:09,22:55:09,,,403.54,30.153,11.529,3245.495,28.13,20.192,6.268,1329.331,757.773,-2862.149,1,Kristen Green ,0,,2015,11,1,,,,,,rockfish,yelloweye,145,145,18,SU,,,RMS = 11,
SL_FW_Dive_11b_14-39-31.878.avi,28438,14:55:28,22:55:28,,,,105.215,4.69,7836.272,6.825,,,110.597,909.62,-7782.513,1,Kristen Green ,0,,2015,11,1,,,,,,rockfish,rosethorn,150,150,19,,,,,
SL_FW_Dive_11b_14-39-31.878.avi,29444,14:56:01,22:56:01,,,,28.352,7.764,3676.89,31.698,,,1189.83,1516.114,-3131.329,1,Kristen Green ,0,,2015,11,1,,,,,,rockfish,yelloweye,145,145,20,AD,Fish moving slowly out of frame,,no length; maybe gravid,
SL_FW_Dive_11b_14-39-31.878.avi,29954,14:56:18,22:56:18,,,,61.015,7.47,5452.053,20.814,,,-994.176,1652.91,-5099.449,1,Kristen Green ,0,,2015,11,1,,,,,,rockfish,rosethorn,150,150,21,,,,,
SL_FW_Dive_11b_14-39-31.878.avi,30231,14:56:28,22:56:28,,,,15.311,7.531,2791.675,26.611,,,1249.971,30.397,-2496.016,1,Kristen Green ,0,,2015,11,1,,,,,,greenling,lingcod,130,130,22,,,,"no length, cant see whole body",
SL_FW_Dive_11b_14-39-31.878.avi,30530,14:56:38,22:56:38,,,,38.67,2.215,4500.683,21.989,,,47.454,1676.486,-4176.517,1,Kristen Green ,0,,2015,11,1,,,,,,rockfish,yelloweye,145,145,23,JV,Fish milling/hovering,,,
SL_FW_Dive_11b_14-39-31.878.avi,30663,14:56:42,22:56:42,,,268.45,16.347,7.621,3516.342,11.267,11.483,8.131,169.293,665.823,-3448.576,1,Kristen Green ,0,,2015,11,1,,,,,,rockfish,yelloweye,145,145,23,JV,,,,
