Filename,Frame,AKDT,Time (HMS),Period,Period time (HMS),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,Tape Reader,Depth,Comment,Year,Dive No,Transect No,User Def. 4,User Def. 5,User Def. 6,User Def. 7,User Def. 8,Family,Genus,Species,Code,Number,Stage,Activity,Check ID,Comment,Event Time HH:MM:SS
SL_FW_Dive_33_16-37-42.838.avi,24605,16:51:35,0:51:35,,,,54.927,3.902,5147.532,28.76,,,-1935.651,1536.3,-4515.542,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,rosethorn,150,150,22,,,,,
SL_FW_Dive_33_16-37-42.838.avi,25053,16:51:50,0:51:50,,,,18.09,0.332,3256.282,4.492,,,-37.271,246.017,-3246.761,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,tiger,148,148,23,,,,,
SL_FW_Dive_33_16-37-42.838.avi,25056,16:51:50,0:51:50,,,,16.338,3.628,2862.745,30.326,,,-1289.549,648.185,-2472.292,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,dusky,172,172,24,,,,,
SL_FW_Dive_33_16-37-42.838.avi,25479,16:52:04,0:52:04,,,,26.753,7.434,3655.715,29.103,,,1731.053,400.074,-3194.942,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,rosethorn,150,150,25,,,,,
SL_FW_Dive_33_16-37-42.838.avi,25885,16:52:18,0:52:18,,,,49.695,6.713,4881.236,24.544,,,914.831,1800.922,-4443.673,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,yelloweye,145,145,26,AD,Fish milling/hovering,,,
SL_FW_Dive_33_16-37-42.838.avi,26235,16:52:29,0:52:30,,,445.52,13.332,7.641,2206.898,24.324,16.596,19.675,908.134,-39.788,-2010.997,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,yelloweye,145,145,26,AD,,,,
SL_FW_Dive_33_16-37-42.838.avi,25886,16:52:18,0:52:18,,,,19.176,5.341,3222.689,9.185,,,-331.234,387.429,-3182.123,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,rosethorn,150,150,27,,,,,
SL_FW_Dive_33_16-37-42.838.avi,25887,16:52:18,0:52:18,,,,22.902,1.244,3356.148,26.337,,,1450.754,329.234,-3008.429,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,tiger,148,148,28,,,,,
SL_FW_Dive_33_16-37-42.838.avi,26113,16:52:25,0:52:25,,,,5.63,1,1692.756,26.604,,,-748.791,115.28,-1513.752,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,dusky,172,172,29,,,,,
SL_FW_Dive_33_16-37-42.838.avi,26921,16:52:52,0:52:52,,,,12.382,4.084,2644.895,5.675,,,-225.768,-137.095,-2631.673,1,Kristen Green ,0,,2015,33,1,,,,,,rockfish,rosethorn,150,150,30,,,,,
