Filename,Frame,Time_AKDT,Time (HMS),Period,Period time (HMS),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,Tape Reader,Depth,Comment,Year,Dive No,Transect No,User Def. 4,User Def. 5,User Def. 6,User Def. 7,User Def. 8,Family,Genus,Species,Code,Number,Stage,Activity,Check ID,Comment,Event Time HH:MM:SS
SL_FW_Dive_29_10-24-15.111.avi,9833,10:30:22,18:30:22,,,,38.751,0.899,4556.116,30.285,,,-2258.249,416.11,-3935.143,1,Jenny Stahl,0,,2015,29,1,,,,,,rockfish,yelloweye,145,145,1,AD,Fish seeking cover,,"No length-blurry, better in forw",
SL_FW_Dive_29_10-24-15.111.avi,14257,10:32:49,18:32:49,,,,36.902,3.57,4460.052,10.796,,,-775.642,301.872,-4381.702,1,Jenny Stahl,0,,2015,29,1,,,,,,rockfish,rosethorn,150,150,2,,,,,
SL_FW_Dive_29_10-24-15.111.avi,17185,10:34:27,18:34:27,,,,39.412,0.72,4546.58,22.558,,,4.118,1736.031,-4202.091,1,Jenny Stahl,0,,2015,29,1,,,,,,rockfish,yelloweye,145,145,3,AD,Fish milling/hovering,,,
SL_FW_Dive_29_10-24-15.111.avi,17500,10:34:37,18:34:37,,,629.425,5.102,0.82,1975.819,12.349,6.626,2.148,49.147,-419.682,-1930.107,1,Jenny Stahl,0,,2015,29,1,,,,,,rockfish,yelloweye,145,145,3,AD,,,,
SL_FW_Dive_29_10-24-15.111.avi,18049,10:34:56,18:34:56,,,,24.49,1.454,3561.408,27.178,,,-1607.341,-256.15,-3167.723,1,Jenny Stahl,0,,2015,29,1,,,,,,rockfish,rosethorn,150,150,4,,,,,
SL_FW_Dive_29_10-24-15.111.avi,18324,10:35:05,18:35:05,,,,23.163,0.827,3366.663,21.177,,,-1122.605,-473.986,-3138.394,1,Jenny Stahl,0,,2015,29,1,,,,,,rockfish,rosethorn,150,150,5,,,,,
SL_FW_Dive_29_10-24-15.111.avi,26405,10:39:34,18:39:34,,,,13.262,5.911,2520.011,18.65,,,639.088,-495.523,-2386.73,1,Jenny Stahl,0,,2015,29,1,,,,,,rockfish,rosethorn,150,150,6,,,,,
SL_FW_Dive_29_10-24-15.111.avi,30248,10:41:42,18:41:42,,,,17.946,0.951,2920.973,26.894,,,1209.405,-537.105,-2604.024,1,Jenny Stahl,0,,2015,29,1,,,,,,rockfish,rosethorn,150,150,7,,,,,
SL_FW_Dive_29_10-24-15.111.avi,33496,10:43:31,18:43:31,,,,9.374,0.429,2250.322,9.084,,,-113.765,-340.88,-2221.443,1,Jenny Stahl,0,,2015,29,1,,,,,,rockfish,yelloweye,145,145,8,AD,Fish seeking cover,,no length- in crevice,
SL_FW_Dive_29_10-24-15.111.avi,42305,10:48:24,18:48:24,,,,53.449,6.976,5088.064,19.02,,,994.504,1317.56,-4812.836,1,Jenny Stahl,0,,2015,29,1,,,,,,rockfish,yelloweye,145,145,9,AD,Fish chasing other fish,,no length-cant see whole fish ,
SL_FW_Dive_29_10-24-15.111.avi,43208,10:48:54,18:48:54,,,,9.121,1.754,2080.125,23.892,,,-675.572,-507.043,-1900.903,1,Jenny Stahl,0,,2015,29,1,,,,,,rockfish,rosethorn,150,150,10,,,,,
SL_FW_Dive_29_10-24-15.111.avi,43945,10:49:19,18:49:19,,,,35.03,0.078,4172.519,16.322,,,1064.275,-500.094,-4003.391,1,Jenny Stahl,0,,2015,29,1,,,,,,rockfish,yelloweye,145,145,11,AD,Fish seeking cover,,no length- behind rock,
SL_FW_Dive_29_10-24-15.111.avi,48812,10:52:01,18:52:01,,,,17.952,2.674,3079.839,29.005,,,-1477.441,-222.893,-2693.12,1,Jenny Stahl,0,,2015,29,1,,,,,,rockfish,,,,12,,,,rosethorn or juv ye? Cant confirm,
SL_FW_Dive_29_10-24-15.111.avi,48860,10:52:03,18:52:03,,,,73.549,0.432,6211.366,17.23,,,-295.156,1804.53,-5936.128,1,Jenny Stahl,0,,2015,29,1,,,,,,rockfish,yelloweye,145,145,14,AD,Fish resting on bottom,,no length-bad angle,
SL_FW_Dive_29_10-24-15.111.avi,49041,10:52:09,18:52:09,,,,13.26,6.131,2545.133,16.325,,,538.605,-475.597,-2441.601,1,Jenny Stahl,0,,2015,29,1,,,,,,rockfish,rosethorn,150,150,13,,,,,
SL_FW_Dive_29_10-24-15.111.avi,50639,10:53:02,18:53:02,,,,10.881,1.195,2303.018,17.535,,,-532.397,-449.238,-2195.138,1,Jenny Stahl,0,,2015,29,1,,,,,,rockfish,rosethorn,150,150,15,,,,,
SL_FW_Dive_29_10-24-15.111.avi,50680,10:53:03,18:53:03,,,,30.761,4.432,3968.271,28.796,,,1899.63,-219.022,-3477.156,1,Jenny Stahl,0,,2015,29,1,,,,,,rockfish,,,,28,,,,coudl be ye but can't confirm,
SL_FW_Dive_29_10-24-15.111.avi,52421,10:54:01,18:54:01,,,,20.836,0.296,3494.266,4.178,,,71.538,-251.043,-3484.502,1,Jenny Stahl,0,,2015,29,1,,,,,,rockfish,rosethorn,150,150,16,,,,,
SL_FW_Dive_29_10-24-15.111.avi,53388,10:54:34,18:54:34,,,,19.673,3.081,3309.637,7.732,,,-400.564,188.094,-3279.918,1,Jenny Stahl,0,,2015,29,1,,,,,,rockfish,rosethorn,150,150,17,,,,,
SL_FW_Dive_29_10-24-15.111.avi,53520,10:54:38,18:54:38,,,,22.328,1.545,3455.881,11.716,,,689.943,121.572,-3384.127,1,Jenny Stahl,0,,2015,29,1,,,,,,rockfish,rosethorn,150,150,18,,,,,
SL_FW_Dive_29_10-24-15.111.avi,56051,10:56:02,18:56:02,,,,53.331,3.071,5086.097,20.873,,,1686.17,654.786,-4753.574,1,Jenny Stahl,0,,2015,29,1,,,,,,rockfish,yelloweye,145,145,19,AD,Fish milling/hovering,,,
SL_FW_Dive_29_10-24-15.111.avi,56101,10:56:04,18:56:04,,,563.853,45.898,3.278,4228.946,25.304,17.692,30.6,1793.915,221.718,-3823.179,1,Jenny Stahl,0,,2015,29,1,,,,,,rockfish,yelloweye,145,145,19,AD,,,,
SL_FW_Dive_29_10-24-15.111.avi,61072,10:58:50,18:58:50,,,,35.253,2.61,4253.084,13.155,,,603.493,748.822,-4142.92,1,Jenny Stahl,0,,2015,29,1,,,,,,rockfish,rosethorn,150,150,20,,,,,
SL_FW_Dive_29_10-24-15.111.avi,63214,11:00:01,19:00:01,,,,23.923,1.049,3371.393,28.364,,,1426.417,-734.153,-2965.239,1,Jenny Stahl,0,,2015,29,1,,,,,,rockfish,,,,27,,,,probably ye but can't confirm,
SL_FW_Dive_29_10-24-15.111.avi,65214,11:01:08,19:01:08,,,,10.814,1.381,2245.385,23.243,,,705.963,-539.522,-2062.107,1,Jenny Stahl,0,,2015,29,1,,,,,,rockfish,rosethorn,150,150,21,,,,,
SL_FW_Dive_29_10-24-15.111.avi,65425,11:01:15,19:01:15,,,,17.526,0.318,2916.859,19.863,,,464.87,-880.571,-2741.634,1,Jenny Stahl,0,,2015,29,1,,,,,,rockfish,rosethorn,150,150,22,,,,,
SL_FW_Dive_29_10-24-15.111.avi,65839,11:01:29,19:01:29,,,,20.737,0.454,3453.335,6.171,,,-371.229,-8.983,-3433.312,1,Jenny Stahl,0,,2015,29,1,,,,,,rockfish,rosethorn,150,150,23,,,,,
SL_FW_Dive_29_10-24-15.111.avi,65953,11:01:32,19:01:32,,,,53.272,3.546,5234.865,19.958,,,301.266,1751.723,-4923.872,1,Jenny Stahl,0,,2015,29,1,,,,,,rockfish,yelloweye,145,145,25,AD,Fish milling/hovering,,no length-bad angle,
SL_FW_Dive_29_10-24-15.111.avi,66103,11:01:37,19:01:37,,,,40.064,1.93,4502.709,15.732,,,-1085.817,549.712,-4335.113,1,Jenny Stahl,0,,2015,29,1,,,,,,rockfish,rosethorn,150,150,26,,,,,
