Filename,Frame,Time_AKDT,Time (HMS),Period,Period time (HMS),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,Tape Reader,Depth,Comment,Year,Dive No,Transect No,User Def. 4,User Def. 5,User Def. 6,User Def. 7,User Def. 8,Family,Genus,Species,Code,Number,Stage,Activity,Check ID,Comment,Event Time H:MM:SS
SL_FW_Dive_03_17-52-02.051.avi,16735,18:02:01,2:02:01,,,,51.978,1.326,5314.416,9.928,,,-444.07,791.373,-5236.368,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,rosethorn,150,150,23,,,,,
SL_FW_Dive_03_17-52-02.051.avi,16816,18:02:04,2:02:04,,,,29.073,4.689,3859.396,30.989,,,1942.691,411.485,-3309.316,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,rosethorn,150,150,24,,,,,
SL_FW_Dive_03_17-52-02.051.avi,17028,18:02:11,2:02:11,,,,20.373,3.827,3168.758,24.234,,,375.367,1239.72,-2891.923,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,tiger,148,148,25,,,,,
SL_FW_Dive_03_17-52-02.051.avi,17544,18:02:28,2:02:28,,,,11.747,5.132,2375.99,19.871,,,-633.997,-504.584,-2233.555,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,dusky,172,172,26,,,,better in belly cam,
SL_FW_Dive_03_17-52-02.051.avi,17544,18:02:28,2:02:28,,,,37.024,6.014,4486.311,9.986,,,-338.952,691.711,-4419.687,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,rosethorn,150,150,27,,,,,
SL_FW_Dive_03_17-52-02.051.avi,18209,18:02:50,2:02:50,,,,49.166,5.415,4875.641,25.95,,,-981.903,1885.692,-4387.7,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,rosethorn,150,150,28,,,,,
SL_FW_Dive_03_17-52-02.051.avi,18217,18:02:50,2:02:50,,,,26.374,6.496,3535.078,26.349,,,1420.66,-672.074,-3166.515,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,rosethorn,150,150,29,,,,,
SL_FW_Dive_03_17-52-02.051.avi,19944,18:03:48,2:03:48,,,,89,6.11,6664.213,15.85,,,1563.376,919.68,-6412.626,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,tiger,148,148,30,,,,,
SL_FW_Dive_03_17-52-02.051.avi,20869,18:04:19,2:04:19,,,,56.572,4.823,5336.793,16.099,,,-789.813,1241.621,-5129.906,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,rosethorn,150,150,31,,,,,
SL_FW_Dive_03_17-52-02.051.avi,21272,18:04:32,2:04:32,,,,75.928,9.295,6257.357,22.76,,,303.655,2390.49,-5774.761,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,silvergray,157,157,32,,,,,
SL_FW_Dive_03_17-52-02.051.avi,21508,18:04:40,2:04:40,,,,189.737,3.33,9935.844,31.857,,,-4807.455,2078.968,-8443.179,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,yelloweye,145,145,33,AD,Fish moving slowly into frame,,no length-can't see tail,
SL_FW_Dive_03_17-52-02.051.avi,21508,18:04:40,2:04:40,,,,64.701,1.941,5608.866,28.701,,,-2247.837,1474.711,-4922.584,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,dusky,172,172,34,,,,,
SL_FW_Dive_03_17-52-02.051.avi,22043,18:04:58,2:04:58,,,,19.378,4.518,3172.915,17.281,,,-146.375,925.26,-3031.478,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,rosethorn,150,150,35,,,,,
SL_FW_Dive_03_17-52-02.051.avi,22216,18:05:04,2:05:04,,,,23.123,1.803,3328.369,21.82,,,-780.532,953.819,-3091.769,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,rosethorn,150,150,36,,,,,
SL_FW_Dive_03_17-52-02.051.avi,22222,18:05:04,2:05:04,,,,54.9,0.934,5492.19,31.284,,,-2815.273,446.953,-4694.531,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,yelloweye,145,145,37,AD,Fish milling/hovering,,not is right stereo; no length,
SL_FW_Dive_03_17-52-02.051.avi,23361,18:05:42,2:05:42,,,,5.699,3.756,1649.956,26.585,,,-353.07,-651.373,-1474.249,1,Jenny Stahl,0,,2015,3,1,,,,,,greenling,kelp greenling,194,194,38,,,,female,
SL_FW_Dive_03_17-52-02.051.avi,25271,18:06:45,2:06:45,,,,32.154,4.169,4403.446,2.886,,,175.017,127.632,-4398.115,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,rosethorn,150,150,39,,,,,
SL_FW_Dive_03_17-52-02.051.avi,25333,18:06:47,2:06:47,,,,37.089,5.595,4657.408,5.767,,,-72.644,453.405,-4634.717,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,silvergray,157,157,40,,,,,
SL_FW_Dive_03_17-52-02.051.avi,26251,18:07:18,2:07:18,,,,47.558,2.393,4937.143,19.495,,,-1621.853,281.493,-4654.646,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,rosethorn,150,150,41,,,,,
SL_FW_Dive_03_17-52-02.051.avi,26462,18:07:25,2:07:25,,,,38.703,9.27,4470.837,17.79,,,1364.423,-73.314,-4256.919,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,rosethorn,150,150,42,,,,,
SL_FW_Dive_03_17-52-02.051.avi,26462,18:07:25,2:07:25,,,,23.928,6.88,3465.867,23.549,,,1379.067,-130.948,-3176.989,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,rosethorn,150,150,43,,,,,
SL_FW_Dive_03_17-52-02.051.avi,32381,18:10:42,2:10:42,,,,10.694,1.061,2387.447,12.289,,,-21.066,-512.215,-2331.758,1,Jenny Stahl,0,,2015,3,1,,,,,,ronquil,ronquil,,,44,,,,,
SL_FW_Dive_03_17-52-02.051.avi,35149,18:12:15,2:12:15,,,,31.663,5.361,4023.459,18.718,,,281.277,1252.827,-3813.074,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,rosethorn,150,150,45,,,,,
SL_FW_Dive_03_17-52-02.051.avi,35648,18:12:31,2:12:31,,,,29.788,6.784,3815.127,17.175,,,789.765,796.359,-3646.543,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,rosethorn,150,150,46,,,,,
SL_FW_Dive_03_17-52-02.051.avi,36492,18:12:59,2:12:59,,,,50.537,6.291,5046.53,16.138,,,-721.525,1193.554,-4849.978,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,rosethorn,150,150,48,,,,,
SL_FW_Dive_03_17-52-02.051.avi,36499,18:13:00,2:13:00,,,,57.979,0.579,5357.503,30.325,,,-2290.821,1429.627,-4627.218,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,silvergray,157,157,47,,,,,
SL_FW_Dive_03_17-52-02.051.avi,37049,18:13:18,2:13:18,,,,31.695,2.011,3977.072,27.953,,,-1739.214,664.454,-3514.362,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,rosethorn,150,150,49,,,,,
SL_FW_Dive_03_17-52-02.051.avi,38918,18:14:20,2:14:20,,,,31.943,6.84,3983.227,24.509,,,1628.102,275.382,-3624.851,1,Jenny Stahl,0,,2015,3,1,,,,,,rockfish,rosethorn,150,150,50,,,,,
