Filename,Frame,Time (HMS),Period,Period time (HMS),Image row,Image col,OpCode,Tape Reader,Depth,Comment,Year,Dive No,Transect No,User Def. 4,User Def. 5,User Def. 6,User Def. 7,User Def. 8,Family,Genus,Species,Code,Number,Stage,Activity,Start/End,Comment,Event Time HH:MM:SS,Time (HMS),Actual Time (HMS),Actual Time (AKSTD),Seconds,,
SL_FW_Dive_03_17-52-02.051.avi,83403,2:39:03,,,522,575,QC,Asia,0,,2015,3,3,,,,,,Good,Good Going Forward,GGF,GGF,3,,,End,fish after shake,,2:39:03,2:39:03,18:39:03,67143,,
SL_FW_Dive_04_19-32-03.475.avi,854,3:32:36,,,371,409,QC,Asia,0,,2015,4,5,,,,,,Good,Good Going Forward,GGF,GGF,1,,,Start,,,3:32:36,3:32:36,19:32:36,70356,,
SL_FW_Dive_04_19-32-03.475.avi,72755,4:12:33,,,474,735,QC,Asia,0,,2015,4,5,,,,,,Good,Good Going Forward,GGF,GGF,1,,,End,,,4:12:33,4:12:33,20:12:33,72753,,
SL_FW_Dive_05_21-14-38.614.avi,490,5:14:59,,,351,298,QC,Asia,0,,2015,5,4,,,,,,Good,Good Going Forward,GGF,GGF,1,,,Start,,,5:14:59,5:14:59,21:14:59,76499,,
SL_FW_Dive_05_21-14-38.614.avi,25897,5:29:06,,,541,526,QC,Asia,0,,2015,5,4,,,,,,Good,Good Going Forward,GGF,GGF,1,,,,turning,,5:29:06,5:29:06,21:29:06,77346,,
SL_FW_Dive_05_21-14-38.614.avi,26092,5:29:13,,,415,517,QC,Asia,0,,2015,5,4,,,,,,Good,Good Going Forward,GGF,GGF,1,,,,turn complete moving forward,,5:29:13,5:29:13,21:29:13,77353,,
SL_FW_Dive_05_21-14-38.614.avi,57283,5:46:32,,,744,589,QC,Asia,0,,2015,5,4,,,,,,Bad,loitering in same area,BLA,BLA,,,,,also hits rock,,5:46:32,5:46:32,21:46:32,78392,,
SL_FW_Dive_05_21-14-38.614.avi,57497,5:46:40,,,499,495,QC,Asia,0,,2015,5,4,,,,,,Good,Good Going Forward,GGF,GGF,2,,,,,,5:46:40,5:46:40,21:46:40,78400,,
SL_FW_Dive_05_21-14-38.614.avi,66772,5:51:49,,,484,399,QC,Asia,0,,2015,5,4,,,,,,Bad,going backwards,BGB,BGB,,,,,,,5:51:49,5:51:49,21:51:49,78709,,
SL_FW_Dive_05_21-14-38.614.avi,66945,5:51:55,,,444,611,QC,Asia,0,,2015,5,4,,,,,,Good,Good Going Forward,GGF,GGF,3,,,,,,5:51:55,5:51:55,21:51:54,78714,,
SL_FW_Dive_05_21-14-38.614.avi,67662,5:52:18,,,553,526,QC,Asia,0,,2015,5,4,,,,,,Good,Good Going Forward,GGF,GGF,3,,,End,,,5:52:18,5:52:18,21:52:18,78738,,
SL_FW_Dive_06_07-06-38.096.avi,1034,15:07:18,,,396,313,QC,Asia,0,,2015,6,6,,,,,,Good,Good Going Forward,GGF,GGF,1,,,Start,,,15:07:18,15:07:18,7:07:18,25638,,
SL_FW_Dive_06_07-06-38.096.avi,76163,15:49:02,,,544,520,QC,Asia,0,,2015,6,6,,,,,,Good,Good Going Forward,GGF,GGF,1,,,End,,,15:49:02,15:49:02,7:49:02,28142,,
SL_FW_Dive_07_08-55-12.383.avi,629,16:58:58,,,404,468,QC,Asia,0,,2015,7,21,,,,,,Good,Good Going Forward,GGF,GGF,1,,,Start,,,16:58:58,16:58:58,8:58:58,32338,,
SL_FW_Dive_07_08-55-12.383.avi,64459,17:34:26,,,518,391,QC,Asia,0,,2015,7,21,,,,,,Good,Good Going Forward,GGF,GGF,1,,,,odd ROV behavior,,17:34:26,17:34:26,9:34:26,34466,,
SL_FW_Dive_07_08-55-12.383.avi,64612,17:34:31,,,436,357,QC,Asia,0,,2015,7,21,,,,,,Good,Good Going Forward,GGF,GGF,1,,,,back to normal,,17:34:31,17:34:31,9:34:31,34471,,
SL_FW_Dive_07_08-55-12.383.avi,69856,17:37:26,,,509,429,QC,Asia,0,,2015,7,21,,,,,,Good,Good Going Forward,GGF,GGF,1,,,End,,,17:37:26,17:37:26,9:37:26,34646,,
SL_FW_Dive_08_10-14-34.600.avi,583,18:21:12,,,450,408,QC,Asia,0,,2015,8,19,,,,,,Good,Good Going Forward,GGF,GGF,1,,,Start,,,18:21:12,18:21:12,10:21:12,37272,,
SL_FW_Dive_08_10-14-34.600.avi,3940,18:23:04,,,378,214,QC,Asia,0,,2015,8,19,,,,,,Good,Good Going Forward,GGF,GGF,1,,,End,No head shake. Dive restarted ,,18:23:04,18:23:04,10:23:04,37384,,
SL_FW_Dive_09_11-46-39.419.avi,724,19:52:52,,,487,622,QC,Asia,0,,2015,9,19,,,,,,Good,Good Going Forward,GGF,GGF,1,,,Start,,,19:52:52,19:52:52,11:52:52,42772,,
SL_FW_Dive_09_11-46-39.419.avi,67306,20:29:52,,,575,701,QC,Asia,0,,2015,9,19,,,,,,Good,Good Going Forward,GGF,GGF,1,,,End,,,20:29:52,20:29:52,12:29:51,44991,,
SL_FW_Dive_10_13-04-12.293.avi,621,21:07:46,,,518,651,QC,Asia,0,,2015,10,12,,,,,,Good,Good Going Forward,GGF,GGF,1,,,Start,fish before head shake,,21:07:46,21:07:46,13:07:46,47266,,
SL_FW_Dive_10_13-04-12.293.avi,76104,21:49:42,,,270,569,QC,Asia,0,,2015,10,12,,,,,,Bad,going backwards,BGB,BGB,,,,,,,21:49:42,21:49:42,13:49:42,49782,,
SL_FW_Dive_10_13-04-12.293.avi,76253,21:49:47,,,313,625,QC,Asia,0,,2015,10,12,,,,,,Good,Good Going Forward,GGF,GGF,2,,,,,,21:49:47,21:49:47,13:49:47,49787,,
SL_FW_Dive_10_13-04-12.293.avi,82635,21:53:20,,,544,781,QC,Asia,0,,2015,10,12,,,,,,Good,Good Going Forward,GGF,GGF,2,,,End,fish after head shake,,21:53:20,21:53:20,13:53:19,49999,,
SL_FW_Dive_11_14-31-41.952.avi,1432,22:32:40,,,476,731,QC,Asia,0,,2015,11a,10,,,,,,Good,Good Going Forward,GGF,GGF,1,,,Start,,,22:32:40,22:32:40,14:32:40,52360,,
SL_FW_Dive_11_14-31-41.952.avi,7387,22:35:58,,,397,619,QC,Asia,0,,2015,11a,10,,,,,,Bad,lost bottom visual,BLB,BLB,0,,,,,,22:35:58,22:35:58,14:35:58,52558,,
SL_FW_Dive_11_14-31-41.952.avi,7725,22:36:10,,,606,862,QC,Asia,0,,2015,11a,10,,,,,,Good,Good Going Forward,GGF,GGF,2,,,,,,22:36:10,22:36:10,14:36:09,52569,,
SL_FW_Dive_11_14-31-41.952.avi,9588,22:37:12,,,408,537,QC,Asia,0,,2015,11a,10,,,,,,Bad,lost bottom visual,BLB,BLB,,,,,,,22:37:12,22:37:12,14:37:12,52632,,
SL_FW_Dive_11_14-31-41.952.avi,9820,22:37:19,,,575,1156,QC,Asia,0,,2015,11a,10,,,,,,Good,Good Going Forward,GGF,GGF,3,,,,,,22:37:19,22:37:19,14:37:19,52639,,
SL_FW_Dive_11_14-31-41.952.avi,12252,22:38:40,,,638,924,QC,Asia,0,,2015,11a,10,,,,,,Good,Good Going Forward,GGF,GGF,3,,,End,2 files for dive due to camera issue,,22:38:40,22:38:40,14:38:40,52720,,
SL_FW_Dive_12_15-42-55.118.avi,1335,23:51:00,,,437,713,QC,Asia,0,,2015,12,8,,,,,,Good,Good Going Forward,GGF,GGF,1,,,Start,,,23:51:00,23:51:00,15:51:00,57060,,
SL_FW_Dive_12_15-42-55.118.avi,17538,0:00:00,,,505,508,QC,Asia,0,,2015,12,8,,,,,,Good,Good Going Forward,GGF,GGF,1,,,,video overlay reads 0:00:00 and Event Measure time 24:00:00,00:00:002,0:00:00,0:00:00,16:00:00,57600,,
SL_FW_Dive_12_15-42-55.118.avi,70796,0:29:35,,,607,685,QC,Asia,0,,2015,12,8,,,,,,Good,Good Going Forward,GGF,GGF,1,,,End,,0:29:35,0:29:35,0:29:35,16:29:35,59375,,
