FILENAME,FRAME,TIME_MINS,PERIOD,PERIOD_TIME_MINS,LENGTH_MM,PRECISION,RMS_1_MM,RMS_2_MM,RANGE_MM,DIRECTION_DEG,HORZ_DIR_DEG,VERT_DIR_DEG,MID_X_MM,MID_Y_MM,MID_Z_MM,OPCODE,TAPE_READER,DEPTH_NOT_USED,TRIP_COMMENT,YEAR,DIVE_NO,TRANSECT_NO,USER_DEF_4,USER_DEF_5,USER_DEF_6,USER_DEF_7,USER_DEF_8,FAMILY,GENUS,SPECIES,CODE,SPECIMEN_NUMBER,STAGE,ACTIVITY,CHECK_ID,SPECIES_COMMENT,USER_DEF_ATTR
2012_6736_1_SL.avi,  50160,44.3442,,,,59,1.422,,4868.062,27.622,,,-2118.919,683.786,-4329.047,1,Jenny Stahl,0,,2012,6736,1,,,,,,rockfish,rosethorn,150,150,34,,,,,
2012_6736_1_SL.avi,  52192,45.4742,,,,27,4.46,,3833.358,16.09,,,860.551,543.051,-3695.833,1,Jenny Stahl,0,,2012,6736,1,,,,,,rockfish,rosethorn,150,150,35,,,,,
2012_6736_2_SL.avi,   1811,17.4568,,,,28,4.101,,3928.916,21.574,,,-224.267,1347.655,-3683.736,1,Jenny Stahl,0,,2012,6736,2,,,,,,rockfish,rosethorn,150,150,1,,,,,
2012_6736_2_SL.avi,3407,18.3444,,,501.21,21,3.228,1.201,4158.951,15.906,4.27,13.413,726.707,791.256,-4017.796,1,Jenny Stahl,0,,2012,6736,2,,,,,,rockfish,yelloweye,145,145,2,AD,Fish milling,,,
2012_6736_2_SL.avi,3350,18.3127,,,,45,0.405,,4919.137,21.339,,,552.849,1602.824,-4617.707,1,Jenny Stahl,0,,2012,6736,2,,,,,,rockfish,yelloweye,145,145,2,AD,Fish milling,,,
2012_6736_2_SL.avi,   3367,18.3222,,,,39,2.509,,4675.368,21.136,,,282.702,1567.074,-4395.842,1,Jenny Stahl,0,,2012,6736,2,,,,,,rockfish,yelloweye,145,145,4,AD,Fish milling,,,
2012_6736_2_SL.avi,   3466,18.3772,,,404.517,31,1.443,1.638,3650.085,11.209,22.665,4.656,329.352,550.723,-3593.237,1,Jenny Stahl,0,,2012,6736,2,,,,,,rockfish,yelloweye,145,145,4,AD,Fish milling,,,
2012_6736_2_SL.avi,   3978,18.6619,,,,21,1.55,,3283.727,16.643,,,-936.652,16.355,-3147.265,1,Jenny Stahl,0,,2012,6736,2,,,,,,rockfish,yelloweye,145,145,5,AD,Fish seeking cover,,No length in crack,
2012_6736_2_SL.avi,   4969,19.213,,,,25,5.636,,3713.055,10.926,,,-477.642,-595.748,-3633.692,1,Jenny Stahl,0,,2012,6736,2,,,,,,rockfish,rosethorn,150,150,6,,,,,
2012_6736_2_SL.avi,   9676,21.8307,,,,44,7.071,,4656.882,22.06,,,-1173.051,1203.481,-4343.056,1,Jenny Stahl,0,,2012,6736,2,,,,,,skate,skate,700,700,7,,,,length is wing span,
