Filename,Frame,Time..HMS.,Period,Period.time..HMS.,Length..mm.,Precision..mm.,RMS..mm.,Range..mm.,Direction..deg.,Horz..Dir...deg.,Vert..Dir...deg.,Mid.X..mm.,Mid.Y..mm.,Mid.Z..mm.,OpCode,TapeReader,Depth,Comment,Year,Dive.No,Transect.No,User.Def..4,User.Def..5,User.Def..6,User.Def..7,User.Def..8,Family,Genus,Species,Code,Number,Stage,Activity,Check.ID,Comment.1
SL_2017EYKT_Dive_01_13-26-38.000.avi,77452,14:09:47,NA,NA,NA,27.599,0.541,3926.454,6.844,NA,NA,-389.266,-265.766,-3898.061,1,Jenny,0,NA,2017,1,1,NA,NA,NA,NA,NA,rockfish,rosethorn,150,150,18,,,NA,
SL_2017EYKT_Dive_01_13-26-38.000.avi,32216,13:44:39,NA,NA,NA,9.206,0.546,2093.716,18.753,NA,NA,571.322,-359.082,-1981.994,1,Jenny,0,NA,2017,1,1,NA,NA,NA,NA,NA,rockfish,rosethorn,150,150,20,,,NA,
BEL_2017EYKT_Dive_01_13-26-38.000.avi,21803,13:38:53,NA,NA,NA,NA,NA,NA,NA,NA,NA,121.92,NA,NA,1,Amy,0,NA,2017,1,1,NA,NA,NA,NA,NA,rockfish,rosethorn,150,150,21,,,NA,
BEL_2017EYKT_Dive_01_13-26-38.000.avi,66341,14:03:37,NA,NA,NA,NA,NA,NA,NA,NA,NA,152.4,NA,NA,1,Amy,0,NA,2017,1,1,NA,NA,NA,NA,NA,rockfish,tiger,148,148,22,,,NA,
BEL_2017EYKT_Dive_01_13-26-38.000.avi,70538,14:05:57,NA,NA,NA,NA,NA,NA,NA,NA,NA,243.84,NA,NA,1,Amy,0,NA,2017,1,1,NA,NA,NA,NA,NA,rockfish,rosethorn,150,150,23,,,NA,
SL_2017EYKT_Dive_10_16-14-22.000.avi,3175,16:16:40,NA,NA,NA,73.193,4.118,4176.725,21.827,NA,NA,1436.665,566.445,-3880.743,1,Jenny,0,NA,2017,10,1,NA,NA,NA,NA,NA,greenling,unknown,10007,10007,1,,,NA,
SL_2017EYKT_Dive_10_16-14-22.000.avi,13950,16:22:39,NA,NA,NA,67.999,3.687,4257.12,20.109,NA,NA,409.677,1381.166,-4005.947,1,Jenny,0,NA,2017,10,1,NA,NA,NA,NA,NA,rockfish,yelloweye,145,145,3,SU,Fish milling/hovering,NA,
SL_2017EYKT_Dive_10_16-14-22.000.avi,14056,16:22:43,NA,NA,216.869,57.759,1.84,2929.007,9.317,35.048,0.007,128.36,456.519,-2890.363,1,Jenny,0,NA,2017,10,1,NA,NA,NA,NA,NA,rockfish,yelloweye,145,145,3,SU,,NA,high horizontal angle
SL_2017EYKT_Dive_10_16-14-22.000.avi,14056,16:22:43,NA,NA,NA,45.518,2.276,3445.598,19.542,NA,NA,-467.317,1034.132,-3253.358,1,Jenny,0,NA,2017,10,1,NA,NA,NA,NA,NA,rockfish,silvergray,157,157,4,,,NA,
SL_2017EYKT_Dive_10_16-14-22.000.avi,15890,16:23:44,NA,NA,NA,103.784,1.647,4764.739,27.677,NA,NA,-2018.542,882.288,-4224.902,1,Jenny,0,NA,2017,10,1,NA,NA,NA,NA,NA,rockfish,yelloweye,145,145,5,JV,Fish milling/hovering,NA,"no length, too blurry"
SL_2017EYKT_Dive_10_16-14-22.000.avi,18570,16:25:13,NA,NA,NA,67.493,0.929,3994.128,24.485,NA,NA,-1640.688,198.6,-3636.173,1,Jenny,0,NA,2017,10,1,NA,NA,NA,NA,NA,rockfish,unknown,10024,10024,6,,,NA,likely silvergray
SL_2017EYKT_Dive_10_16-14-22.000.avi,20048,16:26:02,NA,NA,NA,13.116,3.515,2032.9,2.502,NA,NA,84.88,13.791,-2031.081,1,Jenny,0,NA,2017,10,1,NA,NA,NA,NA,NA,greenling,lingcod,130,130,7,,,NA,"no length, bad angle"
SL_2017EYKT_Dive_10_16-14-22.000.avi,20526,16:26:18,NA,NA,NA,19.826,3.481,2203.65,18.647,NA,NA,639.254,-308.763,-2086.167,1,Jenny,0,NA,2017,10,1,NA,NA,NA,NA,NA,rockfish,tiger,148,148,8,,,NA,
SL_2017EYKT_Dive_10_16-14-22.000.avi,24573,16:28:33,NA,NA,NA,22.621,4.666,2548.21,10.659,NA,NA,160.102,-458.249,-2501.55,1,Jenny,0,NA,2017,10,1,NA,NA,NA,NA,NA,rockfish,yelloweye,145,145,9,JV,Fish milling/hovering,NA,"no length, bad angle"
SL_2017EYKT_Dive_10_16-14-22.000.avi,31892,16:32:37,NA,NA,NA,38.679,4.848,3320.196,12.204,NA,NA,-699.9,32.922,-3245.421,1,Jenny,0,NA,2017,10,1,NA,NA,NA,NA,NA,rockfish,rosethorn,150,150,10,,,NA,
SL_2017EYKT_Dive_10_16-14-22.000.avi,35302,16:34:31,NA,NA,NA,94.876,1.587,4933.697,18.328,NA,NA,936.305,1209.072,-4690.719,1,Jenny,0,NA,2017,10,1,NA,NA,NA,NA,NA,rockfish,unknown,10024,10024,11,,,NA,
SL_2017EYKT_Dive_10_16-14-22.000.avi,36675,16:35:17,NA,NA,NA,37.266,1.895,3224.276,12.512,NA,NA,-429.653,531.953,-3150.933,1,Jenny,0,NA,2017,10,1,NA,NA,NA,NA,NA,rockfish,yelloweye,145,145,12,SU,Fish milling/hovering,NA,"no length, bad angle"
SL_2017EYKT_Dive_10_16-14-22.000.avi,39735,16:36:58,NA,NA,NA,126.811,0.566,5946.502,13.616,NA,NA,1394.15,-160.887,-5778.524,1,Jenny,0,NA,2017,10,1,NA,NA,NA,NA,NA,rockfish,unknown,10024,10024,13,,,NA,
SL_2017EYKT_Dive_10_16-14-22.000.avi,40154,16:37:12,NA,NA,NA,74.555,2.393,4254.618,20.213,NA,NA,-1386.125,-513.381,-3989.596,1,Jenny,0,NA,2017,10,1,NA,NA,NA,NA,NA,rockfish,silvergray,157,157,14,,,NA,
SL_2017EYKT_Dive_10_16-14-22.000.avi,40154,16:37:12,NA,NA,NA,64.9,0.203,4170.268,13.746,NA,NA,-757.25,-663.306,-4046.941,1,Jenny,0,NA,2017,10,1,NA,NA,NA,NA,NA,rockfish,rosethorn,150,150,15,,,NA,
SL_2017EYKT_Dive_10_16-14-22.000.avi,40154,16:37:12,NA,NA,NA,45.954,1.676,3604.868,11.059,NA,NA,-389.614,-592.386,-3534.452,1,Jenny,0,NA,2017,10,1,NA,NA,NA,NA,NA,rockfish,unknown,10024,10024,16,,,NA,
SL_2017EYKT_Dive_10_16-14-22.000.avi,42879,16:38:43,NA,NA,NA,71.012,3.038,4176.44,22.732,NA,NA,-1612.344,46.947,-3852.375,1,Jenny,0,NA,2017,10,1,NA,NA,NA,NA,NA,rockfish,rosethorn,150,150,17,,,NA,
SL_2017EYKT_Dive_10_16-14-22.000.avi,43134,16:38:52,NA,NA,NA,62.271,6.489,4272.134,10.999,NA,NA,-303.566,731.402,-4198.098,1,Jenny,0,NA,2017,10,1,NA,NA,NA,NA,NA,greenling,lingcod,130,130,18,,,NA,
SL_2017EYKT_Dive_10_16-14-22.000.avi,43203,16:38:54,NA,NA,640.7,82.165,4.466,3429.789,4.904,35.338,2.536,-247.595,157.005,-3417.235,1,Jenny,0,NA,2017,10,1,NA,NA,NA,NA,NA,greenling,lingcod,130,130,18,,,NA,
SL_2017EYKT_Dive_10_16-14-22.000.avi,43787,16:39:14,NA,NA,NA,19.442,2.343,2095.88,26.144,NA,NA,-634.463,-682.309,-1877.398,1,Jenny,0,NA,2017,10,1,NA,NA,NA,NA,NA,rockfish,yelloweye,145,145,19,JV,Fish milling/hovering,NA,
SL_2017EYKT_Dive_10_16-14-22.000.avi,43788,16:39:14,NA,NA,143.687,23.212,3.781,2231.329,27.551,12.636,7.352,-733.852,-725.692,-1978.298,1,Jenny,0,NA,2017,10,1,NA,NA,NA,NA,NA,rockfish,yelloweye,145,145,19,JV,,NA,
SL_2017EYKT_Dive_10_16-14-22.000.avi,43902,16:39:17,NA,NA,NA,40.998,0.424,3291.417,20.321,NA,NA,339.055,1073.112,-3093.04,1,Jenny,0,NA,2017,10,1,NA,NA,NA,NA,NA,rockfish,silvergray,157,157,20,,,NA,
SL_2017EYKT_Dive_10_16-14-22.000.avi,44440,16:39:35,NA,NA,NA,67.221,4.308,3985.808,23.441,NA,NA,-1107.058,1113.26,-3663.569,1,Jenny,0,NA,2017,10,1,NA,NA,NA,NA,NA,rockfish,silvergray,157,157,21,,,NA,
SL_2017EYKT_Dive_10_16-14-22.000.avi,46363,16:40:39,NA,NA,NA,18.526,1.909,1993.485,28.115,NA,NA,-807.045,-491.31,-1755.356,1,Jenny,0,NA,2017,10,1,NA,NA,NA,NA,NA,rockfish,yelloweye,145,145,22,AD,Fish moving slowly into frame,NA,"no length, bad angle"
SL_2017EYKT_Dive_10_16-14-22.000.avi,58254,16:47:16,NA,NA,NA,45.179,0.979,3289.361,23.977,NA,NA,-1336.671,-28.233,-3005.396,1,Jenny,0,NA,2017,10,1,NA,NA,NA,NA,NA,rockfish,rosethorn,150,150,23,,,NA,
SL_2017EYKT_Dive_10_16-14-22.000.avi,63714,16:50:18,NA,NA,NA,46.636,2.495,3705.27,9.127,NA,NA,-570.39,-163.606,-3657.446,1,Jenny,0,NA,2017,10,1,NA,NA,NA,NA,NA,rockfish,yelloweye,145,145,24,JV,Fish milling/hovering,NA,
SL_2017EYKT_Dive_10_16-14-22.000.avi,63791,16:50:20,NA,NA,NA,61.885,2.521,4078.252,14.405,NA,NA,743.895,666.297,-3954.087,1,Jenny,0,NA,2017,10,1,NA,NA,NA,NA,NA,rockfish,yelloweye,145,145,25,JV,Fish milling/hovering,NA,
SL_2017EYKT_Dive_10_16-14-22.000.avi,63807,16:50:21,NA,NA,241.76,61.411,0.814,2569.726,20.193,55.725,12.56,-583.437,-668.127,-2411.784,1,Jenny,0,NA,2017,10,1,NA,NA,NA,NA,NA,rockfish,yelloweye,145,145,24,JV,,NA,High Horizontal angle
SL_2017EYKT_Dive_10_16-14-22.000.avi,63981,16:50:27,NA,NA,245.521,20.663,2.095,2456.574,20.113,0.979,31.446,726.496,-431.025,-2306.767,1,Jenny,0,NA,2017,10,1,NA,NA,NA,NA,NA,rockfish,yelloweye,145,145,25,JV,,NA,
SL_2017EYKT_Dive_10_16-14-22.000.avi,66200,16:51:41,NA,NA,NA,48.228,0.745,3330.591,24.891,NA,NA,-1356.069,337.23,-3023.275,1,Jenny,0,NA,2017,10,1,NA,NA,NA,NA,NA,rockfish,silvergray,157,157,26,,,NA,
SL_2017EYKT_Dive_10_16-14-22.000.avi,66907,16:52:04,NA,NA,NA,79.232,3.717,4426.079,19.492,NA,NA,-1316.591,644.148,-4176.342,1,Jenny,0,NA,2017,10,1,NA,NA,NA,NA,NA,rockfish,rosethorn,150,150,27,,,NA,
SL_2017EYKT_Dive_10_16-14-22.000.avi,67703,16:52:31,NA,NA,NA,39.244,3.661,3623.526,0.413,NA,NA,23.432,-33.2,-3623.298,1,Jenny,0,NA,2017,10,1,NA,NA,NA,NA,NA,rockfish,rosethorn,150,150,28,,,NA,
SL_2017EYKT_Dive_10_16-14-22.000.avi,67703,16:52:31,NA,NA,NA,34.105,0.405,2866.577,23.111,NA,NA,-1124.744,-47.396,-2636.279,1,Jenny,0,NA,2017,10,1,NA,NA,NA,NA,NA,rockfish,unknown,10024,10024,29,,,NA,likely silvergray
SL_2017EYKT_Dive_10_16-14-22.000.avi,68602,16:53:01,NA,NA,NA,79.64,1.943,4583.261,17.572,NA,NA,1376.153,117.95,-4370.191,1,Jenny,0,NA,2017,10,1,NA,NA,NA,NA,NA,rockfish,tiger,148,148,30,,,NA,
SL_2017EYKT_Dive_10_16-14-22.000.avi,68706,16:53:04,NA,NA,NA,123.42,1.489,5650.378,16.896,NA,NA,-1244.089,1039.59,-5412.788,1,Jenny,0,NA,2017,10,1,NA,NA,NA,NA,NA,rockfish,yelloweye,145,145,31,AD,Fish chasing other fish,NA,
SL_2017EYKT_Dive_10_16-14-22.000.avi,68820,16:53:08,NA,NA,495.842,69.931,3.261,3210.951,14.605,36.948,27.157,792.723,164.673,-3107.198,1,Jenny,0,NA,2017,10,1,NA,NA,NA,NA,NA,rockfish,yelloweye,145,145,31,AD,,NA,high horizontal angle
SL_2017EYKT_Dive_10_16-14-22.000.avi,71023,16:54:21,NA,NA,NA,34.336,0.67,2929.842,19.866,NA,NA,991.26,-109.603,-2754.881,1,Jenny,0,NA,2017,10,1,NA,NA,NA,NA,NA,rockfish,yelloweye,145,145,32,JV,Fish milling/hovering,NA,
SL_2017EYKT_Dive_10_16-14-22.000.avi,71050,16:54:22,NA,NA,192.809,71.876,2.308,2740.718,20.293,52.744,12.615,916.541,-251.906,-2570.609,1,Jenny,0,NA,2017,10,1,NA,NA,NA,NA,NA,rockfish,yelloweye,145,145,32,JV,,NA,High Horizontal angle
SL_2017EYKT_Dive_10_16-14-22.000.avi,25017,16:28:48,NA,NA,NA,15.014,4.993,1837.939,25.72,NA,NA,594.989,-541.096,-1652.641,1,Jenny,0,NA,2017,10,1,NA,NA,NA,NA,NA,rockfish,tiger,148,148,33,,,NA,
SL_2017EYKT_Dive_10_16-14-22.000.avi,53843,16:44:49,NA,NA,NA,35.417,5.068,2973.801,20.852,NA,NA,-1055.153,67.941,-2779.484,1,Jenny,0,NA,2017,10,1,NA,NA,NA,NA,NA,rockfish,yelloweye,145,145,34,JV,Fish milling/hovering,NA,confirmed aux
SL_2017EYKT_Dive_10_16-14-22.000.avi,53868,16:44:50,NA,NA,137.131,38.999,3.96,2756.383,23.955,21.727,39.177,-1105.049,-177.133,-2518.955,1,Jenny,0,NA,2017,10,1,NA,NA,NA,NA,NA,rockfish,yelloweye,145,145,34,JV,,NA,
SL_2017EYKT_Dive_10_16-14-22.000.avi,63023,16:49:55,NA,NA,NA,50.157,0.57,3671.243,16.193,NA,NA,-1023.688,-37.942,-3525.428,1,Jenny,0,NA,2017,10,1,NA,NA,NA,NA,NA,rockfish,yelloweye,145,145,35,JV,Fish milling/hovering,NA,"confirmed aux; no length, blurry"
SL_2017EYKT_Dive_10_16-14-22.000.avi,71023,16:54:21,NA,NA,NA,483.127,7.31,10528.673,25.442,NA,NA,4431.298,-963.357,-9502.026,1,Jenny,0,NA,2017,10,1,NA,NA,NA,NA,NA,rockfish,yelloweye,145,145,36,JV,Fish milling/hovering,NA,"no length, can't see whole; confirmed aux"
AUX_2017EYKT_Dive_10_16-14-22.000.avi,47685,16:42:18,NA,NA,NA,NA,NA,NA,NA,NA,NA,-701,NA,NA,1,Amy,0,NA,2017,10,1,NA,NA,NA,NA,NA,rockfish,yelloweye,145,145,37,AD,Fish moving slowly into frame,NA,only in aux; no length
AUX_2017EYKT_Dive_10_16-14-22.000.avi,47685,16:42:18,NA,NA,NA,NA,NA,NA,NA,NA,NA,-731.5,NA,NA,1,Amy,0,NA,2017,10,1,NA,NA,NA,NA,NA,rockfish,yelloweye,145,145,38,AD,Fish moving slowly into frame,NA,only in aux; no length
AUX_2017EYKT_Dive_10_16-14-22.000.avi,66535,16:53:08,NA,NA,NA,NA,NA,NA,NA,NA,NA,579,NA,NA,1,Amy,0,NA,2017,10,1,NA,NA,NA,NA,NA,rockfish,tiger,148,148,39,,,NA,only in aux
SL_2017EYKT_Dive_10_16-14-22.000.avi,37563,16:35:46,NA,NA,NA,33.364,2.44,2887.749,17.779,NA,NA,-791.144,-405.841,-2747.45,1,Jenny,0,NA,2017,10,1,NA,NA,NA,NA,NA,rockfish,tiger,148,148,40,,,NA,confirmed aux
SL_2017EYKT_Dive_11_17-24-15.000.avi,3319,17:26:08,NA,NA,NA,41.513,0.215,3070.667,25.853,NA,NA,-1301.836,296.836,-2765.159,1,Jenny,0,NA,2017,11,1,NA,NA,NA,NA,NA,rockfish,rosethorn,150,150,1,,,NA,
SL_2017EYKT_Dive_11_17-24-15.000.avi,3828,17:26:25,NA,NA,NA,19.558,8.126,2240.756,16.414,NA,NA,549.958,300.948,-2151.27,1,Jenny,0,NA,2017,11,1,NA,NA,NA,NA,NA,rockfish,silvergray,157,157,2,,,NA,
SL_2017EYKT_Dive_11_17-24-15.000.avi,11778,17:30:50,NA,NA,NA,22.433,1.248,2379.455,18.294,NA,NA,-439.82,-617.138,-2255.549,1,Jenny,0,NA,2017,11,1,NA,NA,NA,NA,NA,rockfish,yelloweye,145,145,3,JV,Fish milling/hovering,NA,"no length, too blurry"
SL_2017EYKT_Dive_11_17-24-15.000.avi,13443,17:31:45,NA,NA,NA,57.779,1.011,3590.148,26.921,NA,NA,1295.072,963.174,-3206.907,1,Jenny,0,NA,2017,11,1,NA,NA,NA,NA,NA,rockfish,yelloweye,145,145,28,JV,Fish milling/hovering,NA,"no length, too blurry"
SL_2017EYKT_Dive_11_17-24-15.000.avi,13756,17:31:56,NA,NA,NA,6.811,2.077,1259.941,20.905,NA,NA,414.643,-180.769,-1175.945,1,Jenny,0,NA,2017,11,1,NA,NA,NA,NA,NA,rockfish,yelloweye,145,145,4,JV,Fish moving quickly into frame,NA,
SL_2017EYKT_Dive_11_17-24-15.000.avi,13774,17:31:56,NA,NA,195.945,8.75,0.741,1436.561,11.912,19.735,21.009,213.212,-206.055,-1405.628,1,Jenny,0,NA,2017,11,1,NA,NA,NA,NA,NA,rockfish,yelloweye,145,145,4,JV,,NA,
SL_2017EYKT_Dive_11_17-24-15.000.avi,25383,17:38:23,NA,NA,NA,14.806,0.725,2058.9,8.748,NA,NA,240.418,-212.782,-2033.714,1,Jenny,0,NA,2017,11,1,NA,NA,NA,NA,NA,rockfish,rosethorn,150,150,5,,,NA,
SL_2017EYKT_Dive_11_17-24-15.000.avi,27430,17:39:31,NA,NA,NA,10.679,2.328,1668.894,19.315,NA,NA,-123.399,-547.447,-1571.713,1,Jenny,0,NA,2017,11,1,NA,NA,NA,NA,NA,rockfish,yelloweye,145,145,29,JV,Fish seeking cover,NA,"no length, can't see whole fish"
SL_2017EYKT_Dive_11_17-24-15.000.avi,29187,17:40:30,NA,NA,NA,12.375,0.909,1682.146,23.538,NA,NA,-648.848,-183.202,-1541.119,1,Jenny,0,NA,2017,11,1,NA,NA,NA,NA,NA,crab,box crab,900,900,6,,,NA,
SL_2017EYKT_Dive_11_17-24-15.000.avi,30355,17:41:09,NA,NA,NA,16.364,0.166,2123.243,12.498,NA,NA,207.141,-422.54,-2070.438,1,Jenny,0,NA,2017,11,1,NA,NA,NA,NA,NA,rockfish,yelloweye,145,145,30,JV,Fish milling/hovering,NA,"no length, too blurry, confirmed in bell"
