"filename","frame","time_akdt","time_hms","period","period_time_hms","length_mm","precision_mm","rms_mm","range_mm","direction_deg","horz_dir_deg","vert_dir_deg","mid_x_mm","mid_y_mm","mid_z_mm","op_code","tape_reader","depth","comment","year","dive_no","transect_no","user_def_4","user_def_5","user_def_6","user_def_7","user_def_8","family","genus","species","code","number","stage","activity","check_id","comment_1","event_time_hh_mm_ss"
"SL_FW_Dive_01_14-33-17.912.avi",58604,"15:06:07","23:06:07",NA,NA,698.144,27.088,6.931,3016.249,15.6,29.842,30.575,808.738,61.996,-2905.144,1,"Jenny Stahl",0,NA,2015,1,1,NA,NA,NA,NA,NA,"rockfish","yelloweye",145,145,16,"AD","",NA,"",NA
"SL_FW_Dive_01_14-33-17.912.avi",59329,"15:06:32","23:06:32",NA,NA,NA,84.223,2.364,6400.398,21.77,NA,NA,2245.982,756.835,-5945.407,1,"Jenny Stahl",0,NA,2015,1,1,NA,NA,NA,NA,NA,"rockfish","yelloweye",145,145,17,"AD","Fish chasing other fish",NA,"",NA
"SL_FW_Dive_01_14-33-17.912.avi",59613,"15:06:41","23:06:41",NA,NA,557.153,45.548,0.376,3516.661,28.76,37.374,3.334,1545.94,-687.708,-3082.861,1,"Jenny Stahl",0,NA,2015,1,1,NA,NA,NA,NA,NA,"rockfish","yelloweye",145,145,17,"AD","",NA,"Hor Dir>30",NA
"SL_FW_Dive_01_14-33-17.912.avi",66778,"15:10:40","23:10:40",NA,NA,NA,17.491,1.224,3015.53,32.298,NA,NA,-1452.739,-701.832,-2547.626,1,"Jenny Stahl",0,NA,2015,1,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,18,"","",NA,"",NA
"SL_FW_Dive_01_14-33-17.912.avi",79489,"15:17:44","23:17:44",NA,NA,NA,9.652,6.149,2169.604,25.287,NA,NA,284.034,-885.935,-1960.006,1,"Jenny Stahl",0,NA,2015,1,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,19,"","",NA,"",NA
"SL_FW_Dive_01_14-33-17.912.avi",84989,"15:20:47","23:20:47",NA,NA,NA,26.813,5.234,3886.017,7.964,NA,NA,-139.112,512.718,-3849.531,1,"Jenny Stahl",0,NA,2015,1,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,20,"","",NA,"",NA
"SL_FW_Dive_02_16-27-15.035.avi",10966,"16:33:25","0:33:25",NA,NA,NA,71.096,6.483,5918.703,18.211,NA,NA,-1074.555,1494.735,-5625.135,1,"Jenny Stahl",0,NA,2015,2,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,1,"","",NA,"",NA
"SL_FW_Dive_02_16-27-15.035.avi",19560,"16:38:11","0:38:11",NA,NA,NA,12.874,9.075,2543.814,31.147,NA,NA,1262.254,367.129,-2177.824,1,"Jenny Stahl",0,NA,2015,2,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,2,"","",NA,"in vase sponge",NA
"SL_FW_Dive_02_16-27-15.035.avi",23269,"16:40:15","0:40:15",NA,NA,NA,9.173,1.846,2110.622,24.459,NA,NA,-330.107,-812.835,-1919.65,1,"Jenny Stahl",0,NA,2015,2,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,3,"","",NA,"",NA
"SL_FW_Dive_02_16-27-15.035.avi",23688,"16:40:29","0:40:29",NA,NA,NA,24.984,2.605,3576.192,12.713,NA,NA,538.628,-580.551,-3487.405,1,"Jenny Stahl",0,NA,2015,2,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,4,"","",NA,"",NA
"SL_FW_Dive_02_16-27-15.035.avi",28805,"16:43:19","0:43:19",NA,NA,NA,18.667,1.908,3032.477,17.829,NA,NA,-815.157,-450.092,-2885.975,1,"Jenny Stahl",0,NA,2015,2,1,NA,NA,NA,NA,NA,"rockfish","rosethorn",150,150,5,"","",NA,"",NA
