Event,DIVE_NO,ALDT,Seconds,VESSEL_X,VESSEL_Y,Vessel_heading,VESSEL_PITCH,VESSEL_ROLL,ROV_X,ROV_Y,ROV_Z,ROV_Heading,ROV_CMG,Alt,ROV_pitch
1,nseo_1,1:04:08 PM,47048,421935.78,6376749.42,295.9,4.01,5.16,421907.41,6376742.72,123,316,,3.61,-29.79
2,nseo_1,1:04:09 PM,47049,421935.28,6376749.06,298,4.01,4.01,421903.03,6376746.13,123,336,,3.47,-32.09
3,nseo_1,1:04:10 PM,47050,421934.78,6376748.88,300.3,2.86,2.86,421903.03,6376746.13,123,7,,3.3,-33.8
4,nseo_1,1:04:11 PM,47051,421934.37,6376748.71,302.7,2.29,3.44,421903.03,6376746.13,123,7,,3.3,-33.8
5,nseo_1,1:04:12 PM,47052,421934.07,6376748.71,304.8,2.29,4.01,421903.03,6376746.13,123,20,,3.19,-33.8
6,nseo_1,1:04:13 PM,47053,421933.67,6376748.53,307.2,2.86,4.58,421903.03,6376746.13,123,35,,3.07,-34.95
7,nseo_1,1:04:14 PM,47054,421933.27,6376748.36,309.9,3.44,4.58,421903.03,6376746.13,123,44,,2.85,-36.1
8,nseo_1,1:04:15 PM,47055,421932.97,6376748.36,313.2,3.44,4.58,421903.03,6376746.13,123,41,,2.65,-37.24
9,nseo_1,1:04:16 PM,47056,421932.57,6376748.18,315.5,3.44,4.01,421903.03,6376746.13,123,42,,2.62,-37.82
10,nseo_1,1:04:17 PM,47057,421931.96,6376747.82,317.1,2.29,3.44,421903.03,6376746.13,123,42,,2.68,-37.82
11,nseo_1,1:04:18 PM,47058,421931.66,6376747.83,319.6,2.29,4.58,421903.03,6376746.13,123,42,,2.65,-38.96
12,nseo_1,1:04:19 PM,47059,421931.46,6376748.02,322,4.01,5.73,421903.03,6376746.13,123,41,,2.74,-37.82
13,nseo_1,1:04:20 PM,47060,421931.26,6376748.02,324.5,4.58,5.73,421903.03,6376746.13,123,39,,2.9,-36.1
14,nseo_1,1:04:21 PM,47061,421930.77,6376748.22,326.5,3.44,5.16,421904.7,6376755.06,123,40,,3.1,-36.1
15,nseo_1,1:04:22 PM,47062,421930.37,6376748.41,327.8,1.15,4.01,421904.7,6376755.06,123,43,,3.16,-34.95
16,nseo_1,1:04:23 PM,47063,421929.98,6376748.61,329.3,2.86,2.86,421904.7,6376755.06,123,44,,3.19,-33.8
17,nseo_1,1:04:24 PM,47064,421929.68,6376748.8,331,5.16,2.86,421904.7,6376755.06,123,44,,3.19,-33.8
18,nseo_1,1:04:25 PM,47065,421929.39,6376748.99,333.3,4.58,4.01,421904.7,6376755.06,123,46,,3.27,-33.8
19,nseo_1,1:04:26 PM,47066,421929.19,6376749.36,335.7,3.44,5.73,421907.9,6376755.31,119.4,48,,3.16,-33.8
20,nseo_1,1:04:27 PM,47067,421929.1,6376749.55,337.8,3.44,6.3,421907.9,6376755.31,123,48,,3.16,-36.1
21,nseo_1,1:04:28 PM,47068,421928.8,6376749.56,339.2,3.44,4.58,421907.9,6376755.31,122,47,,3.3,-36.1
22,nseo_1,1:04:29 PM,47069,421928.4,6376749.56,340.1,2.86,2.29,421907.94,6376756.37,122,46,,3.36,-37.24
23,nseo_1,1:04:30 PM,47070,421928.3,6376749.57,341.5,3.44,2.29,421907.94,6376756.37,122,45,,3.39,-37.24
24,nseo_1,1:04:31 PM,47071,421928.3,6376749.57,343.7,3.44,4.01,421907.94,6376756.37,122,46,,3.44,-36.1
25,nseo_1,1:04:32 PM,47072,421928.2,6376749.75,345.8,3.44,5.16,421907.94,6376756.37,122,44,,3.55,-37.24
26,nseo_1,1:04:33 PM,47073,421927.9,6376749.57,347.3,2.86,5.16,421907.94,6376756.37,122,49,,3.53,-37.82
27,nseo_1,1:04:34 PM,47074,421927.6,6376749.58,348.7,1.72,4.58,421907.94,6376756.37,122,57,,3.5,-37.82
28,nseo_1,1:04:35 PM,47075,421927.41,6376749.95,349.7,1.15,5.16,421907.94,6376756.37,122,54,,3.72,-36.1
29,nseo_1,1:04:36 PM,47076,421927.41,6376750.14,350.9,2.86,5.16,421910.84,6376757.92,119.5,54,,3.72,-36.1
30,nseo_1,1:04:37 PM,47077,421927.32,6376750.51,352.3,4.58,4.58,421910.84,6376757.92,122,48,,4.01,-32.09
31,nseo_1,1:04:38 PM,47078,421927.02,6376750.7,353.7,4.01,2.86,421910.84,6376757.92,122,42,,3.92,-33.8
32,nseo_1,1:04:39 PM,47079,421926.63,6376750.9,355.1,1.72,2.29,421914.98,6376758.59,119.7,44,,3.84,-34.95
33,nseo_1,1:04:40 PM,47080,421926.63,6376751.27,357,1.15,4.01,421914.98,6376758.59,122,46,,4.04,-33.23
34,nseo_1,1:04:41 PM,47081,421926.84,6376751.64,358.7,2.29,5.73,421914.98,6376758.59,122,49,,4.12,-33.8
35,nseo_1,1:04:42 PM,47082,421926.85,6376751.82,0.2,3.44,5.73,421915.73,6376761.41,119.7,50,,4.04,-33.23
36,nseo_1,1:04:43 PM,47083,421926.65,6376752.2,1.2,4.01,4.01,421915.73,6376761.41,122,49,,3.81,-33.23
37,nseo_1,1:04:44 PM,47084,421926.25,6376752.2,1.9,3.44,1.72,421915.73,6376761.41,122,49,,3.64,-33.8
38,nseo_1,1:04:45 PM,47085,421926.16,6376752.39,2.8,1.15,2.29,421915.73,6376761.41,122,49,,3.75,-33.8
39,nseo_1,1:04:46 PM,47086,421926.36,6376752.57,4.5,1.15,4.01,421915.73,6376761.41,122,48,,4.01,-29.79
40,nseo_1,1:04:47 PM,47087,421926.66,6376752.57,6.5,2.86,5.73,421917.47,6376760.4,122,47,,4.06,-29.22
41,nseo_1,1:04:48 PM,47088,421926.66,6376752.57,8,2.86,5.73,421917.47,6376760.4,122,46,,3.95,-30.94
42,nseo_1,1:04:49 PM,47089,421926.47,6376752.94,8.7,1.15,4.01,421917.47,6376760.4,122,46,,3.95,-30.94
43,nseo_1,1:04:50 PM,47090,421926.37,6376753.13,9.1,0.57,2.86,421920.04,6376761.97,119.7,46,,3.87,-33.23
44,nseo_1,1:04:52 PM,47092,421926.17,6376753.13,9.9,2.86,1.72,421920.04,6376761.97,122,47,,3.75,-32.09
45,nseo_1,1:04:53 PM,47093,421926.17,6376753.32,11.3,3.44,2.29,421920.04,6376761.97,122,47,,3.58,-33.8
46,nseo_1,1:04:54 PM,47094,421926.38,6376753.5,13.1,1.15,5.16,421922.17,6376760.43,119.6,48,,3.53,-33.8
47,nseo_1,1:04:55 PM,47095,421926.58,6376753.68,14.7,0,6.88,421922.17,6376760.43,122,46,,3.67,-33.23
48,nseo_1,1:04:56 PM,47096,421926.58,6376753.87,15.2,0.57,6.3,421922.17,6376760.43,122,43,,3.75,-32.09
49,nseo_1,1:04:57 PM,47097,421926.49,6376754.24,15.3,2.29,2.86,421922.37,6376764.72,122,41,,3.53,-33.8
50,nseo_1,1:04:58 PM,47098,421926.3,6376754.61,15.5,3.44,0.57,421922.37,6376764.72,122,39,,3.58,-34.95
51,nseo_1,1:04:59 PM,47099,421926.31,6376754.99,16.4,1.72,1.15,421922.37,6376764.72,122,37,,3.75,-33.8
52,nseo_1,1:05:00 PM,47100,421926.51,6376754.98,18,0,4.58,421922.37,6376764.72,122,39,,3.67,-34.95
53,nseo_1,1:05:01 PM,47101,421926.81,6376754.98,19.6,0.57,6.3,421922.37,6376764.72,122,41,,3.95,-30.94
54,nseo_1,1:05:02 PM,47102,421926.91,6376755.16,20.3,0,6.3,421922.37,6376764.72,122,41,,3.75,-33.23
55,nseo_1,1:05:03 PM,47103,421927.02,6376755.71,20.3,-0.57,4.58,421922.37,6376764.72,122,41,,3.75,-33.23
56,nseo_1,1:05:04 PM,47104,421927.13,6376756.08,19.8,1.15,2.29,421922.37,6376764.72,122,42,,3.7,-34.95
57,nseo_1,1:05:05 PM,47105,421927.33,6376756.45,19.6,3.44,0.57,421922.37,6376764.72,122,43,,3.64,-34.95
58,nseo_1,1:05:06 PM,47106,421927.54,6376756.82,20.4,2.86,1.15,421922.37,6376764.72,122,45,,3.53,-33.8
59,nseo_1,1:05:07 PM,47107,421927.84,6376756.81,21.7,-0.57,4.01,421922.37,6376764.72,122,45,,3.39,-32.09
60,nseo_1,1:05:08 PM,47108,421928.04,6376756.81,22.7,-1.15,5.73,421922.37,6376764.72,122,45,,3.22,-33.23
61,nseo_1,1:05:09 PM,47109,421928.14,6376756.62,22.7,-0.57,5.73,421922.37,6376764.72,122,45,,3.07,-33.23
62,nseo_1,1:05:10 PM,47110,421928.34,6376756.99,21.9,0,4.01,421922.37,6376764.72,122,46,,2.9,-33.23
63,nseo_1,1:05:11 PM,47111,421928.55,6376757.36,21.1,-0.57,2.29,421928.34,6376766.74,122,47,,2.96,-33.8
64,nseo_1,1:05:12 PM,47112,421928.76,6376757.91,20.8,0,1.15,421928.34,6376766.74,122,48,,3.07,-32.09
65,nseo_1,1:05:13 PM,47113,421929.06,6376758.09,21,0,2.29,421928.34,6376766.74,122,50,,2.9,-30.94
66,nseo_1,1:05:14 PM,47114,421929.47,6376758.45,21.5,-0.57,4.01,421928.34,6376766.74,123,49,,2.68,-30.94
67,nseo_1,1:05:15 PM,47115,421929.77,6376758.82,21.8,-1.15,5.16,421928.34,6376766.74,123,47,,2.54,-32.09
68,nseo_1,1:05:16 PM,47116,421929.98,6376759.18,21.5,0,4.58,421928.84,6376767.84,120.5,47,,2.54,-32.09
69,nseo_1,1:05:17 PM,47117,421930.19,6376759.74,20.9,-0.57,3.44,421928.84,6376767.84,123,46,,2.51,-30.94
70,nseo_1,1:05:18 PM,47118,421930.4,6376760.29,20.4,-1.15,2.29,421928.84,6376767.84,123,46,,2.42,-30.94
71,nseo_1,1:05:19 PM,47119,421930.81,6376760.84,20.2,-1.15,2.29,421928.84,6376767.84,123,46,,2.42,-30.94
72,nseo_1,1:05:20 PM,47120,421931.42,6376761.2,20.2,-0.57,4.01,421928.84,6376767.84,123,45,,2.54,-30.94
73,nseo_1,1:05:21 PM,47121,421932.03,6376761.74,20.1,-0.57,4.58,421930.48,6376767.1,122,43,,2.76,-29.22
74,nseo_1,1:05:22 PM,47122,421932.33,6376762.11,19.8,-1.15,2.86,421930.48,6376767.1,122,42,,2.99,-29.79
75,nseo_1,1:05:23 PM,47123,421932.34,6376762.48,19.3,-1.15,1.15,421930.48,6376767.1,123,42,,2.93,-29.79
76,nseo_1,1:05:24 PM,47124,421932.35,6376762.85,18.8,-1.72,1.15,421930.48,6376767.1,122,42,,2.88,-30.94
77,nseo_1,1:05:25 PM,47125,421932.75,6376763.21,19,-2.29,3.44,421930.48,6376767.1,122,41,,3.07,-30.94
78,nseo_1,1:05:26 PM,47126,421933.36,6376763.39,19.6,-1.72,6.3,421930.21,6376766.86,123,40,,3.16,-30.94
79,nseo_1,1:05:27 PM,47127,421933.76,6376763.75,19.7,-1.72,6.3,421930.21,6376766.86,122,39,,3.22,-30.94
80,nseo_1,1:05:28 PM,47128,421933.87,6376764.12,18.9,-1.72,4.01,421930.21,6376766.86,122,39,,3.22,-30.94
81,nseo_1,1:05:29 PM,47129,421933.78,6376764.49,17.7,-1.72,0.57,421930.21,6376766.86,123,38,,3.13,-33.23
82,nseo_1,1:05:30 PM,47130,421933.89,6376765.05,17.3,-2.86,0,421931.56,6376767.73,120.4,40,,3.33,-32.09
83,nseo_1,1:05:31 PM,47131,421934.39,6376765.41,18,-3.44,2.86,421931.56,6376767.73,123,41,,3.36,-32.09
84,nseo_1,1:05:32 PM,47132,421935.1,6376765.95,18.7,-2.86,6.3,421931.56,6376767.73,123,41,,3.24,-32.09
85,nseo_1,1:05:33 PM,47133,421935.61,6376766.31,19,-0.57,6.3,421931.56,6376767.73,123,41,,3.24,-33.23
86,nseo_1,1:05:34 PM,47134,421935.72,6376766.87,18.5,-0.57,3.44,421931.56,6376767.73,123,41,,3.39,-32.09
87,nseo_1,1:05:35 PM,47135,421935.73,6376767.61,17.7,-2.29,1.15,421934.43,6376771.37,120.9,42,,3.39,-32.09
88,nseo_1,1:05:36 PM,47136,421935.94,6376768.16,17.2,-3.44,0.57,421934.43,6376771.37,123,43,,3.36,-33.23
89,nseo_1,1:05:37 PM,47137,421936.25,6376768.34,17.4,-1.72,1.15,421934.43,6376771.37,123,44,,3.33,-30.94
90,nseo_1,1:05:38 PM,47138,421936.45,6376768.71,18.4,-1.72,3.44,421934.43,6376771.37,123,44,,3.13,-30.94
91,nseo_1,1:05:39 PM,47139,421936.86,6376769.07,19.4,-2.86,5.73,421934.43,6376771.37,123,44,,3.05,-30.94
92,nseo_1,1:05:40 PM,47140,421937.06,6376769.26,19.4,-2.29,5.73,421934.09,6376774.27,123,44,,2.65,-30.94
93,nseo_1,1:05:41 PM,47141,421937.07,6376769.63,18.8,-1.72,3.44,421934.09,6376774.27,123,44,,2.65,-30.94
94,nseo_1,1:05:42 PM,47142,421937.08,6376770,18.1,-2.86,1.72,421934.09,6376774.27,123,43,,2.23,-29.79
95,nseo_1,1:05:43 PM,47143,421937.28,6376770.36,18,-3.44,1.15,421934.09,6376774.27,123,43,,3.39,-29.79
96,nseo_1,1:05:44 PM,47144,421937.89,6376770.54,18.7,-2.29,3.44,421934.09,6376774.27,123,43,,3.64,-30.94
97,nseo_1,1:05:45 PM,47145,421938.59,6376770.9,19.4,-2.29,5.73,421934.26,6376773.42,120.8,43,,3.7,-29.22
98,nseo_1,1:05:46 PM,47146,421938.9,6376771.26,19.5,-2.86,4.58,421934.26,6376773.42,123,42,,3.39,-29.22
99,nseo_1,1:05:47 PM,47147,421938.91,6376771.82,19,-2.29,1.72,421934.26,6376773.42,123,42,,3.41,-30.94
100,nseo_1,1:05:48 PM,47148,421938.92,6376772.19,18.6,-1.72,0,421936.01,6376774.74,123,42,,3.47,-30.94
101,nseo_1,1:05:49 PM,47149,421939.02,6376772.56,19.1,-2.29,0.57,421936.01,6376774.74,123,43,,3.33,-30.94
102,nseo_1,1:05:50 PM,47150,421939.23,6376772.74,20.2,-2.29,3.44,421936.01,6376774.74,123,42,,3.05,-30.94
103,nseo_1,1:05:51 PM,47151,421939.53,6376772.73,21.1,-2.29,5.73,421936.01,6376774.74,123,43,,3.1,-33.23
104,nseo_1,1:05:52 PM,47152,421939.73,6376773.1,21.3,-2.86,6.3,421936.01,6376774.74,123,44,,3.05,-33.23
105,nseo_1,1:05:53 PM,47153,421939.84,6376773.66,21,-3.44,4.58,421936.01,6376774.74,123,45,,3.1,-32.09
106,nseo_1,1:05:54 PM,47154,421939.95,6376774.03,20.5,-2.86,2.29,421936.01,6376774.74,123,45,,3.1,-32.09
107,nseo_1,1:05:55 PM,47155,421940.26,6376774.58,20.3,-1.72,1.15,421936.01,6376774.74,123,46,,3.13,-29.79
108,nseo_1,1:05:56 PM,47156,421940.67,6376774.94,20.9,-1.15,1.72,421936.01,6376774.74,123,45,,2.76,-29.79
109,nseo_1,1:05:57 PM,47157,421941.17,6376775.3,21.7,-2.29,4.01,421936.01,6376774.74,123,44,,2.42,-29.22
110,nseo_1,1:05:58 PM,47158,421941.58,6376775.48,22.2,-2.29,5.16,421936.01,6376774.74,123,43,,2.28,-30.94
111,nseo_1,1:05:59 PM,47159,421941.78,6376775.66,22.4,-1.15,4.01,421936.01,6376774.74,123,41,,2.57,-30.94
112,nseo_1,1:06:00 PM,47160,421941.89,6376776.03,22.4,-2.29,2.29,421936.01,6376774.74,123,41,,2.76,-32.09
113,nseo_1,1:06:01 PM,47161,421941.89,6376776.4,22.3,-4.01,1.15,421938.58,6376780,120.3,41,,2.79,-33.23
114,nseo_1,1:06:02 PM,47162,421941.99,6376776.4,22.4,-1.72,1.15,421938.58,6376780,123,41,,2.82,-30.94
115,nseo_1,1:06:03 PM,47163,421942.09,6376776.4,23.1,0,2.29,421938.58,6376780,123,40,,2.79,-30.94
116,nseo_1,1:06:05 PM,47165,421942.5,6376776.57,24.3,-2.29,5.16,421938.58,6376780,123,40,,2.74,-29.79
117,nseo_1,1:06:06 PM,47166,421942.8,6376776.75,25.1,-4.01,6.88,421938.58,6376780,123,41,,2.71,-30.94
118,nseo_1,1:06:07 PM,47167,421942.8,6376776.94,24.9,-2.29,4.58,421938.58,6376780,123,40,,2.62,-32.09
119,nseo_1,1:06:08 PM,47168,421942.91,6376777.31,24.2,-1.15,2.29,421938.58,6376780,123,40,,2.62,-32.09
120,nseo_1,1:06:09 PM,47169,421943.12,6376777.86,23.9,-2.29,1.15,421938.58,6376780,123,39,,2.71,-32.09
121,nseo_1,1:06:10 PM,47170,421943.43,6376778.23,24.4,-2.29,1.15,421938.58,6376780,123,41,,2.71,-33.23
122,nseo_1,1:06:11 PM,47171,421943.83,6376778.4,25.5,-1.15,2.86,421938.58,6376780,123,43,,2.68,-32.09
123,nseo_1,1:06:12 PM,47172,421944.33,6376778.77,26.6,-1.72,5.73,421940.98,6376784.38,120.8,43,,2.71,-33.23
124,nseo_1,1:06:13 PM,47173,421944.74,6376778.94,26.8,-1.72,5.73,421940.98,6376784.38,123,44,,2.74,-30.94
125,nseo_1,1:06:14 PM,47174,421944.74,6376779.32,26.4,-0.57,2.86,421940.98,6376784.38,123,44,,2.82,-30.94
126,nseo_1,1:06:15 PM,47175,421944.65,6376779.69,26.1,-1.72,1.15,421942.37,6376785.66,123,43,,2.88,-30.94
127,nseo_1,1:06:16 PM,47176,421944.86,6376780.06,26.3,-3.44,1.15,421942.37,6376785.66,123,43,,2.82,-29.79
128,nseo_1,1:06:17 PM,47177,421945.26,6376780.23,27.1,-1.72,3.44,421942.37,6376785.66,123,43,,2.68,-29.79
129,nseo_1,1:06:18 PM,47178,421945.76,6376780.04,28.1,0.57,5.16,421942.37,6376785.66,123,43,,2.54,-30.94
130,nseo_1,1:06:19 PM,47179,421945.96,6376780.22,28.6,-0.57,5.16,421942.37,6376785.66,123,42,,2.59,-30.94
131,nseo_1,1:06:20 PM,47180,421945.86,6376780.41,28.6,-2.29,2.86,421945.21,6376787.83,123,41,,2.74,-29.79
132,nseo_1,1:06:21 PM,47181,421945.76,6376780.41,28.5,-3.44,1.15,421945.21,6376787.83,123,41,,2.74,-29.79
133,nseo_1,1:06:22 PM,47182,421945.77,6376780.59,28.7,-3.44,1.15,421945.21,6376787.83,123,41,,2.71,-28.07
134,nseo_1,1:06:23 PM,47183,421946.17,6376780.59,29.6,-1.72,3.44,421945.21,6376787.83,123,42,,2.74,-29.22
135,nseo_1,1:06:24 PM,47184,421946.77,6376780.76,30.9,-1.15,5.73,421945.21,6376787.83,123,43,,2.79,-29.22
136,nseo_1,1:06:25 PM,47185,421947.08,6376781.13,31.9,-1.15,6.3,421945.21,6376787.83,123,44,,2.96,-26.93
137,nseo_1,1:06:26 PM,47186,421947.18,6376781.5,31.8,-0.57,3.44,421945.21,6376787.83,123,43,,2.88,-28.07
138,nseo_1,1:06:27 PM,47187,421947.19,6376781.87,31.3,-1.15,1.15,421945.21,6376787.83,123,43,,2.9,-29.22
139,nseo_1,1:06:28 PM,47188,421947.4,6376782.23,31.4,-2.29,1.15,421945.21,6376787.83,123,44,,2.96,-29.22
140,nseo_1,1:06:29 PM,47189,421947.8,6376782.41,32.4,-1.72,2.29,421945.21,6376787.83,123,44,,2.96,-28.07
141,nseo_1,1:06:30 PM,47190,421948.1,6376782.41,33.8,0,4.01,421945.21,6376787.83,122,43,,2.9,-29.22
142,nseo_1,1:06:31 PM,47191,421948.4,6376782.59,34.8,-0.57,5.73,421945.21,6376787.83,123,41,,2.93,-29.79
143,nseo_1,1:06:32 PM,47192,421948.5,6376782.77,35.2,-1.72,4.58,421945.21,6376787.83,122,41,,2.9,-30.94
144,nseo_1,1:06:33 PM,47193,421948.41,6376782.96,35.1,-1.72,2.86,421946.25,6376793.68,122,41,,2.85,-30.94
145,nseo_1,1:06:34 PM,47194,421948.61,6376783.14,35,-1.15,1.72,421946.25,6376793.68,122,41,,2.85,-30.94
146,nseo_1,1:06:35 PM,47195,421948.91,6376783.32,35.5,-1.72,2.29,421946.25,6376793.68,122,41,,2.93,-30.94
147,nseo_1,1:06:36 PM,47196,421949.22,6376783.5,36.5,-1.72,3.44,421947.08,6376794.23,120.6,44,,2.96,-30.94
148,nseo_1,1:06:37 PM,47197,421949.52,6376783.68,37.4,0.57,4.01,421947.08,6376794.23,122,46,,2.85,-29.79
149,nseo_1,1:06:38 PM,47198,421949.72,6376783.67,38,0,4.01,421947.08,6376794.23,122,48,,2.85,-29.79
150,nseo_1,1:06:39 PM,47199,421949.83,6376784.04,38.5,-2.29,3.44,421947.08,6376794.23,122,48,,2.88,-30.94
151,nseo_1,1:06:40 PM,47200,421949.93,6376784.23,38.7,-3.44,2.86,421947.08,6376794.23,122,47,,2.99,-30.94
152,nseo_1,1:06:41 PM,47201,421950.13,6376784.22,39,-1.15,2.29,421947.08,6376794.23,122,48,,2.96,-29.79
153,nseo_1,1:06:42 PM,47202,421950.33,6376784.22,39.7,1.72,2.29,421947.08,6376794.23,122,48,,2.9,-29.79
154,nseo_1,1:06:43 PM,47203,421950.63,6376784.21,40.7,0,4.01,421947.08,6376794.23,122,47,,2.68,-32.09
155,nseo_1,1:06:44 PM,47204,421951.03,6376784.39,41.3,-3.44,5.16,421947.08,6376794.23,122,48,,2.68,-30.94
156,nseo_1,1:06:45 PM,47205,421951.14,6376784.76,41.7,-4.01,4.58,421947.08,6376794.23,122,48,,2.74,-30.94
157,nseo_1,1:06:46 PM,47206,421951.24,6376784.76,41.7,0,2.29,421949.13,6376799.66,120.6,48,,2.74,-30.94
158,nseo_1,1:06:47 PM,47207,421951.64,6376784.94,41,1.72,2.29,421949.13,6376799.66,122,48,,2.79,-29.79
159,nseo_1,1:06:48 PM,47208,421952.15,6376785.3,40.7,-1.72,3.44,421949.13,6376799.66,123,48,,2.88,-29.22
160,nseo_1,1:06:49 PM,47209,421952.45,6376785.66,40.9,-2.86,3.44,421950.99,6376798.33,120.5,48,,2.9,-29.22
161,nseo_1,1:06:50 PM,47210,421952.55,6376785.66,40.9,-0.57,2.86,421950.99,6376798.33,122,48,,2.9,-29.79
162,nseo_1,1:06:51 PM,47211,421952.76,6376785.84,40.2,0,3.44,421950.99,6376798.33,122,48,,2.9,-29.79
163,nseo_1,1:06:52 PM,47212,421952.96,6376786.02,39.8,-0.57,4.01,421950.99,6376798.33,122,47,,2.99,-30.94
164,nseo_1,1:06:53 PM,47213,421953.26,6376786.02,39.1,-1.72,4.01,421950.99,6376798.33,122,47,,2.99,-29.79
165,nseo_1,1:06:54 PM,47214,421953.36,6376786.02,38.7,-1.15,3.44,421950.99,6376798.33,122,48,,3.05,-29.79
166,nseo_1,1:06:55 PM,47215,421953.46,6376786.01,38.3,-1.15,2.86,421952.81,6376800.31,122,49,,3.05,-29.79
167,nseo_1,1:06:56 PM,47216,421953.76,6376786.01,37.7,-2.29,3.44,421952.81,6376800.31,122,48,,3.13,-30.94
168,nseo_1,1:06:57 PM,47217,421954.05,6376785.82,37.5,-2.29,4.01,421952.81,6376800.31,122,47,,3.16,-29.79
169,nseo_1,1:06:58 PM,47218,421954.45,6376785.81,37.4,-0.57,4.01,421952.81,6376800.31,122,46,,3.24,-29.22
170,nseo_1,1:06:59 PM,47219,421954.65,6376785.81,36.9,-0.57,3.44,421952.81,6376800.31,122,46,,3.24,-29.22
171,nseo_1,1:07:00 PM,47220,421954.96,6376785.99,36.2,-2.86,2.86,421952.81,6376800.31,122,46,,3.36,-29.22
172,nseo_1,1:07:01 PM,47221,421955.16,6376786.17,35.8,-3.44,2.29,421952.81,6376800.31,122,45,,3.27,-29.79
173,nseo_1,1:07:02 PM,47222,421955.36,6376786.35,36,-1.72,2.29,421952.81,6376800.31,122,46,,3.13,-29.79
174,nseo_1,1:07:03 PM,47223,421955.77,6376786.53,36.2,-0.57,3.44,421953.7,6376802.97,122,47,,3.05,-30.94
175,nseo_1,1:07:04 PM,47224,421956.07,6376786.71,36.3,-1.15,4.58,421953.7,6376802.97,122,48,,3.07,-29.79
176,nseo_1,1:07:05 PM,47225,421956.27,6376786.89,35.9,-1.15,4.01,421953.7,6376802.97,122,48,,3.02,-29.79
177,nseo_1,1:07:06 PM,47226,421956.28,6376787.07,35.5,-1.15,2.86,421953.7,6376802.97,122,48,,2.96,-29.79
178,nseo_1,1:07:07 PM,47227,421956.28,6376787.26,35.1,-1.72,2.29,421953.7,6376802.97,122,49,,2.88,-30.94
179,nseo_1,1:07:08 PM,47228,421956.38,6376787.26,35.3,-2.29,2.29,421953.7,6376802.97,122,50,,2.88,-32.09
180,nseo_1,1:07:09 PM,47229,421956.68,6376787.44,35.4,-1.72,4.01,421953.7,6376802.97,122,52,,2.9,-29.79
181,nseo_1,1:07:10 PM,47230,421957.18,6376787.43,35,-1.72,5.16,421953.7,6376802.97,122,53,,2.93,-29.22
182,nseo_1,1:07:11 PM,47231,421957.58,6376787.61,34.3,-1.15,5.16,421953.7,6376802.97,122,51,,2.88,-28.07
183,nseo_1,1:07:12 PM,47232,421957.89,6376787.79,33.6,-0.57,2.86,421953.7,6376802.97,122,51,,2.88,-28.07
184,nseo_1,1:07:13 PM,47233,421958.19,6376787.97,32.8,-0.57,1.15,421953.7,6376802.97,122,50,,2.71,-29.79
185,nseo_1,1:07:14 PM,47234,421958.69,6376787.96,32.1,-1.72,1.72,421953.7,6376802.97,122,49,,2.74,-29.79
186,nseo_1,1:07:15 PM,47235,421959.29,6376788.13,31.7,-3.44,2.86,421953.7,6376802.97,122,49,,2.76,-29.22
187,nseo_1,1:07:17 PM,47237,421959.79,6376788.31,31.2,-2.86,4.01,421953.7,6376802.97,122,48,,2.74,-29.22
188,nseo_1,1:07:18 PM,47238,421960.3,6376788.48,30.6,0,4.01,421958.99,6376808.08,120.1,49,,2.79,-30.94
189,nseo_1,1:07:19 PM,47239,421960.5,6376788.85,29.8,0,2.86,421958.99,6376808.08,122,49,,2.88,-29.22
190,nseo_1,1:07:20 PM,47240,421960.71,6376789.4,28.9,-2.86,2.29,421958.99,6376808.08,122,50,,2.93,-29.22
191,nseo_1,1:07:21 PM,47241,421960.92,6376789.77,27.8,-4.58,2.86,421958.99,6376808.08,122,50,,3.1,-26.93
192,nseo_1,1:07:22 PM,47242,421961.43,6376790.13,27.3,-2.86,4.01,421958.99,6376808.08,122,50,,3.05,-28.07
193,nseo_1,1:07:23 PM,47243,421962.03,6376790.68,26.8,0,4.58,421959.39,6376809.86,122,51,,3.07,-28.07
194,nseo_1,1:07:24 PM,47244,421962.44,6376791.04,25.9,0.57,4.01,421959.39,6376809.86,122,52,,2.99,-29.22
195,nseo_1,1:07:25 PM,47245,421962.75,6376791.4,25,-1.15,2.86,421959.39,6376809.86,122,53,,2.99,-29.79
196,nseo_1,1:07:26 PM,47246,421962.95,6376791.77,24.3,-2.86,2.29,421961.97,6376808.94,120.6,53,,2.99,-29.79
197,nseo_1,1:07:27 PM,47247,421963.36,6376792.13,23.7,-3.44,2.29,421961.97,6376808.94,122,53,,2.99,-29.22
198,nseo_1,1:07:28 PM,47248,421963.86,6376792.31,23.4,-3.44,3.44,421961.97,6376808.94,122,52,,2.9,-29.22
199,nseo_1,1:07:29 PM,47249,421964.27,6376792.49,23.1,-0.57,4.01,421961.83,6376812.06,120.3,52,,2.79,-29.79
200,nseo_1,1:07:30 PM,47250,421964.67,6376792.67,22.8,1.72,3.44,421961.83,6376812.06,122,51,,2.59,-29.22
201,nseo_1,1:07:31 PM,47251,421964.88,6376793.03,22.4,-1.72,2.86,421961.83,6376812.06,122,51,,2.54,-29.79
202,nseo_1,1:07:32 PM,47252,421965.18,6376793.21,22,-4.58,3.44,421961.83,6376812.06,122,50,,2.54,-29.79
203,nseo_1,1:07:33 PM,47253,421965.48,6376793.39,21.5,-3.44,2.86,421961.83,6376812.06,122,50,,2.65,-30.94
