"Filename","Frame","Time (HMS)","Period","Period time (HMS)","Length (mm)","Precision (mm)","RMS 1 (mm)","RMS 2 (mm)","Range (mm)","Direction (deg)","Horz. Dir. (deg)","Vert. Dir. (deg)","Mid X (mm)","Mid Y (mm)","Mid Z (mm)","OpCode","Tape Reader","Depth","Comment...20","Year","Dive No","Transect No","User Def. 4","User Def. 5","User Def. 6","User Def. 7","User Def. 8","Family","Genus","Species","Code","Number","Stage","Activity","Check ID","Comment...37","Event Time","Time (mins)","Period time (mins)"
"2013_13_1_SL.avi","14204",NA,"",NA,"","37.881","1.947","","4754.146","10.688","","","-772.943","372.063","-4676.113","1","Kristen Green","0","old cameras, pause and restart, enter Horita time","2013","13","1","","","","","","rockfish","canary","146","146","10","","","","","16:08:07","7.899",""
"2013_13_1_SL.avi","24367",NA,"",NA,"","28.912","6.888","","3722.161","22.388","","","-1367.168","-413.442","-3437.208","1","Kristen Green","0","old cameras, pause and restart, enter Horita time","2013","13","1","","","","","","rockfish","rosethorn","150","150","14","","","","","16:13:46","13.5507",""
"2013_13_1_SL.avi","25739",NA,"",NA,"","24.935","4.159","","3520.253","20.072","","","-887.189","-856.868","-3297.098","1","Kristen Green","0","old cameras, pause and restart, enter Horita time","2013","13","1","","","","","","cod","Pacific cod","110","110","15","","","","","16:14:32","14.3137",""
"2013_13_1_SL.avi","30826",NA,"",NA,"","18.895","7.691","","3086.53","18.121","","","-824.897","-523.694","-2927.791","1","Kristen Green","0","old cameras, pause and restart, enter Horita time","2013","13","1","","","","","","rockfish","rosethorn","150","150","16","","","","","16:17:22","17.1426",""
"2013_13_1_SL.avi","33113",NA,"",NA,"","19.335","2.564","","3495.462","3.669","","","-97.538","-240.163","-3485.837","1","Kristen Green","0","old cameras, pause and restart, enter Horita time","2013","13","1","","","","","","rockfish","rosethorn","150","150","17","","","","","16:18:38","18.4145",""
"2013_13_1_SL.avi","35745",NA,"",NA,"","15.704","6.124","","3169.705","1.73","","","65.583","34.371","-3168.84","1","Kristen Green","0","old cameras, pause and restart, enter Horita time","2013","13","1","","","","","","cod","Pacific cod","110","110","18","","","","","16:20:06","19.8782",""
"2013_13_1_SL.avi","62525",NA,"",NA,"","15.123","11.687","","3033.844","6.889","","","278.775","200.318","-3014.36","1","Kristen Green","0","old cameras, pause and restart, enter Horita time","2013","13","1","","","","","","coral","red tree coral","10001","10001","20","","","","","16:34:59","34.7708",""
"2013_13_1_SL.avi","62629",NA,"",NA,"","11.353","1.974","","2256.105","26.002","","","746.911","-670.961","-2020.383","1","Kristen Green","0","old cameras, pause and restart, enter Horita time","2013","13","1","","","","","","rockfish","rosethorn","150","150","21","","","","","16:35:03","34.8286",""
"2013_13_1_SL.avi","63458",NA,"",NA,"","34.486","9.803","","4459.908","18.218","","","-136.706","1340.312","-4251.547","1","Kristen Green","0","old cameras, pause and restart, enter Horita time","2013","13","1","","","","","","rockfish","yelloweye","145","145","22","AD","fish moving quickly into frame","","","16:35:31","35.2896",""
"2013_13_1_SL.avi","63466",NA,"",NA,"677.682","26.793","4.833","4.914","4267.93","16.734","3.192","65.446","-109.469","1178.306","-4100.589","1","Kristen Green","0","old cameras, pause and restart, enter Horita time","2013","13","1","","","","","","rockfish","yelloweye","145","145","22","AD","","","","16:35:31","35.2941",""
