Filename,Frame,Time (HMS),Seconds,Period,Period time (HMS),Image row,Image col,OpCode,TapeReader,Depth,Comment,Year,Dive,Transect Number,Dive Type,,,,,Family,Genus,Species,Code,Number,Stage,Activity,Check ID,Comment,Event Time HH:MM:SS
SL_2019_EYKT_Dive_08_16-52-49.000.avi,1396,16:53:40,60820,,,571,839,QC,EricaEbert,90,N/A,2019,8,12,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,START,
SL_2019_EYKT_Dive_08_16-52-49.000.avi,69416,17:31:27,63087,,,575,839,QC,EricaEbert,90,N/A,2019,8,12,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,END,
SL_2019_EYKT_Dive_09_18-08-56.000.avi,349,18:09:13,65353,,,579,847,QC,EricaEbert,110,N/A,2019,9,13,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,START,
SL_2019_EYKT_Dive_09_18-08-56.000.avi,43317,18:33:05,66785,,,575,844,QC,EricaEbert,110,N/A,2019,9,13,Line,,,,,Bad,loitering in same area,BLA,BLA,1,AD,Passing,,,
SL_2019_EYKT_Dive_09_18-08-56.000.avi,44153,18:33:33,66813,,,580,852,QC,EricaEbert,110,N/A,2019,9,13,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2019_EYKT_Dive_09_18-08-56.000.avi,56837,18:40:36,67236,,,571,834,QC,EricaEbert,110,N/A,2019,9,13,Line,,,,,Bad,going over drop-off,BDO,BDO,1,AD,Passing,,,
SL_2019_EYKT_Dive_09_18-08-56.000.avi,57306,18:40:51,67251,,,571,843,QC,EricaEbert,110,N/A,2019,9,13,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2019_EYKT_Dive_09_18-08-56.000.avi,67085,18:46:17,67577,,,578,848,QC,EricaEbert,110,N/A,2019,9,13,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,END,
SL_2019_EYKT_Dive_10_07-12-26.000.avi,481,7:12:50,25970,,,591,856,QC,EricaEbert,125,N/A,2019,10,14,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,START,
SL_2019_EYKT_Dive_10_07-12-26.000.avi,51410,7:41:08,27668,,,591,851,QC,EricaEbert,125,N/A,2019,10,14,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,END,
SL_2019_EYKT_Dive_11_08-19-39.000.avi,148,8:19:59,29999,,,582,851,QC,EricaEbert,60,N/A,2019,11,15,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,START,
SL_2019_EYKT_Dive_11_08-19-39.000.avi,63120,8:54:58,32098,,,588,854,QC,EricaEbert,60,N/A,2019,11,15,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,END,
SL_2019_EYKT_Dive_12_09-27-40.000.avi,872,9:28:11,34091,,,590,854,QC,EricaEbert,60,N/A,2019,12,16,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,START,
SL_2019_EYKT_Dive_12_09-27-40.000.avi,16316,9:36:46,34606,,,575,843,QC,EricaEbert,60,N/A,2019,12,16,Line,,,,,Bad,loitering in same area,BLA,BLA,1,AD,Passing,,,
SL_2019_EYKT_Dive_12_09-27-40.000.avi,16594,9:36:55,34615,,,588,855,QC,EricaEbert,60,N/A,2019,12,16,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2019_EYKT_Dive_12_09-27-40.000.avi,37367,9:48:28,35308,,,515,756,QC,EricaEbert,60,N/A,2019,12,16,Line,,,,,Bad,repositioned,BRP,BRP,1,AD,Passing,,,
SL_2019_EYKT_Dive_12_09-27-40.000.avi,37538,9:48:33,35313,,,567,827,QC,EricaEbert,60,N/A,2019,12,16,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
SL_2019_EYKT_Dive_12_09-27-40.000.avi,37892,9:48:45,35325,,,570,841,QC,EricaEbert,60,N/A,2019,12,16,Line,,,,,Bad,loitering in same area,BLA,BLA,1,AD,Passing,,,
SL_2019_EYKT_Dive_12_09-27-40.000.avi,38183,9:48:55,35335,,,567,839,QC,EricaEbert,60,N/A,2019,12,16,Line,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,,,
