YEAR,DIVE_NO,TRANSECT_NO,Dive_trans,DiveTrans,HP_line,Event_ID,Event_ID,Date,UTC time,Date_time,AST,Sec,QUALITY_CODE,START_END,COMMENTS,Segment
2012,6739,2,67392,67392,5,5_135_o,5_135_o_7,8/19/2012,17:46:15,8/19/12 17:46,9:46:15,35175,GGF,,,7
2012,6739,2,67392,67392,5,5_135_o,5_135_o_,8/19/2012,17:48:05,8/19/12 17:48,9:48:05,35285,BLA,,,
2012,6739,2,67392,67392,5,5_135_o,5_135_o_8,8/19/2012,17:48:14,8/19/12 17:48,9:48:14,35294,GGF,,,8
2012,6739,2,67392,67392,5,5_135_o,5_135_o_8,8/19/2012,17:58:15,8/19/12 17:58,9:58:15,35895,GGF,END,,8
2012,6740,1,67401,67401,7,7_95_o,7_95_o_1,8/19/2012,19:03:27,8/19/12 19:03,11:03:27,39807,GGF,START,,1
2012,6740,1,67401,67401,7,7_95_o,7_95_o_1,8/19/2012,19:32:27,8/19/12 19:32,11:32:27,41547,GGF,END,,1
2012,6741,1,67411,67411,8,8_97_o,8_97_o_1,8/19/2012,21:09:48,8/19/12 21:09,13:09:48,47388,GGF,START,,1
2012,6741,1,67411,67411,8,8_97_o,8_97_o_,8/19/2012,21:13:08,8/19/12 21:13,13:13:08,47588,BPV,,,
2012,6741,1,67411,67411,8,8_97_o,8_97_o_2,8/19/2012,21:13:16,8/19/12 21:13,13:13:16,47596,GGF,,,2
2012,6741,1,67411,67411,8,8_97_o,8_97_o_,8/19/2012,21:14:51,8/19/12 21:14,13:14:51,47691,BPV,,,
2012,6741,1,67411,67411,8,8_97_o,8_97_o_3,8/19/2012,21:15:00,8/19/12 21:15,13:15:00,47700,GGF,,,3
2012,6741,1,67411,67411,8,8_97_o,8_97_o_3,8/19/2012,21:38:32,8/19/12 21:38,13:38:32,49112,GGF,END,,3
2012,6741,2,67412,67412,9,9_99_o,9_99_o_1,8/19/2012,20:11:08,8/19/12 20:11,12:11:08,43868,GGF,START,,1
2012,6741,2,67412,67412,9,9_99_o,9_99_o_,8/19/2012,20:36:08,8/19/12 20:36,12:36:08,45368,BLA,,,
2012,6741,2,67412,67412,9,9_99_o,9_99_o_2,8/19/2012,20:36:22,8/19/12 20:36,12:36:22,45382,GGF,,,2
2012,6741,2,67412,67412,9,9_99_o,9_99_o_2,8/19/2012,20:49:32,8/19/12 20:49,12:49:32,46172,GGF,END,,2
2012,6742,1,67421,67421,10,10_186_o,10_186_o_1,8/19/2012,00:08:09,8/19/12 0:08,16:08:09,58089,GGF,START,,1
2012,6742,1,67421,67421,10,10_186_o,10_186_o_1,8/19/2012,00:34:16,8/19/12 0:34,16:34:16,59656,GGF,END,,1
2012,6742,2,67422,67422,11,11_196_o,11_196_o_1,8/19/2012,23:34:22,8/19/12 23:34,15:34:22,56062,GGF,START,,1
2012,6742,2,67422,67422,11,11_196_o,11_196_o_,8/19/2012,23:45:57,8/19/12 23:45,15:45:57,56757,BBS,,,
2012,6742,2,67422,67422,11,11_196_o,11_196_o_2,8/19/2012,23:46:00,8/19/12 23:46,15:46:00,56760,GGF,,,2
2012,6742,2,67422,67422,11,11_196_o,11_196_o_2,8/19/2012,00:02:39,8/19/12 0:02,16:02:39,57759,GGF,END,,2
2012,6744,1,67441,67441,14,14_107_o,14_107_o_1,8/20/2012,17:55:20,8/20/12 17:55,9:55:20,35720,GGF,START,,1
2012,6744,1,67441,67441,14,14_107_o,14_107_o_1,8/20/2012,18:17:25,8/20/12 18:17,10:17:25,37045,GGF,END,,1
2012,6744,2,67442,67442,15,15_143_o,15_143_o_1,8/20/2012,17:24:00,8/20/12 17:24,9:24:00,33840,GGF,START,,1
2012,6744,2,67442,67442,15,15_143_o,15_143_o_1,8/20/2012,17:49:12,8/20/12 17:49,9:49:12,35352,GGF,END,,1
2012,6745,1,67451,67451,12,12_90_n,12_90_n_1,8/20/2012,15:55:31,8/20/12 15:55,7:55:31,28531,GGF,START,,1
2012,6745,1,67451,67451,12,12_90_n,12_90_n_,8/20/2012,15:55:55,8/20/12 15:55,7:55:55,28555,BPV,,,
2012,6745,1,67451,67451,12,12_90_n,12_90_n_2,8/20/2012,15:55:57,8/20/12 15:55,7:55:57,28557,GGF,,,2
2012,6745,1,67451,67451,12,12_90_n,12_90_n_,8/20/2012,15:57:08,8/20/12 15:57,7:57:08,28628,BPV,,,
2012,6745,1,67451,67451,12,12_90_n,12_90_n_3,8/20/2012,15:57:19,8/20/12 15:57,7:57:19,28639,GGF,,,3
2012,6745,1,67451,67451,12,12_90_n,12_90_n_,8/20/2012,16:04:27,8/20/12 16:04,8:04:27,29067,BGB,,,
2012,6745,1,67451,67451,12,12_90_n,12_90_n_4,8/20/2012,16:04:32,8/20/12 16:04,8:04:32,29072,GGF,,,4
2012,6745,1,67451,67451,12,12_90_n,12_90_n_4,8/20/2012,16:23:36,8/20/12 16:23,8:23:36,30216,GGF,END,,4
2012,6745,2,67452,67452,13,13_109_o,13_109_o_1,8/20/2012,15:18:19,8/20/12 15:18,7:18:19,26299,GGF,START,,1
2012,6745,2,67452,67452,13,13_109_o,13_109_o_,8/20/2012,15:23:15,8/20/12 15:23,7:23:15,26595,BPV,,,
2012,6745,2,67452,67452,13,13_109_o,13_109_o_2,8/20/2012,15:23:25,8/20/12 15:23,7:23:25,26605,GGF,,,2
2012,6745,2,67452,67452,13,13_109_o,13_109_o_,8/20/2012,15:39:53,8/20/12 15:39,7:39:53,27593,BLB,,,
2012,6745,2,67452,67452,13,13_109_o,13_109_o_3,8/20/2012,15:39:58,8/20/12 15:39,7:39:58,27598,GGF,,,3
2012,6745,2,67452,67452,13,13_109_o,13_109_o_,8/20/2012,15:40:02,8/20/12 15:40,7:40:02,27602,BLB,,,
2012,6745,2,67452,67452,13,13_109_o,13_109_o_4,8/20/2012,15:40:10,8/20/12 15:40,7:40:10,27610,GGF,,,4
2012,6745,2,67452,67452,13,13_109_o,13_109_o_4,8/20/2012,15:48:45,8/20/12 15:48,7:48:45,28125,GGF,END,,4
2012,6746,1,67461,67461,16,16_150_o,16_150_o_1,8/19/2012,02:25:48,8/19/12 2:25,18:25:48,66348,GGF,START,,1
2012,6746,1,67461,67461,16,16_150_o,16_150_o_1,8/19/2012,02:55:14,8/19/12 2:55,18:55:14,68114,GGF,END,,1
2012,6746,2,67462,67462,17,17_134_o,17_134_o_1,8/19/2012,01:44:58,8/19/12 1:44,17:44:58,63898,GGF,START,,1
2012,6746,2,67462,67462,17,17_134_o,17_134_o_1,8/19/2012,02:18:55,8/19/12 2:18,18:18:55,65935,GGF,END,,1
2012,6747,1,67471,67471,18,18_94_o,18_94_o_1,8/20/2012,20:03:52,8/20/12 20:03,12:03:52,43432,GGF,START,,1
2012,6747,1,67471,67471,18,18_94_o,18_94_o_1,8/20/2012,20:34:49,8/20/12 20:34,12:34:49,45289,GGF,END,,1
2012,6747,2,67472,67472,19,19_97_o,19_97_o_1,8/20/2012,19:22:41,8/20/12 19:22,11:22:41,40961,GGF,START,,1
2012,6747,2,67472,67472,19,19_97_o,19_97_o_1,8/20/2012,19:55:19,8/20/12 19:55,11:55:19,42919,GGF,END,,1
2012,6748,2,67482,67482,21,21_142_o,21_142_o_1,8/20/2012,22:54:08,8/20/12 22:54,14:54:08,53648,GGF,START,,1
2012,6748,2,67482,67482,21,21_142_o,21_142_o_,8/20/2012,23:05:49,8/20/12 23:05,15:05:49,54349,BRP,,ROV needs to go around clump,
2012,6748,2,67482,67482,21,21_142_o,21_142_o_2,8/20/2012,23:08:44,8/20/12 23:08,15:08:44,54524,GGF,,,2
2012,6748,2,67482,67482,21,21_142_o,21_142_o_2,8/20/2012,23:30:17,8/20/12 23:30,15:30:17,55817,GGF,END,,2
2012,6748,3,67483,67483,20,20_149_o,20_149_o_1,8/20/2012,23:38:13,8/20/12 23:38,15:38:13,56293,GGF,START,,1
2012,6748,3,67483,67483,20,20_149_o,20_149_o_1,8/20/2012,00:15:14,8/20/12 0:15,16:15:14,58514,GGF,END,,1
2012,6749,1,67491,67491,22,22_261_o,22_261_o_1,8/21/2012,19:16:05,8/21/12 19:16,11:16:05,40565,GGF,START,,1
2012,6749,1,67491,67491,22,22_261_o,22_261_o_1,8/21/2012,19:46:04,8/21/12 19:46,11:46:04,42364,GGF,END,,1
2012,6749,2,67492,67492,23,23_202_o,23_202_o_1,8/21/2012,20:16:54,8/21/12 20:16,12:16:54,44214,GGF,START,,1
2012,6749,2,67492,67492,23,23_202_o,23_202_o_1,8/21/2012,20:50:06,8/21/12 20:50,12:50:06,46206,GGF,END,,1
2012,6753,1,67531,67531,24,24_231_o,24_231_o_1,8/21/2012,22:37:33,8/21/12 22:37,14:37:33,52653,GGF,START,,1
2012,6753,1,67531,67531,24,24_231_o,24_231_o_1,8/21/2012,22:51:22,8/21/12 22:51,14:51:22,53482,GGF,END,,1
2012,6753,2,67532,67532,25,25_225_o,25_225_o_1,8/21/2012,21:52:29,8/21/12 21:52,13:52:29,49949,GGF,START,,1
2012,6753,2,67532,67532,25,25_225_o,25_225_o_,8/21/2012,21:53:00,8/21/12 21:53,13:53:00,49980,BLA,,,
2012,6753,2,67532,67532,25,25_225_o,25_225_o_2,8/21/2012,21:53:05,8/21/12 21:53,13:53:05,49985,GGF,,,2
2012,6753,2,67532,67532,25,25_225_o,25_225_o_,8/21/2012,21:58:13,8/21/12 21:58,13:58:13,50293,GBG,,,
2012,6753,2,67532,67532,25,25_225_o,25_225_o_3,8/21/2012,21:58:16,8/21/12 21:58,13:58:16,50296,GGF,,,3
2012,6753,2,67532,67532,25,25_225_o,25_225_o_3,8/21/2012,22:31:31,8/21/12 22:31,14:31:31,52291,GGF,END,,3
