Filename,Frame,Time (HMS),Seconds,Period,Period time (HMS),Image row,Image col,OpCode,TapeReader,Depth,Comment,Year,Dive,Transect Number,,,,,,Family,Genus,Species,Code,Number,Stage,Activity,Start_End,Comment,Event Time HH:MM:SS
SL_2018CSEO_Dive_08_13-55-43.000.avi,53735,14:25:39,51939,,,53735,14:25:39,QC,amy,,,2018,8,100,,,,,,Good,Good Going Forward,GGF,GGF,6,AD,Passing,,can see in belly,14:25:39
SL_2018CSEO_Dive_08_13-55-43.000.avi,54140,14:25:53,51953,,,54140,14:25:53,QC,amy,,,2018,8,100,,,,,,Good,Good Going Forward,GGF,GGF,7,AD,Passing,,,14:25:52
SL_2018CSEO_Dive_08_13-55-43.000.avi,77693,14:38:58,52738,,,77693,14:38:58,QC,amy,,,2018,8,100,,,,,,Good,Good Going Forward,GGF,GGF,8,AD,Passing,End,,14:38:58
SL_2018CSEO_Dive_09_08-50-45.000.avi,230,8:50:55,31855,,,230,8:50:55,QC,amy,,,2018,9,99,,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,Start,,8:50:55
SL_2018CSEO_Dive_09_08-50-45.000.avi,71057,9:30:16,34216,,,71057,9:30:16,QC,amy,,,2018,9,99,,,,,,Good,Good Going Forward,GGF,GGF,2,AD,Passing,End,,9:30:15
SL_2018CSEO_Dive_10_10-11-03.000.avi,126,10:11:09,36669,,,126,10:11:09,QC,amy,,,2018,10,101,,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,Start,,10:11:10
SL_2018CSEO_Dive_10_10-11-03.000.avi,50885,10:39:21,38361,,,50885,10:39:21,QC,amy,,,2018,10,101,,,,,,Bad,lost bottom visual,BLB,BLB,6,AD,Passing,,can see in belly,10:39:22
SL_2018CSEO_Dive_10_10-11-03.000.avi,51252,10:39:33,38373,,,51252,10:39:33,QC,amy,,,2018,10,101,,,,,,Good,Good Going Forward,GGF,GGF,5,AD,Passing,,,
SL_2018CSEO_Dive_10_10-11-03.000.avi,64326,10:46:49,38809,,,64326,10:46:49,QC,amy,,,2018,10,101,,,,,,Good,Good Going Forward,GGF,GGF,7,AD,Passing,End,,10:46:50
SL_2018CSEO_Dive_11_11-32-49.000.avi,148,11:33:03,41583,,,148,11:33:03,QC,amy,,,2018,11,104,,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,Start,,11:33:03
SL_2018CSEO_Dive_11_11-32-49.000.avi,32102,11:50:48,42648,,,32102,11:50:48,QC,amy,,,2018,11,104,,,,,,Bad,loitering in same area,BLA,BLA,2,AD,Passing,,,11:50:48
SL_2018CSEO_Dive_11_11-32-49.000.avi,33216,11:51:25,42685,,,33216,11:51:25,QC,amy,,,2018,11,104,,,,,,Good,Good Going Forward,GGF,GGF,3,AD,Passing,,,11:51:25
SL_2018CSEO_Dive_11_11-32-49.000.avi,40850,11:55:40,42940,,,40850,11:55:40,QC,amy,,,2018,11,104,,,,,,Bad,loitering in same area,BLA,BLA,4,AD,Passing,,,
SL_2018CSEO_Dive_11_11-32-49.000.avi,44153,11:57:30,43050,,,44153,11:57:30,QC,amy,,,2018,11,104,,,,,,Good,Good Going Forward,GGF,GGF,5,AD,Passing,,,11:57:29
SL_2018CSEO_Dive_11_11-32-49.000.avi,54931,12:03:29,43409,,,54931,12:03:29,QC,amy,,,2018,11,104,,,,,,Bad,loitering in same area,BLA,BLA,7,AD,Passing,,,12:03:29
SL_2018CSEO_Dive_11_11-32-49.000.avi,57293,12:04:48,43488,,,57293,12:04:48,QC,amy,,,2018,11,104,,,,,,Good,Good Going Forward,GGF,GGF,10,AD,Passing,,,
SL_2018CSEO_Dive_11_11-32-49.000.avi,82036,12:18:32,44312,,,82036,12:18:32,QC,amy,,,2018,11,104,,,,,,Bad,loitering in same area,BLA,BLA,11,AD,Passing,,,12:18:32
SL_2018CSEO_Dive_11_11-32-49.000.avi,82377,12:18:44,44324,,,82377,12:18:44,QC,amy,,,2018,11,104,,,,,,Good,Good Going Forward,GGF,GGF,12,AD,Passing,,,12:18:44
SL_2018CSEO_Dive_11_11-32-49.000.avi,87597,12:21:38,44498,,,87597,12:21:38,QC,amy,,,2018,11,104,,,,,,Good,Good Going Forward,GGF,GGF,13,AD,Passing,End,,12:21:38
SL_2018CSEO_Dive_12_13-20-21.000.avi,509,13:20:41,48041,,,509,13:20:41,QC,amy,,,2018,12,103,,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,Start,,13:20:41
SL_2018CSEO_Dive_12_13-20-21.000.avi,35862,13:40:19,49219,,,35862,13:40:19,QC,amy,,,2018,12,103,,,,,,Bad,loitering in same area,BLA,BLA,2,AD,Passing,,,13:40:19
SL_2018CSEO_Dive_12_13-20-21.000.avi,36102,13:40:27,49227,,,36102,13:40:27,QC,amy,,,2018,12,103,,,,,,Good,Good Going Forward,GGF,GGF,3,AD,Passing,,,13:40:27
SL_2018CSEO_Dive_12_13-20-21.000.avi,74842,14:01:59,50519,,,74842,14:01:59,QC,amy,,,2018,12,103,,,,,,Good,Good Going Forward,GGF,GGF,4,AD,Passing,End,,14:01:59
SL_2018CSEO_Dive_13_14-47-34.000.avi,384,14:47:56,53276,,,384,14:47:56,QC,amy,,,2018,13,105,,,,,,Good,Good Going Forward,GGF,GGF,1,AD,Passing,Start,,14:47:56
SL_2018CSEO_Dive_13_14-47-34.000.avi,51957,15:16:35,54995,,,51957,15:16:35,QC,amy,,,2018,13,105,,,,,,Bad,loitering in same area,BLA,BLA,2,AD,Passing,,,
SL_2018CSEO_Dive_13_14-47-34.000.avi,54036,15:17:44,55064,,,54036,15:17:44,QC,amy,,,2018,13,105,,,,,,Good,Good Going Forward,GGF,GGF,3,AD,Passing,,,
SL_2018CSEO_Dive_13_14-47-34.000.avi,60030,15:21:04,55264,,,60030,15:21:04,QC,amy,,,2018,13,105,,,,,,Bad,loitering in same area,BLA,BLA,4,AD,Passing,,,
