Event_ID,DIVE_NO,TRANSECT_NO,HORITA_CODE,TIME_UTC,Time_AK,DROP_FRAME,QUALITY_CODE,SEGMENT_NO,START_END,COMMENTS
49_135,49,1,03:49:28:13,03:49:28,19:49:28,13,GGF,9,End,
51_0,51,1,00:55:26:19,00:55:26,16:55:26,19,GGF,1,Start,
51_0,51,1,01:25:21:05,01:25:21,17:25:21,05,BPV,,,
51_0,51,1,01:25:28:10,01:25:28,17:25:28,10,GGF,2,,
51_0,51,1,01:28:33:26,01:28:33,17:28:33,26,GGF,2,End,
52_45,52,1,23:37:18:02,23:37:18,15:37:18,02,GGF,1,Start,
52_45,52,1,23:57:58:05,23:57:58,15:57:58,05,BLB,,,
52_45,52,1,23:58:14:15,23:58:14,15:58:14,15,GGF,2,,
52_45,52,1,23:58:36:04,23:58:36,15:58:36,04,BLB,,,
52_45,52,1,23:58:55:04,23:58:55,15:58:55,04,GGF,3,,
52_45,52,1,00:00:43:28,00:00:43,16:00:43,28,BLB,,,
52_45,52,1,00:00:56:11,00:00:56,16:00:56,11,GGF,4,,
52_45,52,1,00:01:43:20,00:01:43,16:01:43,20,BLB,,,
52_45,52,1,00:01:49:21,00:01:49,16:01:49,21,GGF,5,,
52_45,52,1,00:03:51:03,00:03:51,16:03:51,03,BPV,,,
52_45,52,1,00:03:56:04,00:03:56,16:03:56,04,GGF,6,,
52_45,52,1,00:04:06:00,00:04:06,16:04:06,00,BPV,,,
52_45,52,1,00:04:15:11,00:04:15,16:04:15,11,GGF,7,,
52_45,52,1,00:04:19:11,00:04:19,16:04:19,11,BPV,,,
52_45,52,1,00:05:08:13,00:05:08,16:05:08,13,GGF,8,,
52_45,52,1,00:13:43:15,00:13:43,16:13:43,15,GGF,8,End,
56_45,56,1,03:38:38:08,03:38:38,19:38:38,08,GGF,1,Start,
56_45,56,1,03:52:28:02,03:52:28,19:52:28,02,GRB,,,
56_45,56,1,03:52:28:02,03:52:28,19:52:28,02,GGF,2,,
56_45,56,1,04:17:51:18,04:17:51,20:17:51,18,GGF,2,End,
57_90,57,1,13:25:29:24,13:25:29,05:25:29,24,GGF,1,Start,time code bad on SL
57_90,57,1,13:29:00:19,13:29:00,05:29:00,19,BRB,,,
57_90,57,1,13:30:07:06,13:30:07,05:30:07,06,GGF,2,,
57_90,57,1,14:07:49:19,14:07:49,06:07:49,19,GGF,2,End,"video ends abruptly, no head shake"
59_135,59,1,15:24:03:08,15:24:03,07:24:03,08,GGF,1,Start,
59_135,59,1,15:25:33:23,15:25:33,07:25:33,23,BDO,,,
59_135,59,1,15:25:45:04,15:25:45,07:25:45,04,GGF,2,,
59_135,59,1,15:26:57:23,15:26:57,07:26:57,23,BLB,,,
59_135,59,1,15:27:16:03,15:27:16,07:27:16,03,BRB,,,pause and restart
59_135,59,1,15:28:48:14,15:28:48,07:28:48,14,GGF,3,,
59_135,59,1,15:33:38:12,15:33:38,07:33:38,12,BPV,,,
59_135,59,1,15:33:52:08,15:33:52,07:33:52,08,GGF,4,,
59_135,59,1,15:34:08:12,15:34:08,07:34:08,12,BPV,,,
59_135,59,1,15:34:19:28,15:34:19,07:34:19,28,GGF,5,,
59_135,59,1,15:43:56:24,15:43:56,07:43:56,24,BDO,,,
59_135,59,1,15:44:07:02,15:44:07,07:44:07,02,GGF,6,,
59_135,59,1,16:05:06:05,16:05:06,08:05:06,05,GRB,,,
59_135,59,1,16:05:15:04,16:05:15,08:05:15,04,GGF,7,,
59_135,59,1,16:06:40:29,16:06:40,08:06:40,29,GGF,7,End,
,,,,,,,,,,
